Date,Open,High,Low,Close,Volume
2016-12-31,1505,2883,1505,2381,1936650
2017-03-31,2350,2449,2230,2380,1240780
2017-06-30,2361,2400,1850,2000,840240
2017-09-30,1851,2020,1600,1900,1725270
2017-12-31,1890,1950,1453,1700,723090
2018-03-31,1690,1800,1590,1700,498750
2018-06-30,1699,1895,1535,1800,640572
2018-09-30,1800,1800,1215,1250,427428
2018-12-31,1250,1370,1000,1350,237444
2019-03-31,1348,1350,1000,1225,223464
2019-06-30,1225,1473,1175,1400,306562
2019-09-30,1378,1378,1130,1175,192508
2019-12-31,1175,1450,1153,1410,322554
2020-03-31,1348,1403,1250,1345,342106
2020-06-30,1300,1360,1158,1200,297330
2020-09-30,1200,1320,1150,1320,367802
2020-12-31,1315,1400,1200,1350,244808
2021-03-31,1350,1423,1250,1373,300924
2021-06-30,1373,1745,1350,1680,559398
2021-09-30,1680,2240,1650,1950,941274
2021-12-31,1950,2100,1863,1993,912734
2022-03-31,1995,2245,1900,2180,780328
2022-06-30,2183,2375,2075,2100,719984
2022-09-30,2100,2593,2100,2300,748816
2022-12-31,2300,2445,2128,2293,479838
2023-03-31,2293,2550,2225,2400,587842
2023-06-30,2400,2570,2350,2565,350764
2023-09-30,2503,2850,2485,2698,608514
2023-12-31,2700,2750,2553,2675,575912
2024-03-31,2675,2905,2550,2898,372634
2024-06-30,2875,3465,2703,3300,636064
2024-09-30,3300,3430,2925,3320,385176
2024-12-31,3278,3870,3275,3555,489625
2025-03-31,3555,4470,3240,4450,367788
2025-06-30,4450,5000,4350,4800,499581
2025-09-30,4705,6000,4650,5500,519418
2025-12-31,5550,6000,5405,5750,548852
2026-03-31,5750,7330,5600,6900,571866
2026-06-30,6900,9300,6600,8890,500474
2026-09-30,8890,9545,8650,9285,312488
