Date,Open,High,Low,Close,Volume
2016-10-31,1505,1739,1505,1739,4560
2016-11-07,1869,2321,1869,2321,7400
2016-11-14,2495,2883,2295,2400,813510
2016-11-21,2401,2550,2300,2380,211640
2016-11-28,2400,2400,2000,2050,128990
2016-12-05,2050,2500,2011,2300,212690
2016-12-12,2300,2300,2080,2152,231120
2016-12-19,2170,2249,2100,2221,131490
2016-12-26,2221,2350,2220,2350,99160
2017-01-02,2351,2381,2251,2350,97970
2017-01-09,2330,2350,2251,2270,70780
2017-01-16,2270,2300,2230,2298,76100
2017-01-23,2231,2298,2231,2260,112730
2017-01-30,2275,2300,2235,2300,93570
2017-02-06,2290,2325,2262,2300,73810
2017-02-13,2301,2350,2300,2350,126150
2017-02-20,2350,2380,2300,2380,68090
2017-02-27,2378,2420,2350,2402,91270
2017-03-06,2449,2449,2390,2390,113620
2017-03-13,2390,2400,2355,2375,57860
2017-03-20,2380,2380,2350,2350,104830
2017-03-27,2340,2400,2305,2376,144290
2017-04-03,2371,2381,2325,2360,117220
2017-04-10,2380,2385,2350,2385,91440
2017-04-17,2350,2400,2340,2400,74270
2017-04-24,2380,2400,2310,2365,72640
2017-05-01,2350,2380,2300,2305,49900
2017-05-08,2305,2380,2270,2380,70130
2017-05-15,2350,2380,2300,2300,42430
2017-05-22,2300,2321,2250,2300,50880
2017-05-29,2250,2300,2100,2200,47650
2017-06-05,2200,2200,2000,2100,44890
2017-06-12,2099,2100,1900,2020,67210
2017-06-19,2000,2150,1950,2000,76060
2017-06-26,2000,2200,1980,2050,72710
2017-07-03,2200,2200,1850,2020,81270
2017-07-10,2000,2000,1870,1950,37590
2017-07-17,1950,1950,1800,1800,49080
2017-07-24,1800,1800,1600,1710,62710
2017-07-31,1700,1805,1690,1801,68600
2017-08-07,1801,1849,1721,1800,61970
2017-08-14,1799,1820,1700,1800,47550
2017-08-21,1800,1850,1760,1820,107820
2017-08-28,1800,2000,1761,1900,635190
2017-09-04,1920,2020,1850,2000,53260
2017-09-11,2000,2000,1900,1950,40650
2017-09-18,1904,2000,1904,1990,63610
2017-09-25,1998,2000,1902,1910,396950
2017-10-02,1901,2000,1820,1890,92290
2017-10-09,1830,1900,1830,1872,67670
2017-10-16,1899,1950,1890,1891,38510
2017-10-23,1891,1891,1800,1800,70640
2017-10-30,1801,1810,1700,1750,37970
2017-11-06,1701,1750,1600,1700,81550
2017-11-13,1660,1750,1572,1700,42550
2017-11-20,1650,1650,1501,1620,22680
2017-11-27,1620,1620,1453,1550,23850
2017-12-04,1550,1600,1500,1600,43530
2017-12-11,1600,1600,1550,1600,46200
2017-12-18,1585,1600,1570,1600,34130
2017-12-25,1600,1600,1580,1600,26200
2018-01-01,1586,1700,1570,1700,182950
2018-01-08,1690,1700,1621,1680,29770
2018-01-15,1680,1700,1620,1680,25280
2018-01-22,1668,1700,1620,1640,21650
2018-01-29,1620,1650,1600,1610,23070
2018-02-05,1600,1620,1590,1610,70630
2018-02-12,1620,1649,1600,1630,18180
2018-02-19,1630,1630,1600,1620,32610
2018-02-26,1601,1650,1600,1625,20990
2018-03-05,1650,1700,1620,1680,55190
2018-03-12,1675,1700,1650,1650,36610
2018-03-19,1670,1800,1650,1700,105130
2018-03-26,1690,1710,1660,1699,34040
2018-04-02,1685,1700,1660,1700,25600
