Date,Open,High,Low,Close,Volume
1998-09-16,18500,18500,18500,18500,1
1998-09-23,19885,19885,19885,19885,1
1998-09-25,18500,18500,18500,18500,55
1998-09-30,18500,18500,18500,18500,1
1998-10-02,18500,18500,18500,18500,10
1998-10-07,18500,18500,18500,18500,13
1998-10-16,18500,18500,18500,18500,10
1998-10-30,11650,11650,11650,11650,14
1998-11-02,12520,12520,12520,12520,1
1998-11-04,11585,11585,11585,11585,1
1998-11-06,10800,10800,10800,10800,114
1998-11-09,10100,10100,10100,10100,104
1998-11-11,9350,9350,9350,9350,300
1998-11-13,8650,8650,8650,8650,1000
1998-11-16,8005,8005,8005,8005,12
1998-11-18,7405,7405,7405,7405,1951
1998-11-20,7960,7960,7960,7960,3014
1998-11-23,7960,7960,7960,7960,4232
1998-11-27,8555,8555,8555,8555,907
1998-11-30,8555,8555,8555,8555,561
1998-12-09,10010,10010,10010,10010,715
1998-12-11,10760,10760,10760,10760,699
1998-12-14,10000,10000,10000,10000,250
1998-12-16,10000,10000,10000,10000,284
1998-12-18,10000,10000,10000,10000,250
1998-12-30,10000,10000,10000,10000,35
1999-01-04,10000,10000,10000,10000,25
1999-01-06,10000,10000,10000,10000,350
1999-01-11,9995,9995,9995,9995,20
1999-01-13,9995,9995,9995,9995,34
1999-01-18,10000,10000,10000,10000,15
1999-01-22,9995,9995,9995,9995,5
1999-01-29,9995,9995,9995,9995,2
1999-02-01,9995,9995,9995,9995,5
1999-02-03,9995,9995,9995,9995,6
1999-02-10,10000,10000,10000,10000,185
1999-02-12,10000,10000,10000,10000,50
1999-02-17,10750,10750,10750,10750,1030
1999-02-19,10750,10750,10750,10750,9
1999-03-01,11010,11010,11010,11010,30
1999-03-03,11010,11010,11010,11010,3000
1999-03-08,11025,11025,11025,11025,11
1999-03-15,11850,11850,11850,11850,50
1999-03-17,12000,12000,12000,12000,15
1999-03-24,12000,12000,12000,12000,17
1999-03-26,12900,12900,12900,12900,2060
1999-03-29,12900,12900,12900,12900,380
1999-03-31,12900,12900,12900,12900,369
1999-04-02,13000,13000,13000,13000,127
1999-04-09,13025,13025,13025,13025,32
1999-04-16,12900,12900,12900,12900,9
1999-04-23,12900,12900,12900,12900,7
1999-04-28,12900,12900,12900,12900,20
1999-04-30,11935,11935,11935,11935,89
1999-05-05,12000,12000,12000,12000,268
1999-05-07,12000,12000,12000,12000,50
1999-05-10,12000,12000,12000,12000,93
1999-05-21,11205,11205,11205,11205,60
1999-05-26,11200,11200,11200,11200,80
1999-05-28,11200,11200,11200,11200,8
1999-06-04,11200,11200,11200,11200,2
1999-06-09,11200,11200,11200,11200,5
1999-06-16,11200,11200,11200,11200,5
1999-06-18,10500,10500,10500,10500,98
1999-06-21,10500,10500,10500,10500,180
1999-06-23,11200,11200,11200,11200,62
1999-06-25,12000,12000,12000,12000,144
1999-06-28,12235,12235,12235,12235,145
1999-06-30,12240,12240,12240,12240,440
1999-07-02,12265,12265,12265,12265,55
1999-07-05,12270,12270,12270,12270,36
1999-07-07,12235,12235,12235,12235,138
1999-07-16,11320,11320,11320,11320,330
1999-07-23,11800,11800,11800,11800,170
1999-07-28,11800,11800,11800,11800,115
1999-08-11,11800,11800,11800,11800,10
1999-08-18,11800,11800,11800,11800,262
1999-08-25,11610,11610,11610,11610,12
1999-08-27,11600,11600,11600,11600,12
1999-08-30,11600,11600,11600,11600,12
1999-09-01,11800,11800,11800,11800,56
1999-09-13,11800,11800,11800,11800,154615
1999-09-15,11900,11900,11900,11900,20
1999-10-06,11895,11895,11895,11895,98
1999-10-11,11890,11890,11890,11890,40
1999-10-13,11800,11800,11800,11800,11317
1999-10-22,11800,11800,11800,11800,820
1999-10-27,11200,11200,11200,11200,8
1999-12-29,11000,11000,11000,11000,12
2000-03-06,10800,10800,10800,10800,300
2000-03-15,10000,10000,10000,10000,9
2000-03-17,10000,10000,10000,10000,285
2000-04-12,7985,7985,7985,7985,82
2000-04-17,7985,7985,7985,7985,273
2000-04-28,7985,7985,7985,7985,1
2000-05-08,7985,7985,7985,7985,276
2000-05-19,7985,7985,7985,7985,143
2000-05-26,7985,7985,7985,7985,34
2000-06-16,8580,8580,8580,8580,85
2000-06-23,10000,10000,10000,10000,95
2000-06-26,10000,10000,10000,10000,4
2000-06-30,10000,10000,10000,10000,10
2000-07-07,10750,10750,10750,10750,40
2000-07-12,11550,11550,11550,11550,36
2000-07-17,12000,12000,12000,12000,10
2000-07-19,12200,12200,12200,12200,180
2000-07-21,12500,12500,12500,12500,63
2000-07-26,12000,12000,12000,12000,144
2000-07-31,12000,12000,12000,12000,35
2000-08-02,12000,12000,12000,12000,10
