Date,Open,High,Low,Close,Volume
1998-09-30,18500,19885.0,18500.0,18500,58
1998-10-31,18500,18500.0,11650.0,11650,47
1998-11-30,12520,12520.0,7405.0,8555,12197
1998-12-31,10010,10760.0,10000.0,10000,2233
1999-01-31,10000,10000.0,9995.0,9995,451
1999-02-28,9995,10750.0,9995.0,10750,1285
1999-03-31,11010,12900.0,11010.0,12900,5932
1999-04-30,13000,13025.0,11935.0,11935,284
1999-05-31,12000,12000.0,11200.0,11200,559
1999-06-30,11200,12240.0,10500.0,12240,1081
1999-07-31,12265,12270.0,11320.0,11800,844
1999-08-31,11800,11800.0,11600.0,11600,308
1999-09-30,11800,11900.0,11800.0,11900,154691
1999-10-31,11895,11895.0,11200.0,11200,12283
1999-12-31,11000,11000.0,11000.0,11000,12
2000-03-31,10800,10800.0,10000.0,10000,594
2000-04-30,7985,7985.0,7985.0,7985,356
2000-05-31,7985,7985.0,7985.0,7985,453
2000-06-30,8580,10000.0,8580.0,10000,194
2000-07-31,10750,12500.0,10750.0,12000,508
2000-08-31,12000,12000.0,11500.0,11500,1275
2000-09-30,11500,11510.0,11500.0,11510,984
2000-10-31,11300,11300.0,11245.0,11245,130
2000-11-30,11240,11240.0,11195.0,11195,479
2000-12-31,11195,11240.0,11195.0,11240,97
2001-01-31,11200,11200.0,9900.0,9900,282
2001-03-31,9490,9490.0,9490.0,9490,52
2001-04-30,9450,9450.0,9450.0,9450,20
2001-05-31,9450,9450.0,9450.0,9450,8
2001-06-30,9450,9450.0,9450.0,9450,2
2001-07-31,9400,9400.0,9400.0,9400,1250
2001-08-31,9400,9400.0,9300.0,9300,24
2001-09-30,9295,9295.0,9295.0,9295,48
2001-10-31,9295,9295.0,9295.0,9295,4
2001-11-30,8600,8600.0,7955.0,7955,1389
2001-12-31,7955,7955.0,7955.0,7955,1108
2002-01-31,7955,7955.0,7955.0,7955,24203
2002-03-31,7955,7955.0,7955.0,7955,1
2002-07-31,7900,7900.0,7900.0,7900,137
2002-08-31,7900,7900.0,7900.0,7900,164
2002-10-31,6900,6900.0,6900.0,6900,221
2002-11-30,6700,6700.0,6700.0,6700,262
2002-12-31,6700,6700.0,6700.0,6700,145
2003-01-31,6695,6695.0,6695.0,6695,12786
2003-06-30,6695,6695.0,6695.0,6695,78
2003-07-31,6650,6650.0,6600.0,6600,50
2003-08-31,6650,6650.0,6600.0,6610,120
2003-09-30,6610,6615.0,6605.0,6605,950
2003-10-31,7000,7000.0,6615.0,6615,300
2003-11-30,6620,6625.0,6620.0,6625,516
2003-12-31,6600,6600.0,6600.0,6600,106
2004-01-31,6600,6600.0,6600.0,6600,25
2004-02-29,6600,6600.0,6600.0,6600,15
2004-03-31,6600,6600.0,6600.0,6600,60
2004-04-30,6600,6600.0,6600.0,6600,210
2004-05-31,6600,6600.0,6600.0,6600,33
2004-09-30,6600,6600.0,6600.0,6600,998
2005-02-28,6500,6500.0,6495.0,6495,422645
2005-06-30,6000,6000.0,5700.0,5700,549
2005-09-30,4995,4995.0,4995.0,4995,300
2006-01-31,4995,4995.0,4995.0,4995,2
2006-02-28,4995,4995.0,4400.0,4400,26
2006-07-31,4400,4400.0,4400.0,4400,2
2006-09-30,4400,4400.0,4400.0,4400,6
2007-05-31,4400,4400.0,4395.0,4395,91
