Date,Open,High,Low,Close,Volume
1998-09-30,18500,19885.0,18500.0,18500,58
1998-12-31,18500,18500.0,7405.0,10000,14477
1999-03-31,10000,12900.0,9995.0,12900,7668
1999-06-30,13000,13025.0,10500.0,12240,1924
1999-09-30,12265,12270.0,11320.0,11900,155843
1999-12-31,11895,11895.0,11000.0,11000,12295
2000-03-31,10800,10800.0,10000.0,10000,594
2000-06-30,7985,10000.0,7985.0,10000,1003
2000-09-30,10750,12500.0,10750.0,11510,2767
2000-12-31,11300,11300.0,11195.0,11240,706
2001-03-31,11200,11200.0,9490.0,9490,334
2001-06-30,9450,9450.0,9450.0,9450,30
2001-09-30,9400,9400.0,9295.0,9295,1322
2001-12-31,9295,9295.0,7955.0,7955,2501
2002-03-31,7955,7955.0,7955.0,7955,24204
2002-09-30,7900,7900.0,7900.0,7900,301
2002-12-31,6900,6900.0,6700.0,6700,628
2003-03-31,6695,6695.0,6695.0,6695,12786
2003-06-30,6695,6695.0,6695.0,6695,78
2003-09-30,6650,6650.0,6600.0,6605,1120
2003-12-31,7000,7000.0,6600.0,6600,922
2004-03-31,6600,6600.0,6600.0,6600,100
2004-06-30,6600,6600.0,6600.0,6600,243
2004-09-30,6600,6600.0,6600.0,6600,998
2005-03-31,6500,6500.0,6495.0,6495,422645
2005-06-30,6000,6000.0,5700.0,5700,549
2005-09-30,4995,4995.0,4995.0,4995,300
2006-03-31,4995,4995.0,4400.0,4400,28
2006-09-30,4400,4400.0,4400.0,4400,8
2007-06-30,4400,4400.0,4395.0,4395,94
2007-09-30,4200,4200.0,3500.0,3850,1486
2007-12-31,4400,5300.0,4400.0,5300,203
2008-03-31,5300,5300.0,5300.0,5300,87
2008-06-30,5300,5300.0,5295.0,5295,247
2008-09-30,5295,6400.0,5295.0,6400,5306
2008-12-31,6500,6905.0,6500.0,6600,1152
2009-06-30,6600,6600.0,6600.0,6600,2
2009-12-31,6250,6250.0,6250.0,6250,23
2010-03-31,5000,5000.0,5000.0,5000,4352
2010-06-30,5000,5000.0,5000.0,5000,7
2010-09-30,5000,5000.0,5000.0,5000,1
2010-12-31,4625,4625.0,4600.0,4600,1872
2011-03-31,4150,4150.0,4100.0,4100,50
2011-09-30,3795,3795.0,3795.0,3795,10
2012-03-31,3795,3795.0,3795.0,3795,32
2012-06-30,3795,3795.0,3795.0,3795,1
2012-09-30,3600,3600.0,3600.0,3600,20
2012-12-31,3600,3600.0,3600.0,3600,134
2013-03-31,3600,3600.0,3600.0,3600,125
2013-06-30,3600,3600.0,3600.0,3600,3
2013-09-30,3600,3600.0,3330.0,3600,259
2013-12-31,3600,3600.0,3330.0,3330,29
2014-03-31,3330,4450.0,3085.0,4100,215
2014-06-30,4100,5105.0,4100.0,5105,518
2014-09-30,5300,6125.0,5300.0,5895,538
2014-12-31,5895,5895.0,5090.0,5090,205
2015-03-31,4995,5375.0,4995.0,5375,2677
2015-06-30,5775,10280.0,5775.0,8695,2404
2015-09-30,8045,9500.0,7445.0,8400,1587
2015-12-31,9000,9000.0,8200.0,8270,574
2016-03-31,8110,8110.0,6500.0,6500,469
2016-06-30,6985,6985.0,5495.0,5500,744
2016-09-30,5600,5995.0,5000.0,5995,720
2016-12-31,5885,15505.0,5500.0,11100,2435
2017-03-31,11000,11900.0,5800.0,6500,471
2017-06-30,6400,6400.0,3605.0,3605,455
2017-09-30,3875,6750.0,3875.0,6100,464
2017-12-31,5915,6000.0,3655.0,3950,97
2018-03-31,3950,4150.0,3565.0,3860,547
2018-06-30,3850,3860.0,2800.0,3080,519
2018-09-30,3305,3600.0,3300.0,3530,773
2018-12-31,3600,3600.0,3530.0,3600,370
2019-03-31,3600,3605.0,3560.0,3560,219
2019-06-30,3560,3560.0,3250.0,3300,28
2019-09-30,3300,3300.0,3200.0,3200,32
2019-12-31,2960,2960.0,2740.0,2740,49
2020-03-31,2750,2750.0,2495.0,2495,149
2020-06-30,2400,2400.0,1965.0,1965,425
2020-09-30,1985,1985.0,1760.0,1890,119
2020-12-31,1750,1750.0,1230.0,1230,252
2021-03-31,1230,1330.0,1140.0,1140,863
2021-06-30,1140,1720.0,1140.0,1720,3436
2021-09-30,1845,6340.0,1845.0,6340,6549
2021-12-31,6815,7870.0,4255.0,5120,5499
2022-03-31,5120,6100.0,4700.0,5630,1840
2022-06-30,6000,12135.0,5880.0,11485,1677
2022-09-30,11485,12355.0,5055.0,5980,7883
2022-12-31,6425,7530.0,5320.0,5405,1699
2023-03-31,5405,6625.0,5405.0,5945,563
2023-06-30,5800,6395.0,5495.0,5495,199
2023-09-30,5495,6775.0,5005.0,5005,416
2023-12-31,5005,5760.0,2620.0,3025,1757
2024-03-31,3250,3655.0,3250.0,3650,768
2024-06-30,3650,3650.0,3000.0,3145,254
2024-09-30,3145,3200.0,2800.0,2825,470
2024-12-31,2825,4000.0,2775.0,4000,657
2025-03-31,4005,4275.0,3370.0,3645,2091
2025-06-30,3375,3645.0,3100.0,3320,4000
2025-09-30,3310,4000.0,3065.0,3480,7780
2025-12-31,3480,3640.0,3150.0,3300,5766
2026-03-31,3300,4300.0,3295.0,4045,7503
2026-06-30,4045,4835.0,3750.0,4600,6400
2026-09-30,4380,10200.0,4380.0,7995,7469
