Date,Open,High,Low,Close,Volume
1998-09-21,18500,18500.0,18500.0,18500,1
1998-09-28,19885,19885.0,18500.0,18500,56
1998-10-05,18500,18500.0,18500.0,18500,11
1998-10-12,18500,18500.0,18500.0,18500,13
1998-10-19,18500,18500.0,18500.0,18500,10
1998-11-02,11650,12520.0,11650.0,12520,15
1998-11-09,11585,11585.0,10100.0,10100,219
1998-11-16,9350,9350.0,8005.0,8005,1312
1998-11-23,7405,7960.0,7405.0,7960,9197
1998-11-30,8555,8555.0,8555.0,8555,1468
1998-12-14,10010,10760.0,10000.0,10000,1664
1998-12-21,10000,10000.0,10000.0,10000,534
1999-01-04,10000,10000.0,10000.0,10000,60
1999-01-11,10000,10000.0,9995.0,9995,370
1999-01-18,9995,10000.0,9995.0,10000,49
1999-01-25,9995,9995.0,9995.0,9995,5
1999-02-01,9995,9995.0,9995.0,9995,7
1999-02-08,9995,9995.0,9995.0,9995,6
1999-02-15,10000,10000.0,10000.0,10000,235
1999-02-22,10750,10750.0,10750.0,10750,1039
1999-03-01,11010,11010.0,11010.0,11010,30
1999-03-08,11010,11025.0,11010.0,11025,3011
1999-03-15,11850,11850.0,11850.0,11850,50
1999-03-22,12000,12000.0,12000.0,12000,15
1999-03-29,12000,12900.0,12000.0,12900,2457
1999-04-05,12900,13000.0,12900.0,13000,496
1999-04-12,13025,13025.0,13025.0,13025,32
1999-04-19,12900,12900.0,12900.0,12900,9
1999-04-26,12900,12900.0,12900.0,12900,7
1999-05-03,12900,12900.0,11935.0,11935,109
1999-05-10,12000,12000.0,12000.0,12000,411
1999-05-24,11205,11205.0,11205.0,11205,60
1999-05-31,11200,11200.0,11200.0,11200,88
1999-06-07,11200,11200.0,11200.0,11200,2
1999-06-14,11200,11200.0,11200.0,11200,5
1999-06-21,11200,11200.0,10500.0,10500,283
1999-06-28,11200,12235.0,11200.0,12235,351
1999-07-05,12240,12270.0,12240.0,12270,531
1999-07-12,12235,12235.0,12235.0,12235,138
1999-07-19,11320,11320.0,11320.0,11320,330
1999-07-26,11800,11800.0,11800.0,11800,170
1999-08-02,11800,11800.0,11800.0,11800,115
1999-08-16,11800,11800.0,11800.0,11800,10
1999-08-23,11800,11800.0,11800.0,11800,262
1999-08-30,11610,11610.0,11600.0,11600,36
1999-09-06,11800,11800.0,11800.0,11800,56
1999-09-13,11800,11800.0,11800.0,11800,154615
1999-09-20,11900,11900.0,11900.0,11900,20
1999-10-11,11895,11895.0,11890.0,11890,138
1999-10-18,11800,11800.0,11800.0,11800,11317
1999-10-25,11800,11800.0,11800.0,11800,820
1999-11-01,11200,11200.0,11200.0,11200,8
2000-01-03,11000,11000.0,11000.0,11000,12
2000-03-06,10800,10800.0,10800.0,10800,300
2000-03-20,10000,10000.0,10000.0,10000,294
2000-04-17,7985,7985.0,7985.0,7985,355
2000-05-01,7985,7985.0,7985.0,7985,1
2000-05-08,7985,7985.0,7985.0,7985,276
2000-05-22,7985,7985.0,7985.0,7985,143
2000-05-29,7985,7985.0,7985.0,7985,34
2000-06-19,8580,8580.0,8580.0,8580,85
2000-06-26,10000,10000.0,10000.0,10000,99
2000-07-03,10000,10000.0,10000.0,10000,10
2000-07-10,10750,10750.0,10750.0,10750,40
2000-07-17,11550,12000.0,11550.0,12000,46
2000-07-24,12200,12500.0,12200.0,12500,243
2000-07-31,12000,12000.0,12000.0,12000,179
2000-08-07,12000,12000.0,12000.0,12000,46
2000-08-14,12000,12000.0,11700.0,11700,1028
2000-08-21,11700,11700.0,11700.0,11700,181
2000-09-04,11500,11500.0,11500.0,11500,457
2000-09-11,11500,11510.0,11500.0,11510,182
2000-09-18,11510,11510.0,11510.0,11510,365
2000-10-02,11300,11300.0,11300.0,11300,12
2000-10-09,11300,11300.0,11300.0,11300,80
2000-10-23,11250,11250.0,11250.0,11250,16
2000-10-30,11245,11245.0,11245.0,11245,22
2000-11-06,11240,11240.0,11200.0,11200,30
2000-11-13,11195,11195.0,11195.0,11195,40
2000-11-20,11195,11195.0,11195.0,11195,59
2000-11-27,11195,11195.0,11195.0,11195,100
2000-12-04,11195,11195.0,11195.0,11195,250
2000-12-11,11195,11240.0,11195.0,11240,72
2000-12-18,11240,11240.0,11240.0,11240,23
2000-12-25,11240,11240.0,11240.0,11240,2
2001-01-15,11200,11200.0,10495.0,10495,150
2001-01-22,9995,9995.0,9900.0,9900,132
2001-03-26,9490,9490.0,9490.0,9490,52
2001-04-09,9450,9450.0,9450.0,9450,20
2001-05-28,9450,9450.0,9450.0,9450,8
2001-06-11,9450,9450.0,9450.0,9450,2
2001-07-09,9400,9400.0,9400.0,9400,1250
2001-08-20,9400,9400.0,9400.0,9400,16
2001-09-03,9300,9300.0,9300.0,9300,8
2001-09-10,9295,9295.0,9295.0,9295,48
2001-10-29,9295,9295.0,9295.0,9295,4
2001-11-12,8600,8600.0,8600.0,8600,620
2001-11-19,8600,8600.0,8600.0,8600,500
2001-11-26,7955,7955.0,7955.0,7955,269
2001-12-31,7955,7955.0,7955.0,7955,1108
2002-02-04,7955,7955.0,7955.0,7955,24203
2002-03-11,7955,7955.0,7955.0,7955,1
2002-07-22,7900,7900.0,7900.0,7900,137
2002-08-05,7900,7900.0,7900.0,7900,164
2002-10-14,6900,6900.0,6900.0,6900,177
2002-10-21,6900,6900.0,6900.0,6900,42
2002-11-04,6900,6900.0,6900.0,6900,2
2002-11-11,6700,6700.0,6700.0,6700,68
2002-11-18,6700,6700.0,6700.0,6700,10
2002-11-25,6700,6700.0,6700.0,6700,184
2002-12-16,6700,6700.0,6700.0,6700,45
2002-12-30,6700,6700.0,6700.0,6700,100
2003-01-27,6695,6695.0,6695.0,6695,12786
2003-06-09,6695,6695.0,6695.0,6695,25
2003-06-16,6695,6695.0,6695.0,6695,53
2003-08-04,6650,6650.0,6600.0,6650,60
2003-08-11,6600,6600.0,6600.0,6600,31
2003-08-18,6600,6600.0,6600.0,6600,64
2003-08-25,6610,6610.0,6610.0,6610,15
2003-09-08,6610,6610.0,6610.0,6610,29
2003-09-15,6610,6610.0,6610.0,6610,30
2003-09-22,6615,6615.0,6605.0,6605,880
2003-09-29,6605,6605.0,6605.0,6605,10
2003-10-06,6605,6605.0,6605.0,6605,1
2003-10-27,7000,7000.0,7000.0,7000,25
2003-11-03,6615,6615.0,6615.0,6615,275
2003-11-10,6620,6620.0,6620.0,6620,450
2003-11-24,6625,6625.0,6625.0,6625,60
2003-12-01,6625,6625.0,6625.0,6625,6
2003-12-08,6600,6600.0,6600.0,6600,37
2004-01-05,6600,6600.0,6600.0,6600,69
2004-01-26,6600,6600.0,6600.0,6600,24
2004-02-02,6600,6600.0,6600.0,6600,1
2004-02-09,6600,6600.0,6600.0,6600,15
2004-03-15,6600,6600.0,6600.0,6600,60
2004-04-19,6600,6600.0,6600.0,6600,60
2004-05-03,6600,6600.0,6600.0,6600,150
2004-05-17,6600,6600.0,6600.0,6600,33
2004-09-13,6600,6600.0,6600.0,6600,998
2005-02-07,6500,6500.0,6500.0,6500,422634
2005-02-14,6495,6495.0,6495.0,6495,11
2005-06-13,6000,6000.0,6000.0,6000,200
2005-06-20,5700,5700.0,5700.0,5700,207
2005-06-27,5700,5700.0,5700.0,5700,18
2005-07-04,5700,5700.0,5700.0,5700,124
2005-10-03,4995,4995.0,4995.0,4995,300
2006-01-16,4995,4995.0,4995.0,4995,2
2006-02-13,4995,4995.0,4995.0,4995,6
2006-02-27,4400,4400.0,4400.0,4400,20
2006-07-31,4400,4400.0,4400.0,4400,2
2006-09-11,4400,4400.0,4400.0,4400,1
2006-09-18,4400,4400.0,4400.0,4400,5
2007-05-14,4400,4400.0,4400.0,4400,35
2007-05-21,4395,4395.0,4395.0,4395,56
2007-06-25,4395,4395.0,4395.0,4395,3
2007-08-13,4200,4200.0,4195.0,4195,53
2007-08-27,4100,4100.0,4100.0,4100,45
