Date,Open,High,Low,Close,Volume
1998-12-31,18500,19885,7405,10000,14535
1999-12-31,10000,13025,9995,11000,177730
2000-12-31,10800,12500,7985,11240,5070
2001-12-31,11200,11200,7955,7955,4187
2002-12-31,7955,7955,6700,6700,25133
2003-12-31,6695,7000,6600,6600,14906
2004-12-31,6600,6600,6600,6600,1341
2005-12-31,6500,6500,4995,4995,423494
2006-12-31,4995,4995,4400,4400,36
2007-12-31,4400,5300,3500,5300,1783
2008-12-31,5300,6905,5295,6600,6792
2009-12-31,6600,6600,6250,6250,25
2010-12-31,5000,5000,4600,4600,6232
2011-12-31,4150,4150,3795,3795,60
2012-12-31,3795,3795,3600,3600,187
2013-12-31,3600,3600,3330,3330,416
2014-12-31,3330,6125,3085,5090,1476
2015-12-31,4995,10280,4995,8270,7242
2016-12-31,8110,15505,5000,11100,4368
2017-12-31,11000,11900,3605,3950,1487
2018-12-31,3950,4150,2800,3600,2209
2019-12-31,3600,3605,2740,2740,328
2020-12-31,2750,2750,1230,1230,945
2021-12-31,1230,7870,1140,5120,16347
2022-12-31,5120,12355,4700,5405,13099
2023-12-31,5405,6775,2620,3025,2935
2024-12-31,3250,4000,2775,4000,2149
2025-12-31,4005,4275,3065,3300,19637
2026-12-31,3300,10200,3295,9350,18783
