Date,Open,High,Low,Close,Volume
1999-04-19,1000,1000,1000,1000,8720
1999-04-21,1074,1074,1074,1074,8750
1999-04-23,1155,1155,1155,1155,80870
1999-04-26,1199,1199,1199,1199,10570
1999-04-28,1110,1110,1110,1110,4630
1999-05-03,950,950,950,950,13100
1999-05-05,879,879,879,879,3680
1999-05-07,814,814,814,814,4790
1999-05-10,875,875,875,875,15380
1999-05-12,940,940,940,940,1300
1999-05-14,1011,1011,1011,1011,1660
1999-05-17,1000,1000,1000,1000,680
1999-05-19,998,998,998,998,710
1999-05-21,950,950,950,950,340
1999-05-26,950,950,950,950,5420
1999-05-28,949,949,949,949,250
1999-05-31,900,900,900,900,560
1999-06-02,850,850,850,850,9100
1999-06-04,900,900,900,900,1990
1999-06-07,893,893,893,893,600
1999-06-09,850,850,850,850,3930
1999-06-11,870,870,870,870,2100
1999-06-14,810,810,810,810,1600
1999-06-16,812,812,812,812,300
1999-06-18,855,855,855,855,1800
1999-06-21,856,856,856,856,800
1999-06-23,850,850,850,850,7000
1999-06-30,851,851,851,851,1490
1999-07-02,850,850,850,850,500
1999-07-05,850,850,850,850,1350
1999-07-07,850,850,850,850,7600
1999-07-09,851,851,851,851,500
1999-07-12,850,850,850,850,1530
1999-07-14,850,850,850,850,3670
1999-07-16,861,861,861,861,1000
1999-07-19,860,860,860,860,270
1999-07-21,849,849,849,849,560
1999-07-23,850,850,850,850,7820
1999-07-26,850,850,850,850,70
1999-07-28,850,850,850,850,4650
1999-07-30,850,850,850,850,18190
1999-08-02,844,844,844,844,1140
1999-08-06,844,844,844,844,100
1999-08-11,820,820,820,820,1300
1999-08-13,800,800,800,800,1700
1999-08-16,800,800,800,800,1950
1999-08-18,801,801,801,801,1540
1999-08-20,840,840,840,840,1000
1999-08-23,850,850,850,850,250
1999-08-30,849,849,849,849,300
1999-09-01,849,849,849,849,80
1999-09-08,825,825,825,825,5570
1999-09-10,823,823,823,823,40
1999-09-17,800,800,800,800,120
1999-09-22,800,800,800,800,10000
1999-09-24,750,750,750,750,2150
1999-09-27,750,750,750,750,1520
1999-09-29,750,750,750,750,1200
1999-10-01,750,750,750,750,700
1999-10-06,750,750,750,750,400
1999-10-11,721,721,721,721,4430
1999-10-13,721,721,721,721,900
1999-10-15,715,715,715,715,7400
1999-10-18,725,725,725,725,80
1999-10-20,721,721,721,721,4090
1999-10-22,741,741,741,741,480
1999-10-25,750,750,750,750,130
1999-10-27,721,721,721,721,410
1999-10-29,721,721,721,721,1000
1999-11-05,700,700,700,700,1000
1999-11-08,740,740,740,740,360
1999-11-10,740,740,740,740,350
1999-11-19,730,730,730,730,100
