Date,Open,High,Low,Close,Volume
1999-04-30,1000,1199.0,1000.0,1110,113540
1999-05-31,950,1011.0,814.0,900,47870
1999-06-30,850,900.0,810.0,851,30710
1999-07-31,850,861.0,849.0,850,47710
1999-08-31,844,850.0,800.0,849,9280
1999-09-30,849,849.0,750.0,750,20680
1999-10-31,750,750.0,715.0,721,20020
1999-11-30,700,740.0,700.0,719,5300
1999-12-31,719,740.0,700.0,720,27810
2000-01-31,720,756.0,703.0,740,18170
2000-02-29,740,740.0,690.0,700,16430
2000-03-31,700,700.0,698.0,698,11720
2000-04-30,690,690.0,625.0,625,8380
2000-05-31,672,672.0,635.0,635,6170
2000-06-30,635,635.0,630.0,631,11210
2000-07-31,631,631.0,600.0,631,7650
2000-08-31,631,635.0,631.0,635,4690
2000-09-30,635,638.0,600.0,600,3800
2000-10-31,599,599.0,569.0,569,3820
2000-11-30,565,590.0,550.0,570,13220
2000-12-31,570,570.0,550.0,550,2060
2001-01-31,520,520.0,500.0,500,21280
2001-02-28,480,500.0,480.0,500,4690
2001-03-31,470,502.0,470.0,502,19060
2001-04-30,502,610.0,502.0,610,44660
2001-05-31,610,623.0,580.0,600,4610
2001-06-30,600,600.0,600.0,600,2810
2001-07-31,600,600.0,580.0,580,5360
2001-08-31,570,570.0,515.0,515,2430
2001-09-30,515,515.0,500.0,500,1020
2001-10-31,500,500.0,500.0,500,1330
2001-11-30,495,495.0,490.0,490,1220
2001-12-31,479,479.0,420.0,420,8480
2002-01-31,420,450.0,370.0,380,25460
2002-02-28,380,380.0,370.0,370,2670
2002-03-31,370,391.0,370.0,391,4100
2002-04-30,391,395.0,391.0,395,4110
2002-05-31,390,391.0,390.0,391,6770
2002-06-30,391,391.0,391.0,391,270
2002-07-31,321,350.0,321.0,350,10320
2002-08-31,350,360.0,350.0,350,8350
2002-09-30,350,355.0,350.0,355,1010
2002-10-31,355,355.0,355.0,355,18600
2002-11-30,355,355.0,320.0,320,22910
2002-12-31,325,349.0,325.0,349,1390
2003-01-31,326,330.0,324.0,324,3100
2003-02-28,300,324.0,278.0,324,3340
2003-03-31,300,320.0,300.0,310,2620
2003-04-30,320,320.0,320.0,320,1210
2003-05-31,321,321.0,321.0,321,2030
2003-06-30,330,335.0,330.0,335,920
2003-07-31,330,340.0,321.0,340,4400
2003-08-31,350,400.0,350.0,400,6600
2003-09-30,410,427.0,410.0,427,3040
2003-10-31,450,500.0,450.0,500,2630
2003-11-30,500,500.0,465.0,465,1450
2003-12-31,465,500.0,465.0,500,990
2004-01-31,500,500.0,500.0,500,350
2004-02-29,500,500.0,500.0,500,550
2004-04-30,450,450.0,420.0,420,3410
2004-05-31,420,500.0,420.0,500,1900
2004-06-30,500,500.0,500.0,500,3130
2004-07-31,500,500.0,440.0,440,2960
2004-08-31,500,500.0,480.0,500,3130
2004-09-30,500,501.0,500.0,500,14000
2004-10-31,450,480.0,450.0,480,4610
2004-11-30,480,480.0,450.0,480,880
2004-12-31,480,500.0,450.0,450,1320
2005-01-31,500,500.0,500.0,500,800
2005-02-28,500,500.0,450.0,450,1650
2005-03-31,450,450.0,420.0,450,12010
2005-04-30,450,450.0,430.0,431,2870
2005-05-31,455,480.0,455.0,480,2010
2005-06-30,491,511.0,491.0,511,400
2005-07-31,495,495.0,485.0,485,1100
2005-08-31,480,484.0,480.0,484,4460
2005-09-30,484,485.0,470.0,470,2680
2005-10-31,505,505.0,500.0,500,420
2005-11-30,484,484.0,470.0,471,3880
2005-12-31,470,470.0,420.0,420,2900
2006-01-31,420,421.0,420.0,420,11410
2006-02-28,420,450.0,400.0,420,12190
2006-03-31,420,451.0,420.0,451,5430
2006-04-30,450,451.0,450.0,451,430
2006-05-31,462,462.0,450.0,450,9480
2006-06-30,450,450.0,450.0,450,2640
2006-07-31,450,470.0,450.0,465,5640
2006-08-31,465,500.0,435.0,500,6770
2006-09-30,500,500.0,500.0,500,9410
2006-10-31,500,500.0,490.0,490,3780
2006-11-30,500,538.0,498.0,538,6110
2006-12-31,500,500.0,463.0,463,13900
2007-01-31,463,463.0,463.0,463,310
2007-02-28,463,470.0,463.0,470,2760
2007-03-31,471,475.0,471.0,475,2370
2007-04-30,475,475.0,475.0,475,2610
2007-05-31,475,580.0,475.0,580,1590
2007-06-30,624,800.0,624.0,800,3000
2007-07-31,800,860.0,710.0,750,34910
2007-08-31,760,850.0,760.0,850,7380
2007-09-30,921,1100.0,914.0,1030,13610
2007-10-31,1030,1030.0,850.0,850,6860
2007-11-30,800,820.0,750.0,800,16040
2007-12-31,850,850.0,800.0,800,7420
2008-01-31,800,811.0,800.0,811,4550
2008-02-29,811,1000.0,811.0,999,2580
2008-03-31,925,925.0,920.0,920,8180
2008-04-30,950,1120.0,950.0,1100,8120
2008-05-31,1125,1125.0,1125.0,1125,9110
2008-06-30,1150,1220.0,1100.0,1200,12980
2008-07-31,1220,1221.0,1090.0,1100,23940
2008-08-31,1090,1200.0,1080.0,1200,16010
2008-09-30,1201,1201.0,1100.0,1100,15740
2008-10-31,1100,1100.0,1000.0,1000,8600
2008-11-30,1000,1000.0,900.0,910,1970
2008-12-31,910,910.0,800.0,800,5180
2009-01-31,800,800.0,640.0,644,10730
2009-02-28,650,650.0,650.0,650,4930
2009-03-31,680,715.0,680.0,700,3700
2009-04-30,700,701.0,700.0,700,3000
2009-05-31,700,753.0,700.0,753,370
2009-06-30,760,880.0,760.0,880,640
2009-07-31,1050,1100.0,880.0,880,4280
2009-08-31,880,880.0,870.0,870,3480
2009-09-30,870,930.0,855.0,855,7000
2009-10-31,844,844.0,800.0,820,28700
2009-11-30,820,1032.0,820.0,1032,22000
2009-12-31,1032,1040.0,900.0,1000,21100
2010-01-31,920,1050.0,920.0,953,8790
2010-02-28,1000,1000.0,950.0,1000,9660
2010-03-31,1000,1001.0,950.0,999,12030
2010-04-30,999,1050.0,999.0,1050,16030
2010-05-31,1050,1100.0,1000.0,1000,6570
2010-06-30,958,990.0,850.0,990,13810
2010-07-31,981,990.0,850.0,850,12720
2010-08-31,850,900.0,801.0,801,8980
2010-09-30,801,901.0,801.0,890,14800
2010-10-31,890,1000.0,890.0,950,4920
2010-11-30,890,900.0,800.0,801,8050
2010-12-31,800,936.0,800.0,811,10280
2011-01-31,811,900.0,811.0,870,7860
2011-02-28,870,870.0,800.0,800,1300
2011-03-31,840,840.0,800.0,800,400
2011-05-31,800,800.0,700.0,715,9320
2011-06-30,715,750.0,715.0,750,2920
2011-07-31,800,900.0,800.0,850,8230
2011-08-31,850,850.0,750.0,800,8570
2011-09-30,800,800.0,730.0,730,4300
2011-10-31,750,800.0,750.0,750,12090
2011-11-30,751,775.0,720.0,720,1930
2011-12-31,701,701.0,670.0,671,3860
2012-01-31,699,720.0,670.0,720,26000
2012-02-29,720,720.0,700.0,700,4040
2012-03-31,700,740.0,620.0,740,13470
2012-04-30,790,849.0,690.0,690,38800
2012-05-31,680,695.0,680.0,680,2840
2012-06-30,680,809.0,680.0,740,12550
2012-07-31,740,740.0,700.0,700,7440
2012-08-31,700,720.0,700.0,720,4250
2012-09-30,721,800.0,721.0,740,6840
2012-10-31,740,925.0,700.0,905,71410
2012-11-30,905,1100.0,905.0,1000,37540
2012-12-31,1000,1000.0,900.0,900,9530
2013-01-31,900,1040.0,800.0,950,25150
