Date,Open,High,Low,Close,Volume
1999-06-30,1000,1199,810,851,192120
1999-09-30,850,861,750,750,77670
1999-12-31,750,750,700,720,53130
2000-03-31,720,756,690,698,46320
2000-06-30,690,690,625,631,25760
2000-09-30,631,638,600,600,16140
2000-12-31,599,599,550,550,19100
2001-03-31,520,520,470,502,45030
2001-06-30,502,623,502,600,52080
2001-09-30,600,600,500,500,8810
2001-12-31,500,500,420,420,11030
2002-03-31,420,450,370,391,32230
2002-06-30,391,395,390,391,11150
2002-09-30,321,360,321,355,19680
2002-12-31,355,355,320,349,42900
2003-03-31,326,330,278,310,9060
2003-06-30,320,335,320,335,4160
2003-09-30,330,427,321,427,14040
2003-12-31,450,500,450,500,5070
2004-03-31,500,500,500,500,900
2004-06-30,450,500,420,500,8440
2004-09-30,500,501,440,500,20090
2004-12-31,450,500,450,450,6810
2005-03-31,500,500,420,450,14460
2005-06-30,450,511,430,511,5280
2005-09-30,495,495,470,470,8240
2005-12-31,505,505,420,420,7200
2006-03-31,420,451,400,451,29030
2006-06-30,450,462,450,450,12550
2006-09-30,450,500,435,500,21820
2006-12-31,500,538,463,463,23790
2007-03-31,463,475,463,475,5440
2007-06-30,475,800,475,800,7200
2007-09-30,800,1100,710,1030,55900
2007-12-31,1030,1030,750,800,30320
2008-03-31,800,1000,800,920,15310
2008-06-30,950,1220,950,1200,30210
2008-09-30,1220,1221,1080,1100,55690
2008-12-31,1100,1100,800,800,15750
2009-03-31,800,800,640,700,19360
2009-06-30,700,880,700,880,4010
2009-09-30,1050,1100,855,855,14760
2009-12-31,844,1040,800,1000,71800
2010-03-31,920,1050,920,999,30480
2010-06-30,999,1100,850,990,36410
2010-09-30,981,990,801,890,36500
2010-12-31,890,1000,800,811,23250
2011-03-31,811,900,800,800,9560
2011-06-30,800,800,700,750,12240
2011-09-30,800,900,730,730,21100
2011-12-31,750,800,670,671,17880
2012-03-31,699,740,620,740,43510
2012-06-30,790,849,680,740,54190
2012-09-30,740,800,700,740,18530
2012-12-31,740,1100,700,900,118480
2013-03-31,900,1150,800,1062,49960
2013-06-30,1061,1490,1000,1300,49650
2013-09-30,1203,1300,1200,1299,41640
2013-12-31,1270,1600,1200,1595,75440
2014-03-31,1595,2200,1595,1999,31780
2014-06-30,1990,2000,1641,1950,27040
2014-09-30,2000,2000,1600,1800,74630
2014-12-31,1830,1836,1550,1700,23980
2015-03-31,1700,2634,1666,2293,99150
2015-06-30,2290,2355,1758,1901,60150
2015-09-30,1930,2310,1890,2050,103530
2015-12-31,2050,2200,1940,2000,42880
2016-03-31,1950,2150,1900,2000,83720
2016-06-30,2010,2250,1805,1900,78470
2016-09-30,1900,1945,1600,1620,146000
2016-12-31,1600,1600,1050,1100,73990
2017-03-31,1100,1200,699,699,65910
2017-06-30,700,860,560,780,87340
2017-09-30,780,880,580,615,27810
2017-12-31,615,650,400,400,42870
2018-03-31,420,710,395,650,47530
2018-06-30,695,700,330,350,89386
2018-09-30,350,500,345,470,129645
2018-12-31,470,535,400,535,55776
2019-03-31,525,525,370,400,11083
2019-06-30,400,450,380,410,40961
2019-09-30,400,400,300,310,19384
2019-12-31,310,315,180,185,27467
2020-03-31,190,255,190,235,25530
2020-06-30,235,285,190,235,33672
2020-09-30,235,245,165,205,36285
2020-12-31,210,225,175,185,97254
2021-03-31,185,220,180,210,22862
2021-06-30,210,480,200,410,61823
2021-09-30,390,625,380,625,53229
2021-12-31,625,900,570,895,222489
2022-03-31,895,1000,650,890,492756
2022-06-30,890,890,770,850,71323
2022-09-30,850,975,645,845,122017
2022-12-31,845,950,625,675,39417
2023-03-31,675,750,600,625,62121
2023-06-30,625,635,550,600,38246
2023-09-30,585,585,500,500,21240
2023-12-31,500,925,495,830,391378
2024-03-31,830,845,750,805,108822
2024-06-30,800,805,455,500,42902
2024-09-30,500,720,455,535,263243
2024-12-31,560,560,475,500,118294
2025-03-31,500,520,450,510,76505
2025-06-30,505,610,460,535,236534
2025-09-30,535,720,500,680,206876
2025-12-31,690,1870,600,1580,693936
2026-03-31,1695,3040,1575,2950,587224
2026-06-30,2950,3215,2305,2500,308311
2026-09-30,2500,2550,1850,2330,267192
