Date,Open,High,Low,Close,Volume
1999-04-19,1000,1000.0,1000.0,1000,8720
1999-04-26,1074,1199.0,1074.0,1199,100190
1999-05-03,1110,1110.0,950.0,950,17730
1999-05-10,879,879.0,814.0,875,23850
1999-05-17,940,1011.0,940.0,1000,3640
1999-05-24,998,998.0,950.0,950,1050
1999-05-31,950,950.0,900.0,900,6230
1999-06-07,850,900.0,850.0,893,11690
1999-06-14,850,870.0,810.0,810,7630
1999-06-21,812,856.0,812.0,856,2900
1999-06-28,850,850.0,850.0,850,7000
1999-07-05,851,851.0,850.0,850,3340
1999-07-12,850,851.0,850.0,850,9630
1999-07-19,850,861.0,850.0,860,4940
1999-07-26,849,850.0,849.0,850,8450
1999-08-02,850,850.0,844.0,844,23980
1999-08-09,844,844.0,844.0,844,100
1999-08-16,820,820.0,800.0,800,4950
1999-08-23,801,850.0,801.0,850,2790
1999-08-30,849,849.0,849.0,849,300
1999-09-06,849,849.0,849.0,849,80
1999-09-13,825,825.0,823.0,823,5610
1999-09-20,800,800.0,800.0,800,120
1999-09-27,800,800.0,750.0,750,13670
1999-10-04,750,750.0,750.0,750,1900
1999-10-11,750,750.0,721.0,721,4830
1999-10-18,721,725.0,715.0,725,8380
1999-10-25,721,750.0,721.0,750,4700
1999-11-01,721,721.0,721.0,721,1410
1999-11-08,700,740.0,700.0,740,1360
1999-11-15,740,740.0,740.0,740,350
1999-11-22,730,730.0,720.0,720,2150
1999-11-29,720,720.0,719.0,719,1440
1999-12-06,719,740.0,719.0,740,3720
1999-12-13,740,740.0,720.0,720,16500
1999-12-20,720,720.0,715.0,720,4750
1999-12-27,720,720.0,720.0,720,140
2000-01-03,700,720.0,700.0,720,2700
2000-01-10,720,720.0,719.0,719,1640
2000-01-17,705,705.0,703.0,703,5330
2000-01-24,756,756.0,750.0,750,10680
2000-01-31,740,740.0,740.0,740,520
2000-02-07,740,740.0,720.0,720,890
2000-02-14,700,700.0,700.0,700,9010
2000-02-21,699,700.0,699.0,700,2810
2000-02-28,690,700.0,690.0,700,3720
2000-03-06,700,700.0,700.0,700,5990
2000-03-13,699,699.0,699.0,699,1550
2000-03-20,699,699.0,699.0,699,340
2000-03-27,699,699.0,698.0,698,3240
2000-04-03,698,698.0,698.0,698,600
2000-04-10,690,690.0,690.0,690,300
2000-04-17,650,650.0,625.0,625,3280
