Date,Open,High,Low,Close,Volume
1999-12-31,1000,1199,700,720,322920
2000-12-31,720,756,550,550,107320
2001-12-31,520,623,420,420,116950
2002-12-31,420,450,320,349,105960
2003-12-31,326,500,278,500,32330
2004-12-31,500,501,420,450,36240
2005-12-31,500,511,420,420,35180
2006-12-31,420,538,400,463,87190
2007-12-31,463,1100,463,800,98860
2008-12-31,800,1221,800,800,116960
2009-12-31,800,1100,640,1000,109930
2010-12-31,920,1100,800,811,126640
2011-12-31,811,900,670,671,60780
2012-12-31,699,1100,620,900,234710
2013-12-31,900,1600,800,1595,216690
2014-12-31,1595,2200,1550,1700,157430
2015-12-31,1700,2634,1666,2000,305710
2016-12-31,1950,2250,1050,1100,382180
2017-12-31,1100,1200,400,400,223930
2018-12-31,420,710,330,535,322337
2019-12-31,525,525,180,185,98895
2020-12-31,190,285,165,185,192741
2021-12-31,185,900,180,895,360403
2022-12-31,895,1000,625,675,725513
2023-12-31,675,925,495,830,512985
2024-12-31,830,845,455,500,533261
2025-12-31,500,1870,450,1580,1213851
2026-12-31,1695,3215,1575,2330,1162727
