Date,Open,High,Low,Close,Volume
1998-09-30,6250,6650.0,6250.0,6650,2540
1998-10-31,7148,10700.0,7148.0,10700,1900
1998-11-30,9898,10530.0,9155.0,10530,7300
1998-12-31,10530,10530.0,10528.0,10528,1740
1999-01-31,10000,10000.0,10000.0,10000,220
1999-02-28,9500,9500.0,9500.0,9500,220
1999-03-31,9750,9750.0,9750.0,9750,480
1999-04-30,9750,10000.0,9750.0,10000,1060
1999-05-31,10000,10000.0,10000.0,10000,500
1999-07-31,8651,8651.0,7400.0,7400,4940
1999-08-31,7500,7500.0,7495.0,7495,2440
1999-09-30,7500,8051.0,7500.0,8051,6560
1999-10-31,8001,8001.0,8000.0,8000,1760
1999-11-30,8000,8000.0,7501.0,8000,3880
1999-12-31,7500,7750.0,7250.0,7750,1280
2000-01-31,7500,7500.0,7500.0,7500,200
2000-02-29,7500,7500.0,7500.0,7500,540
2000-05-31,7250,7250.0,7250.0,7250,240
2000-07-31,6750,6750.0,6750.0,6750,500
2000-08-31,6750,6750.0,6500.0,6500,1280
2000-09-30,6000,6000.0,6000.0,6000,340
2000-10-31,6000,6000.0,6000.0,6000,3400
2000-11-30,6000,6000.0,6000.0,6000,260
2001-03-31,6000,6000.0,5995.0,5995,400
2001-05-31,5950,5950.0,5950.0,5950,600
2001-06-30,5950,5950.0,5950.0,5950,20
2001-07-31,5900,5900.0,5900.0,5900,580
2001-08-31,5900,5900.0,5900.0,5900,340
2001-09-30,5850,5850.0,5800.0,5800,940
2001-10-31,5800,5800.0,5800.0,5800,160
2001-12-31,5800,5800.0,5365.0,5800,4140
2002-02-28,5500,5500.0,4625.0,4625,23760
2002-03-31,4625,4625.0,4625.0,4625,360
2002-04-30,4625,4625.0,4625.0,4625,1240
2002-05-31,4625,4625.0,4625.0,4625,600
2002-06-30,4600,4625.0,4600.0,4600,2280
2002-07-31,4575,4575.0,4550.0,4550,2120
2002-08-31,4550,4550.0,4510.0,4510,700
2002-10-31,4500,4500.0,4470.0,4470,1760
2002-11-30,4450,4450.0,4450.0,4450,1120
2002-12-31,4450,4450.0,4375.0,4375,10420
2003-01-31,4375,4375.0,4375.0,4375,820
2003-02-28,4375,4380.0,4375.0,4375,10480
2003-03-31,4375,4450.0,3500.0,3500,31520
2003-04-30,3500,3510.0,3500.0,3510,440
2003-05-31,3513,3550.0,3513.0,3550,2000
2003-06-30,3600,3638.0,3600.0,3638,1280
2003-07-31,3655,3675.0,3655.0,3675,440
2003-09-30,3675,4228.0,3675.0,4228,1620
2003-10-31,4350,4350.0,4350.0,4350,180
2003-12-31,5001,5001.0,5001.0,5001,180
2004-01-31,5779,6050.0,5779.0,6050,600
2004-02-29,6056,6056.0,6056.0,6056,180
2004-03-31,6750,7256.0,6750.0,7256,8200
2004-04-30,6400,6400.0,6400.0,6400,820
2004-05-31,6400,6400.0,6400.0,6400,1460
2004-06-30,6400,6400.0,6400.0,6400,3660
2004-07-31,6400,6401.0,6400.0,6401,500
2004-08-31,6883,6883.0,6883.0,6883,280
2004-09-30,6875,6900.0,6500.0,6500,6520
2004-10-31,6900,6900.0,6845.0,6900,3120
2004-11-30,6900,6900.0,6900.0,6900,760
2004-12-31,6900,6915.0,6900.0,6915,1920
2005-02-28,7250,7625.0,7250.0,7625,2080
2005-03-31,7500,8100.0,7500.0,8100,1140
2005-04-30,8100,8100.0,8100.0,8100,460
2005-05-31,8250,8250.0,8250.0,8250,1920
2005-06-30,8251,8401.0,8251.0,8401,2920
2005-07-31,8401,8750.0,8401.0,8750,2660
2005-08-31,8750,9000.0,8750.0,9000,740
2005-09-30,9675,10050.0,9675.0,9800,1500
2005-10-31,10250,10300.0,10250.0,10258,2320
2005-11-30,10265,10608.0,10265.0,10608,2300
2005-12-31,10608,10775.0,10608.0,10775,4560
2006-01-31,10780,10825.0,10780.0,10825,700
2006-02-28,10825,10875.0,10825.0,10875,1440
2006-03-31,10875,11000.0,10875.0,11000,720
2006-04-30,10403,11000.0,10403.0,11000,480
2006-05-31,11000,11000.0,10250.0,10250,2580
2006-06-30,10000,10000.0,10000.0,10000,620
2006-07-31,10000,10000.0,10000.0,10000,800
2006-08-31,10000,11000.0,10000.0,11000,320
2006-09-30,11030,11030.0,11030.0,11030,280
2006-10-31,11030,11036.0,11030.0,11036,560
2006-11-30,11036,11036.0,11036.0,11036,680
2006-12-31,11036,11036.0,11036.0,11036,220
2007-01-31,11036,11036.0,11036.0,11036,80
2007-02-28,11036,11036.0,11036.0,11036,40
2007-03-31,11036,13710.0,11036.0,13710,460
2007-04-30,13710,13710.0,11750.0,11750,900
2007-05-31,6600,6855.0,6600.0,6855,600
2007-06-30,9191,12250.0,9191.0,12250,2360
2007-07-31,12500,13501.0,12500.0,13501,1920
2007-08-31,13550,17000.0,13550.0,17000,4400
2007-09-30,17250,18500.0,17250.0,18500,2340
2007-10-31,18500,18500.0,18500.0,18500,4040
2007-11-30,18500,18500.0,18450.0,18500,111700
2007-12-31,18500,18500.0,18495.0,18500,13140
2008-01-31,18450,18500.0,18450.0,18450,4160
2008-02-29,18450,18500.0,18450.0,18450,11980
