Date,Open,High,Low,Close,Volume
1998-09-30,6250,6650.0,6250.0,6650,2540
1998-12-31,7148,10700.0,7148.0,10528,10940
1999-03-31,10000,10000.0,9500.0,9750,920
1999-06-30,9750,10000.0,9750.0,10000,1560
1999-09-30,8651,8651.0,7400.0,8051,13940
1999-12-31,8001,8001.0,7250.0,7750,6920
2000-03-31,7500,7500.0,7500.0,7500,740
2000-06-30,7250,7250.0,7250.0,7250,240
2000-09-30,6750,6750.0,6000.0,6000,2120
2000-12-31,6000,6000.0,6000.0,6000,3660
2001-03-31,6000,6000.0,5995.0,5995,400
2001-06-30,5950,5950.0,5950.0,5950,620
2001-09-30,5900,5900.0,5800.0,5800,1860
2001-12-31,5800,5800.0,5365.0,5800,4300
2002-03-31,5500,5500.0,4625.0,4625,24120
2002-06-30,4625,4625.0,4600.0,4600,4120
2002-09-30,4575,4575.0,4510.0,4510,2820
2002-12-31,4500,4500.0,4375.0,4375,13300
2003-03-31,4375,4450.0,3500.0,3500,42820
2003-06-30,3500,3638.0,3500.0,3638,3720
2003-09-30,3655,4228.0,3655.0,4228,2060
2003-12-31,4350,5001.0,4350.0,5001,360
2004-03-31,5779,7256.0,5779.0,7256,8980
2004-06-30,6400,6400.0,6400.0,6400,5940
2004-09-30,6400,6900.0,6400.0,6500,7300
2004-12-31,6900,6915.0,6845.0,6915,5800
2005-03-31,7250,8100.0,7250.0,8100,3220
2005-06-30,8100,8401.0,8100.0,8401,5300
2005-09-30,8401,10050.0,8401.0,9800,4900
2005-12-31,10250,10775.0,10250.0,10775,9180
2006-03-31,10780,11000.0,10780.0,11000,2860
2006-06-30,10403,11000.0,10000.0,10000,3680
2006-09-30,10000,11030.0,10000.0,11030,1400
2006-12-31,11030,11036.0,11030.0,11036,1460
2007-03-31,11036,13710.0,11036.0,13710,580
2007-06-30,13710,13710.0,6600.0,12250,3860
2007-09-30,12500,18500.0,12500.0,18500,8660
2007-12-31,18500,18500.0,18450.0,18500,128880
2008-03-31,18450,18500.0,18450.0,18500,18180
2008-06-30,18550,18550.0,11500.0,11530,18940
2008-09-30,11625,15025.0,11625.0,14750,6760
2008-12-31,14750,14750.0,14375.0,14375,9200
2009-03-31,12300,12300.0,12249.0,12249,5200
2009-06-30,10773,10773.0,10773.0,10773,280
2009-09-30,10750,10750.0,9944.0,9944,1200
2009-12-31,9700,9700.0,9325.0,9325,900
2010-03-31,7979,7979.0,7500.0,7500,24460
2010-06-30,7500,8000.0,7458.0,8000,17080
2010-09-30,8000,8250.0,7681.0,7899,20240
2010-12-31,8119,10085.0,8119.0,9990,4840
2011-06-30,8750,9444.0,8001.0,8798,22480
2011-09-30,8798,8798.0,8150.0,8600,2120
2011-12-31,8500,8500.0,7900.0,8150,5060
2012-03-31,8150,9261.0,8150.0,9261,4840
2012-06-30,9300,9325.0,9300.0,9325,1260
2012-09-30,9400,10150.0,9400.0,9775,4680
2012-12-31,9775,12350.0,9775.0,11500,14400
2013-03-31,11554,12512.0,11554.0,12512,8160
2013-06-30,12750,14250.0,12750.0,14250,6540
2013-09-30,14350,18114.0,14350.0,18114,15560
2013-12-31,18114,20000.0,18114.0,20000,15360
2014-03-31,20000,23350.0,20000.0,22883,13760
2014-06-30,24500,25100.0,23500.0,24500,25900
2014-09-30,23000,24500.0,22000.0,24500,51800
2014-12-31,24500,24500.0,16419.0,20000,39860
2015-03-31,20000,20000.0,16650.0,16650,44000
2015-06-30,16650,19800.0,16650.0,17850,16630
2015-09-30,17850,17850.0,16800.0,16800,51460
2015-12-31,16850,20500.0,16400.0,19000,54280
2016-03-31,19000,20500.0,17000.0,20500,66360
2016-06-30,20910,21900.0,19400.0,20300,16160
2016-09-30,20000,20000.0,17151.0,18800,36250
2016-12-31,18800,18800.0,16000.0,17738,23760
2017-03-31,16500,16556.0,15263.0,16500,56080
2017-06-30,16500,17738.0,13875.0,13875,131050
2017-09-30,13000,15000.0,13000.0,14400,27850
2017-12-31,14500,16000.0,12000.0,12500,70750
2018-03-31,12500,12700.0,11000.0,12000,53690
2018-06-30,11500,13438.0,6770.0,7400,56630
2018-09-30,7400,7400.0,5800.0,5901,9330
2018-12-31,6010,6010.0,5600.0,5600,8070
2019-03-31,5760,5880.0,3700.0,4000,50310
2019-06-30,3700,3700.0,2950.0,3225,32360
2019-09-30,3467,4368.0,3225.0,3800,46920
2019-12-31,4085,4520.0,3800.0,4500,24300
2020-03-31,4300,4575.0,4100.0,4510,10530
2020-06-30,4400,4838.0,4400.0,4550,35560
2020-09-30,4550,4700.0,4549.0,4600,113730
2020-12-31,4600,5090.0,4175.0,5090,15620
2021-03-31,5100,5600.0,5100.0,5600,9510
2021-06-30,5800,7402.0,5700.0,7402,13460
2021-09-30,7956,16252.0,7400.0,9851,59920
