Date,Open,High,Low,Close,Volume
1998-09-28,6250,6250.0,6250.0,6250,80
1998-10-05,6650,7148.0,6650.0,7148,2620
1998-10-12,7500,7500.0,7500.0,7500,160
1998-10-19,7500,8650.0,7500.0,8650,460
1998-10-26,9295,10700.0,9295.0,10700,1120
1998-11-02,9898,9898.0,9898.0,9898,40
1998-11-09,9155,9795.0,9155.0,9795,280
1998-11-16,9795,10530.0,9795.0,10530,2940
1998-11-23,10530,10530.0,10530.0,10530,1620
1998-11-30,10530,10530.0,10530.0,10530,2420
1998-12-14,10530,10530.0,10530.0,10530,120
1998-12-28,10528,10528.0,10528.0,10528,1620
1999-02-01,10000,10000.0,10000.0,10000,220
1999-02-22,9500,9500.0,9500.0,9500,220
1999-03-01,9750,9750.0,9750.0,9750,200
1999-03-08,9750,9750.0,9750.0,9750,200
1999-03-29,9750,9750.0,9750.0,9750,80
1999-04-19,9750,10000.0,9750.0,10000,900
1999-04-26,10000,10000.0,10000.0,10000,160
1999-05-10,10000,10000.0,10000.0,10000,360
1999-05-17,10000,10000.0,10000.0,10000,140
1999-07-12,8651,8651.0,8002.0,8002,1380
1999-07-19,7405,7405.0,7405.0,7405,2200
1999-07-26,7500,7500.0,7400.0,7400,1160
1999-08-02,7400,7500.0,7400.0,7500,820
1999-08-09,7500,7500.0,7500.0,7500,1340
1999-08-16,7500,7500.0,7500.0,7500,180
1999-08-23,7500,7500.0,7500.0,7500,120
1999-08-30,7495,7495.0,7495.0,7495,180
1999-09-06,7500,7500.0,7500.0,7500,4120
1999-09-13,7500,7500.0,7500.0,7500,20
1999-09-27,8000,8051.0,8000.0,8051,2420
1999-10-11,8001,8001.0,8001.0,8001,1180
1999-11-01,8000,8000.0,8000.0,8000,580
1999-11-08,8000,8000.0,8000.0,8000,2980
1999-11-15,8000,8000.0,8000.0,8000,120
1999-11-22,7501,8000.0,7501.0,8000,780
1999-12-06,7500,7500.0,7500.0,7500,300
1999-12-20,7250,7400.0,7250.0,7400,780
2000-01-03,7750,7750.0,7750.0,7750,200
2000-01-31,7500,7500.0,7500.0,7500,200
2000-02-07,7500,7500.0,7500.0,7500,500
2000-02-21,7500,7500.0,7500.0,7500,40
2000-05-22,7250,7250.0,7250.0,7250,240
2000-07-10,6750,6750.0,6750.0,6750,500
2000-08-07,6750,6750.0,6750.0,6750,100
2000-08-14,6500,6500.0,6500.0,6500,500
2000-08-21,6500,6500.0,6500.0,6500,20
2000-08-28,6500,6500.0,6500.0,6500,660
2000-09-25,6000,6000.0,6000.0,6000,340
2000-10-09,6000,6000.0,6000.0,6000,940
2000-10-23,6000,6000.0,6000.0,6000,2060
2000-10-30,6000,6000.0,6000.0,6000,400
2000-11-20,6000,6000.0,6000.0,6000,180
2000-11-27,6000,6000.0,6000.0,6000,80
2001-03-19,6000,6000.0,6000.0,6000,200
2001-03-26,5995,5995.0,5995.0,5995,200
2001-05-21,5950,5950.0,5950.0,5950,200
2001-06-04,5950,5950.0,5950.0,5950,400
2001-06-11,5950,5950.0,5950.0,5950,20
2001-07-16,5900,5900.0,5900.0,5900,380
2001-07-23,5900,5900.0,5900.0,5900,200
2001-08-13,5900,5900.0,5900.0,5900,40
2001-08-27,5900,5900.0,5900.0,5900,300
2001-09-17,5850,5850.0,5850.0,5850,240
2001-10-01,5800,5800.0,5800.0,5800,700
2001-10-29,5800,5800.0,5800.0,5800,160
2001-12-17,5800,5800.0,5800.0,5800,2000
2001-12-24,5365,5365.0,5365.0,5365,260
2001-12-31,5365,5800.0,5365.0,5800,1880
2002-02-18,5500,5500.0,5500.0,5500,360
2002-02-25,5450,5450.0,5041.0,5041,680
2002-03-04,5000,5000.0,4625.0,4625,22920
2002-03-11,4625,4625.0,4625.0,4625,20
2002-03-18,4625,4625.0,4625.0,4625,40
2002-03-25,4625,4625.0,4625.0,4625,80
2002-04-01,4625,4625.0,4625.0,4625,20
2002-04-08,4625,4625.0,4625.0,4625,40
2002-04-15,4625,4625.0,4625.0,4625,20
2002-04-22,4625,4625.0,4625.0,4625,280
2002-04-29,4625,4625.0,4625.0,4625,900
2002-05-13,4625,4625.0,4625.0,4625,400
2002-05-20,4625,4625.0,4625.0,4625,200
2002-06-10,4600,4625.0,4600.0,4600,1400
2002-06-17,4600,4600.0,4600.0,4600,880
2002-07-15,4575,4575.0,4550.0,4550,2120
