Date,Open,High,Low,Close,Volume
1998-12-31,6250,10700,6250,10528,13480
1999-12-31,10000,10000,7250,7750,23340
2000-12-31,7500,7500,6000,6000,6760
2001-12-31,6000,6000,5365,5800,7180
2002-12-31,5500,5500,4375,4375,44360
2003-12-31,4375,5001,3500,5001,48960
2004-12-31,5779,7256,5779,6915,28020
2005-12-31,7250,10775,7250,10775,22600
2006-12-31,10780,11036,10000,11036,9400
2007-12-31,11036,18500,6600,18500,141980
2008-12-31,18450,18550,11500,14375,53080
2009-12-31,12300,12300,9325,9325,7580
2010-12-31,7979,10085,7458,9990,66620
2011-12-31,8750,9444,7900,8150,29660
2012-12-31,8150,12350,8150,11500,25180
2013-12-31,11554,20000,11554,20000,45620
2014-12-31,20000,25100,16419,20000,131320
2015-12-31,20000,20500,16400,19000,166370
2016-12-31,19000,21900,16000,17738,142530
2017-12-31,16500,17738,12000,12500,285730
2018-12-31,12500,13438,5600,5600,127720
2019-12-31,5760,5880,2950,4500,153890
2020-12-31,4300,5090,4100,5090,175440
2021-12-31,5100,16252,5100,15600,117300
2022-12-31,14430,16800,8000,8325,95230
2023-12-31,8325,9030,5600,8700,46290
2024-12-31,8700,18245,8100,12950,61939
2025-12-31,13000,29990,12865,28900,178113
2026-12-31,28500,47380,26800,38000,160703
