Date,Open,High,Low,Close,Volume
1998-09-18,5219,5219,5219,5219,40
1998-09-23,5500,5500,5500,5500,416
1998-09-30,4500,4500,4500,4500,1808
1998-10-02,4838,4838,4838,4838,76
1998-10-07,4500,4500,4500,4500,48
1998-10-14,5250,5250,5250,5250,160
1998-10-16,5250,5250,5250,5250,120
1998-10-19,5250,5250,5250,5250,20
1998-10-21,5250,5250,5250,5250,20
1998-10-23,4856,4856,4856,4856,244
1998-10-26,4500,4500,4500,4500,1200
1998-10-28,4500,4500,4500,4500,88
1998-10-30,4750,4750,4750,4750,20
1998-11-02,4500,4500,4500,4500,40
1998-11-04,4500,4500,4500,4500,468
1998-11-06,4500,4500,4500,4500,192
1998-11-09,4500,4500,4500,4500,64
1998-11-13,4500,4500,4500,4500,512
1998-11-16,4500,4500,4500,4500,68
1998-11-18,4500,4500,4500,4500,460
1998-11-20,4500,4500,4500,4500,20
1998-11-27,4500,4500,4500,4500,800
1998-12-04,4500,4500,4500,4500,160
1998-12-09,4500,4500,4500,4500,440
1998-12-11,4500,4500,4500,4500,256
1998-12-18,4150,4150,4150,4150,120
1998-12-30,4163,4163,4163,4163,3728
1999-01-04,4150,4150,4150,4150,20
1999-01-06,4150,4150,4150,4150,68
1999-01-08,4150,4150,4150,4150,360
1999-01-11,4150,4150,4150,4150,280
1999-01-13,4150,4150,4150,4150,140
1999-01-18,4150,4150,4150,4150,68
1999-01-20,4150,4150,4150,4150,20
1999-01-22,4150,4150,4150,4150,196
1999-01-25,4150,4150,4150,4150,456
1999-01-29,4400,4400,4400,4400,36
1999-02-03,4400,4400,4400,4400,40
1999-02-05,4450,4450,4450,4450,40
1999-02-08,4450,4450,4450,4450,472
1999-02-10,4450,4450,4450,4450,548
1999-02-12,4150,4150,4150,4150,80
1999-02-17,4250,4250,4250,4250,200
1999-02-19,4400,4400,4400,4400,76
1999-02-24,4450,4450,4450,4450,728
1999-03-03,4500,4500,4500,4500,60
1999-03-05,4500,4500,4500,4500,120
1999-03-10,4500,4500,4500,4500,100
1999-03-12,4450,4450,4450,4450,80
1999-03-17,4500,4500,4500,4500,4300
1999-03-19,4450,4450,4450,4450,100
1999-03-24,4784,4784,4784,4784,136
1999-03-26,4500,4500,4500,4500,128
1999-03-29,4514,4514,4514,4514,128
1999-03-31,4500,4500,4500,4500,308
1999-04-02,4750,4750,4750,4750,1416
1999-04-07,4750,4750,4750,4750,184
1999-04-09,4750,4750,4750,4750,20
1999-04-14,4750,4750,4750,4750,80
1999-04-21,4700,4700,4700,4700,60
1999-04-28,4450,4450,4450,4450,40
1999-05-07,4450,4450,4450,4450,16
1999-05-12,4175,4175,4175,4175,512
1999-05-19,4175,4175,4175,4175,20
1999-05-26,4175,4175,4175,4175,60
1999-05-28,4176,4176,4176,4176,44
1999-05-31,4175,4175,4175,4175,196
1999-06-02,4150,4150,4150,4150,3804
1999-06-04,4150,4150,4150,4150,376
1999-06-07,4150,4150,4150,4150,884
1999-06-11,4163,4163,4163,4163,200
1999-06-16,4158,4158,4158,4158,2600
1999-06-18,4370,4370,4370,4370,40
1999-06-21,4688,4688,4688,4688,40
1999-06-23,4698,4698,4698,4698,40
1999-06-25,4750,4750,4750,4750,188
1999-06-28,4924,4924,4924,4924,104
1999-06-30,4925,4925,4925,4925,100
1999-07-02,4925,4925,4925,4925,488
1999-07-05,4925,4925,4925,4925,112
1999-07-07,4474,4474,4474,4474,72
1999-07-09,4474,4474,4474,4474,40
1999-07-12,4250,4250,4250,4250,32
1999-07-14,4175,4175,4175,4175,1792
1999-07-16,4175,4175,4175,4175,1524
1999-07-19,4188,4188,4188,4188,784
1999-07-21,4225,4225,4225,4225,240
1999-07-23,4250,4250,4250,4250,440
1999-07-26,4500,4500,4500,4500,32
1999-07-28,4475,4475,4475,4475,432
1999-07-30,4475,4475,4475,4475,1440
1999-08-02,4774,4774,4774,4774,232
1999-08-04,4800,4800,4800,4800,644
1999-08-06,4875,4875,4875,4875,92
1999-08-09,4900,4900,4900,4900,132
1999-08-11,4825,4825,4825,4825,1080
1999-08-13,4825,4825,4825,4825,12644
1999-08-16,4915,4915,4915,4915,244
1999-08-18,4974,4974,4974,4974,244
1999-08-20,4925,4925,4925,4925,460
1999-08-23,5000,5000,5000,5000,2400
1999-08-25,4926,4926,4926,4926,800
1999-08-27,4976,4976,4976,4976,232
1999-08-30,4879,4879,4879,4879,640
1999-09-01,4940,4940,4940,4940,164
1999-09-03,4878,4878,4878,4878,16
1999-09-08,4915,4915,4915,4915,356
1999-09-10,4925,4925,4925,4925,500
1999-09-15,4913,4913,4913,4913,520
1999-09-17,4916,4916,4916,4916,84
1999-09-20,4875,4875,4875,4875,92076
1999-09-22,4925,4925,4925,4925,40
1999-09-24,4800,4800,4800,4800,30940
1999-09-27,4924,4924,4924,4924,44
1999-09-29,4923,4923,4923,4923,36
1999-10-01,4923,4923,4923,4923,40
1999-10-04,4850,4850,4850,4850,2840
1999-10-06,4825,4825,4825,4825,4324
1999-10-11,4826,4826,4826,4826,213884
1999-10-13,4828,4828,4828,4828,40
1999-10-15,4831,4831,4831,4831,2408
1999-10-20,4850,4850,4850,4850,700
1999-10-22,5001,5001,5001,5001,856
1999-10-25,4800,4800,4800,4800,38976
1999-10-27,4875,4875,4875,4875,4000
1999-10-29,5240,5240,5240,5240,2172
1999-11-05,4950,4950,4950,4950,4080
1999-11-08,4965,4965,4965,4965,2400
1999-11-10,4975,4975,4975,4975,4000
1999-11-17,5000,5000,5000,5000,1696
1999-11-19,5005,5005,5005,5005,80
1999-11-22,5005,5005,5005,5005,340
1999-12-01,5000,5000,5000,5000,3952
1999-12-03,5013,5013,5013,5013,2468
1999-12-06,5013,5013,5013,5013,800
1999-12-13,5025,5025,5025,5025,300
1999-12-15,5000,5000,5000,5000,816
1999-12-20,5000,5000,5000,5000,12280
1999-12-27,5000,5000,5000,5000,40
1999-12-29,5125,5125,5125,5125,40
2000-01-07,5126,5126,5126,5126,140
2000-01-10,5240,5240,5240,5240,100
2000-01-12,5000,5000,5000,5000,600
2000-01-14,5000,5000,5000,5000,12
2000-01-17,5000,5000,5000,5000,80
2000-01-19,5125,5125,5125,5125,800
2000-01-21,5125,5125,5125,5125,604
2000-01-24,5125,5125,5125,5125,16
2000-01-26,5125,5125,5125,5125,40
2000-01-28,5125,5125,5125,5125,200
2000-01-31,5125,5125,5125,5125,20
2000-02-02,5125,5125,5125,5125,172
2000-02-04,5125,5125,5125,5125,100
2000-02-09,5125,5125,5125,5125,4
2000-02-11,5128,5128,5128,5128,200
2000-02-18,5128,5128,5128,5128,2472
2000-02-21,5129,5129,5129,5129,376
2000-02-28,5125,5125,5125,5125,120
2000-03-03,5128,5128,5128,5128,68
2000-03-10,5129,5129,5129,5129,600
2000-03-13,5129,5129,5129,5129,600
2000-03-15,5129,5129,5129,5129,800
2000-03-22,5129,5129,5129,5129,60
2000-03-29,5129,5129,5129,5129,460
2000-04-07,5129,5129,5129,5129,400
2000-04-10,5131,5131,5131,5131,108
2000-04-14,5133,5133,5133,5133,280
2000-04-21,5134,5134,5134,5134,280
2000-04-26,5134,5134,5134,5134,1740
2000-04-28,5134,5134,5134,5134,480
2000-05-03,5134,5134,5134,5134,72
2000-05-17,5135,5135,5135,5135,40
2000-05-19,5135,5135,5135,5135,1400
2000-05-22,5150,5150,5150,5150,200
2000-05-24,5150,5150,5150,5150,14648
2000-05-26,5150,5150,5150,5150,1220
2000-06-05,5150,5150,5150,5150,20
2000-06-07,5150,5150,5150,5150,360
2000-06-16,5150,5150,5150,5150,16
2000-06-21,5150,5150,5150,5150,200
2000-06-23,5150,5150,5150,5150,64
2000-06-26,5150,5150,5150,5150,1240
2000-06-30,5150,5150,5150,5150,400
2000-07-07,5153,5153,5153,5153,40
2000-07-10,5154,5154,5154,5154,40
2000-07-14,5154,5154,5154,5154,316
2000-07-17,5163,5163,5163,5163,1800
2000-07-19,5163,5163,5163,5163,1252
2000-07-21,5163,5163,5163,5163,56
2000-07-26,5163,5163,5163,5163,600
2000-07-28,5163,5163,5163,5163,1640
2000-08-04,5163,5163,5163,5163,460
2000-08-09,5163,5163,5163,5163,200
2000-08-16,5163,5163,5163,5163,240
2000-08-18,5163,5163,5163,5163,120
2000-08-21,5163,5163,5163,5163,400
2000-08-25,5163,5163,5163,5163,68
2000-08-30,5175,5175,5175,5175,2000
2000-09-01,5175,5175,5175,5175,120
2000-09-06,5175,5175,5175,5175,880
2000-09-08,5175,5175,5175,5175,2356
2000-09-11,5175,5175,5175,5175,100
2000-09-13,5175,5175,5175,5175,200
2000-09-15,5175,5175,5175,5175,400
2000-09-25,5175,5175,5175,5175,200
2000-09-29,5175,5175,5175,5175,80
2000-10-04,5176,5176,5176,5176,400
2000-10-06,5179,5179,5179,5179,80
2000-10-13,5180,5180,5180,5180,152
2000-10-18,5181,5181,5181,5181,740
2000-11-02,5181,5181,5181,5181,500
2000-11-03,5181,5181,5181,5181,1600
2000-11-06,5181,5181,5181,5181,28
2000-11-10,5181,5181,5181,5181,120
2000-11-16,5181,5181,5181,5181,2360
2000-11-20,5181,5181,5181,5181,240
2000-11-22,5181,5181,5181,5181,1824
2000-12-01,5250,5250,5250,5250,728
2000-12-08,5275,5275,5275,5275,2524
2000-12-11,5275,5275,5275,5275,160
2000-12-13,5275,5275,5275,5275,820
2000-12-18,5275,5275,5275,5275,40
2001-01-05,5275,5275,5275,5275,1360
2001-01-12,5278,5278,5278,5278,456
2001-01-17,5278,5278,5278,5278,404
2001-01-19,5278,5278,5278,5278,4
2001-01-26,5278,5278,5278,5278,540
2001-01-31,5278,5278,5278,5278,40
2001-02-02,5278,5278,5278,5278,100
2001-02-07,5278,5278,5278,5278,660
2001-02-12,5278,5278,5278,5278,20
2001-02-14,5279,5279,5279,5279,336
2001-02-16,5279,5279,5279,5279,200
2001-02-19,5281,5281,5281,5281,640
2001-02-21,5281,5281,5281,5281,400
2001-02-26,5281,5281,5281,5281,200
2001-03-07,5281,5281,5281,5281,92
2001-03-12,5283,5283,5283,5283,736
2001-03-19,5283,5283,5283,5283,80
2001-03-28,5283,5283,5283,5283,236
2001-04-11,5283,5283,5283,5283,100
2001-04-18,5283,5283,5283,5283,36
2001-04-27,5283,5283,5283,5283,48
2001-05-04,5283,5283,5283,5283,1972
2001-05-11,5284,5284,5284,5284,160
2001-06-01,5285,5285,5285,5285,884
2001-06-05,5285,5285,5285,5285,24
2001-06-13,5681,5681,5681,5681,308
2001-06-22,5500,5500,5500,5500,120
2001-06-25,5500,5500,5500,5500,384
