Date,Open,High,Low,Close,Volume
1998-09-30,5219,5500.0,4500.0,4500,2264
1998-10-31,4838,5250.0,4500.0,4750,1996
1998-11-30,4500,4500.0,4500.0,4500,2624
1998-12-31,4500,4500.0,4150.0,4163,4704
1999-01-31,4150,4400.0,4150.0,4400,1644
1999-02-28,4400,4450.0,4150.0,4450,2184
1999-03-31,4500,4784.0,4450.0,4500,5460
1999-04-30,4750,4750.0,4450.0,4450,1800
1999-05-31,4450,4450.0,4175.0,4175,848
1999-06-30,4150,4925.0,4150.0,4925,8376
1999-07-31,4925,4925.0,4175.0,4475,7428
1999-08-31,4774,5000.0,4774.0,4879,19844
1999-09-30,4940,4940.0,4800.0,4923,124776
1999-10-31,4923,5240.0,4800.0,5240,270240
1999-11-30,4950,5005.0,4950.0,5005,12596
1999-12-31,5000,5125.0,5000.0,5125,20696
2000-01-31,5126,5240.0,5000.0,5125,2612
2000-02-29,5125,5129.0,5125.0,5125,3444
2000-03-31,5128,5129.0,5128.0,5129,2588
2000-04-30,5129,5134.0,5129.0,5134,3288
2000-05-31,5134,5150.0,5134.0,5150,17580
2000-06-30,5150,5150.0,5150.0,5150,2300
2000-07-31,5153,5163.0,5153.0,5163,5744
2000-08-31,5163,5175.0,5163.0,5175,3488
2000-09-30,5175,5175.0,5175.0,5175,4336
2000-10-31,5176,5181.0,5176.0,5181,1372
2000-11-30,5181,5181.0,5181.0,5181,6672
2000-12-31,5250,5275.0,5250.0,5275,4272
2001-01-31,5275,5278.0,5275.0,5278,2804
2001-02-28,5278,5281.0,5278.0,5281,2556
2001-03-31,5281,5283.0,5281.0,5283,1144
2001-04-30,5283,5283.0,5283.0,5283,184
2001-05-31,5283,5284.0,5283.0,5284,2132
2001-06-30,5285,5681.0,5285.0,5500,1728
2001-07-31,5500,5500.0,5500.0,5500,4240
2001-08-31,5500,5500.0,5500.0,5500,3448
2001-09-30,5500,5500.0,5500.0,5500,2964
2001-10-31,5500,5500.0,5500.0,5500,3836
2001-11-30,5500,5513.0,5500.0,5513,4076
2001-12-31,5515,5525.0,5515.0,5525,2084
2002-01-31,5500,5500.0,5500.0,5500,200
2002-03-31,5500,5500.0,4998.0,4998,116
2002-05-31,4624,4624.0,4624.0,4624,128
2002-06-30,4624,4624.0,4624.0,4624,12
2002-07-31,4600,4600.0,4575.0,4575,88
2002-08-31,4500,4500.0,3874.0,3874,684
2002-10-31,3750,3750.0,3750.0,3750,200
2003-02-28,3500,3500.0,3500.0,3500,80
2003-03-31,3500,3500.0,3500.0,3500,40
2003-05-31,3500,3500.0,3238.0,3238,136
2003-07-31,3075,3075.0,3000.0,3000,276
2003-08-31,2775,2775.0,2625.0,2625,684
2003-09-30,2568,2568.0,2568.0,2568,1048
2003-10-31,3000,3248.0,2750.0,2750,884
2003-11-30,2500,2500.0,2354.0,2354,548
2003-12-31,2354,2354.0,2354.0,2354,560
2004-01-31,2354,2354.0,2354.0,2354,120
2004-02-29,2354,2354.0,2250.0,2250,352
2004-03-31,2250,2250.0,2250.0,2250,120
2004-04-30,2250,2250.0,2250.0,2250,40
2004-05-31,2125,2125.0,2125.0,2125,100
2004-06-30,2125,2125.0,2125.0,2125,8
2004-07-31,2050,2050.0,2000.0,2000,432
2004-08-31,2000,2000.0,2000.0,2000,352
2004-09-30,1850,1850.0,1850.0,1850,1308
2004-10-31,1750,2899.0,1711.0,2899,3784
2004-11-30,3115,3866.0,3115.0,3866,788
2004-12-31,4155,5160.0,4155.0,5160,9424
2005-02-28,4875,5961.0,4875.0,5961,4728
2005-03-31,6408,7959.0,6408.0,7959,4400
2005-04-30,7950,7950.0,7350.0,7350,1304
2005-05-31,7349,7349.0,7250.0,7250,8988
2005-06-30,7250,7250.0,7250.0,7250,3552
2005-07-31,7250,7794.0,7250.0,7794,4032
2005-08-31,7250,7250.0,7250.0,7250,400
2005-09-30,8750,9500.0,8725.0,9500,2444
2005-10-31,9500,9500.0,8000.0,8001,1060
2005-11-30,8000,9938.0,8000.0,9501,113352
2005-12-31,9525,10000.0,9500.0,10000,20760
2006-01-31,10000,10750.0,9944.0,9944,680
2006-02-28,9500,9500.0,9500.0,9500,1296
2006-03-31,9500,11180.0,9500.0,11180,1740
2006-04-30,11180,11181.0,11180.0,11181,484
2006-05-31,12000,12500.0,12000.0,12500,9500
2006-06-30,12500,12525.0,12500.0,12500,960
2006-07-31,10406,10625.0,10406.0,10625,720
2006-08-31,10438,10438.0,10438.0,10438,292
2006-09-30,10438,10476.0,10438.0,10476,264
2006-10-31,10476,12000.0,10476.0,12000,1412
2006-11-30,12000,12004.0,12000.0,12004,1012
2006-12-31,12004,12008.0,12004.0,12008,852
2007-01-31,12008,12008.0,12008.0,12008,52
2007-02-28,12008,12009.0,12008.0,12009,476
2007-03-31,12009,12038.0,12009.0,12038,204
2007-04-30,12038,12063.0,11500.0,11500,6408
2007-05-31,11550,11550.0,11550.0,11550,660
2007-06-30,12300,12301.0,12300.0,12301,216
2007-07-31,12301,13750.0,12301.0,13750,332
2007-08-31,13025,13050.0,13025.0,13038,1268
2007-09-30,13038,13041.0,13038.0,13041,4256
2007-10-31,13250,15225.0,13175.0,15225,1336
2007-11-30,14500,15000.0,14500.0,15000,5704
2007-12-31,15000,15000.0,15000.0,15000,3604
2008-01-31,15000,15000.0,15000.0,15000,2800
2008-02-29,15000,15000.0,15000.0,15000,188
2008-03-31,15500,15500.0,15500.0,15500,40
2008-04-30,15500,15500.0,15500.0,15500,1884
2008-05-31,15000,15000.0,15000.0,15000,3364
2008-06-30,15000,15000.0,14500.0,15000,2652
2008-07-31,15000,15000.0,14000.0,14000,820
2008-08-31,14005,14005.0,14000.0,14000,940
2008-09-30,14000,14000.0,14000.0,14000,2508
2008-10-31,14000,14000.0,13750.0,13750,544
2008-11-30,13750,13750.0,13750.0,13750,60
2008-12-31,13750,13750.0,13750.0,13750,448
2009-01-31,13750,13750.0,13750.0,13750,1344
2009-02-28,13750,13750.0,13750.0,13750,232
2009-03-31,13750,13750.0,13750.0,13750,184
2009-04-30,13750,14000.0,13750.0,14000,524
2009-05-31,14000,14000.0,14000.0,14000,100
2009-06-30,14000,14000.0,14000.0,14000,128
2009-07-31,13750,13750.0,13250.0,13253,572
2009-08-31,9895,9895.0,9895.0,9895,212
2009-09-30,7833,7833.0,5375.0,5500,15936
2009-10-31,5250,5250.0,5125.0,5125,300
2009-11-30,4988,4988.0,4974.0,4974,160
2009-12-31,4974,4974.0,4974.0,4974,804
2010-01-31,4601,4601.0,4601.0,4601,120
2010-02-28,4500,4500.0,4500.0,4500,140
2010-03-31,4500,4500.0,4250.0,4250,132
2010-04-30,4250,4250.0,4000.0,4000,64
2010-05-31,3748,3748.0,3748.0,3748,80
2010-06-30,3499,3499.0,3238.0,3480,320
2010-07-31,3480,3480.0,3000.0,3000,292
2010-08-31,3000,3000.0,3000.0,3000,4204
2010-09-30,3000,5389.0,3000.0,5025,9944
2010-10-31,5025,5240.0,4775.0,5000,3608
2010-11-30,5000,5000.0,5000.0,5000,1336
2010-12-31,4500,4500.0,4500.0,4500,608
2011-01-31,4488,4488.0,4488.0,4488,188
2011-05-31,4488,4824.0,4488.0,4824,1848
2011-06-30,5185,5185.0,5185.0,5185,2644
2011-07-31,5185,5189.0,5185.0,5189,2768
2011-08-31,5375,5574.0,5185.0,5250,2692
2011-09-30,5250,5500.0,5000.0,5000,3868
2011-10-31,5139,5503.0,5139.0,5503,764
2011-11-30,5501,5501.0,4750.0,5001,3724
2011-12-31,5001,5001.0,4750.0,4750,1212
2012-01-31,5106,5106.0,4750.0,5000,652
2012-02-29,4750,4775.0,4750.0,4750,5192
2012-03-31,4750,4750.0,4750.0,4750,3108
2012-04-30,4749,4749.0,4500.0,4500,252
2012-05-31,4499,4499.0,4250.0,4250,500
2012-06-30,4250,4250.0,4000.0,4000,1916
2012-07-31,4251,4750.0,4251.0,4750,660
2012-08-31,4763,5000.0,4763.0,5000,3380
2012-09-30,5000,5125.0,4750.0,5125,6696
2012-10-31,5125,5125.0,5125.0,5125,2896
2012-11-30,5125,6250.0,5000.0,5000,6420
2012-12-31,5000,5000.0,3750.0,4000,3296
2013-01-31,4000,5380.0,3750.0,5013,5824
2013-02-28,5013,5013.0,4500.0,4500,2048
2013-03-31,4500,5200.0,4500.0,5200,3344
2013-04-30,5225,5375.0,5225.0,5250,4416
2013-05-31,5250,5500.0,5250.0,5500,1484
2013-06-30,5500,5500.0,5250.0,5500,3360
2013-07-31,5913,5914.0,4625.0,4750,5580
2013-08-31,4750,4976.0,4625.0,4753,1536
2013-09-30,4753,4753.0,4394.0,4394,7156
2013-10-31,4723,4750.0,4500.0,4500,3628
2013-11-30,4500,4875.0,4500.0,4875,4804
2013-12-31,4800,5000.0,4750.0,4999,2584
2014-01-31,4880,5625.0,4880.0,5625,780
2014-02-28,5500,5750.0,5500.0,5555,2616
2014-03-31,5555,5555.0,4724.0,4725,960
2014-04-30,4724,4725.0,4000.0,4000,3488
2014-05-31,4000,4498.0,3950.0,4000,3816
2014-06-30,4000,4725.0,3999.0,4250,5992
2014-07-31,4250,4250.0,3678.0,4000,2944
2014-08-31,3975,3975.0,3750.0,3824,5356
2014-09-30,3750,4000.0,3749.0,3825,6700
2014-10-31,3825,3825.0,3575.0,3575,14504
2014-11-30,3625,3625.0,3500.0,3500,12568
2014-12-31,3475,3500.0,3375.0,3498,4060
2015-01-31,3500,3500.0,3498.0,3500,2916
2015-02-28,3525,3525.0,3375.0,3500,3216
2015-03-31,3625,4625.0,3625.0,4488,1268
2015-04-30,4250,4250.0,4250.0,4250,984
2015-05-31,4163,4163.0,4121.0,4123,3040
2015-06-30,4121,4121.0,3900.0,3900,1116
2015-07-31,3900,3999.0,3895.0,3895,2496
2015-08-31,3900,5000.0,3750.0,5000,49296
2015-09-30,4975,5000.0,4613.0,4625,7196
2015-10-31,4279,4750.0,4025.0,4425,4840
2015-11-30,4375,4623.0,4300.0,4501,2188
2015-12-31,4625,4750.0,4550.0,4750,7268
2016-01-31,4825,4825.0,4750.0,4750,2472
2016-02-29,4825,5875.0,4825.0,5875,13852
2016-03-31,5875,8550.0,5875.0,6750,13668
2016-04-30,7000,11500.0,7000.0,8749,18388
2016-05-31,8749,9675.0,8095.0,9675,15188
2016-06-30,9250,9250.0,6900.0,8521,5872
2016-07-31,9160,9160.0,6823.0,8000,49900
2016-08-31,8000,8250.0,6876.0,6901,27940
2016-09-30,6901,7375.0,6250.0,6250,4024
2016-10-31,6250,6718.0,5456.0,5456,3864
2016-11-30,5475,5500.0,4625.0,4625,820
2016-12-31,4626,4750.0,4500.0,4650,15324
2017-01-31,4625,4625.0,4500.0,4625,5308
2017-02-28,4751,6000.0,4751.0,6000,7844
2017-03-31,6000,6325.0,5625.0,5625,1200
2017-04-30,5625,5875.0,5000.0,5000,488
2017-05-31,4656,5008.0,4003.0,4138,3040
2017-06-30,4138,4550.0,3870.0,4160,7964
2017-07-31,4160,4160.0,3006.0,3025,6256
2017-08-31,3025,3025.0,2393.0,2625,3136
2017-09-30,2500,2700.0,2500.0,2625,1552
2017-10-31,2725,2800.0,2625.0,2750,13564
2017-11-30,2750,2750.0,2220.0,2400,928
2017-12-31,2400,2400.0,1905.0,1905,1000
2018-01-31,2000,2550.0,2000.0,2550,2136
2018-02-28,2625,3171.0,2525.0,3171,4656
2018-03-31,3400,5125.0,3151.0,4394,8676
2018-04-30,4065,4250.0,3251.0,3750,2072
2018-05-31,3750,4000.0,3250.0,3544,27128
2018-06-30,3750,4988.0,1943.0,4988,3700
2018-07-31,4875,5225.0,4750.0,5100,9804
2018-08-31,5088,5125.0,4649.0,5125,4492
2018-09-30,5075,5088.0,4175.0,5088,15148
2018-10-31,5000,5000.0,4251.0,4550,6944
2018-11-30,4550,4800.0,3895.0,4800,1248
2018-12-31,4750,4899.0,4748.0,4875,5620
2019-01-31,4863,4975.0,4575.0,4975,6212
2019-02-28,4886,4888.0,4521.0,4835,5959
2019-03-31,4845,5000.0,4350.0,4400,5848
2019-04-30,4400,5075.0,4300.0,4850,19233
2019-05-31,5200,6020.0,4405.0,4495,15581
2019-06-30,4490,4550.0,4250.0,4255,7625
2019-07-31,4275,4835.0,4275.0,4500,7283
2019-08-31,4490,4500.0,4000.0,4220,2686
2019-09-30,4000,4200.0,3650.0,3700,1572
2019-10-31,3650,3695.0,3235.0,3280,34827
2019-11-30,3200,3200.0,2500.0,2600,738
2019-12-31,2600,2650.0,2500.0,2500,3906
2020-01-31,2500,3695.0,2500.0,3500,7189
2020-02-29,3400,3500.0,2995.0,2995,6288
2020-03-31,2995,3000.0,2775.0,2775,2992
2020-04-30,2700,2790.0,2535.0,2535,4183
2020-05-31,2550,2650.0,2550.0,2550,1583
2020-06-30,2580,2885.0,2580.0,2880,2641
2020-07-31,2700,2900.0,2450.0,2450,5035
2020-08-31,2450,2500.0,2270.0,2500,925
2020-09-30,2400,2900.0,2270.0,2795,1786
2020-10-31,2750,3200.0,2450.0,3200,25650
2020-11-30,3100,3200.0,2850.0,3095,6837
2020-12-31,3060,3095.0,2775.0,3080,16124
2021-01-31,3000,4005.0,2930.0,3800,6324
2021-02-28,3900,4070.0,3305.0,3790,5442
2021-03-31,3790,4300.0,3600.0,4000,11670
2021-04-30,3800,6950.0,3500.0,6450,45667
2021-05-31,6055,7200.0,6055.0,7195,10524
2021-06-30,7000,7200.0,6510.0,7000,13660
2021-07-31,6910,7195.0,6385.0,6800,27266
2021-08-31,6800,7000.0,6655.0,6800,18533
2021-09-30,6800,7385.0,6655.0,7000,49044
2021-10-31,7120,7200.0,7000.0,7000,47094
