Date,Open,High,Low,Close,Volume
1998-09-30,5219,5500,4500,4500,2264
1998-12-31,4838,5250,4150,4163,9324
1999-03-31,4150,4784,4150,4500,9288
1999-06-30,4750,4925,4150,4925,11024
1999-09-30,4925,5000,4175,4923,152048
1999-12-31,4923,5240,4800,5125,303532
2000-03-31,5126,5240,5000,5129,8644
2000-06-30,5129,5150,5129,5150,23168
2000-09-30,5153,5175,5153,5175,13568
2000-12-31,5176,5275,5176,5275,12316
2001-03-31,5275,5283,5275,5283,6504
2001-06-30,5283,5681,5283,5500,4044
2001-09-30,5500,5500,5500,5500,10652
2001-12-31,5500,5525,5500,5525,9996
2002-03-31,5500,5500,4998,4998,316
2002-06-30,4624,4624,4624,4624,140
2002-09-30,4600,4600,3874,3874,772
2002-12-31,3750,3750,3750,3750,200
2003-03-31,3500,3500,3500,3500,120
2003-06-30,3500,3500,3238,3238,136
2003-09-30,3075,3075,2568,2568,2008
2003-12-31,3000,3248,2354,2354,1992
2004-03-31,2354,2354,2250,2250,592
2004-06-30,2250,2250,2125,2125,148
2004-09-30,2050,2050,1850,1850,2092
2004-12-31,1750,5160,1711,5160,13996
2005-03-31,4875,7959,4875,7959,9128
2005-06-30,7950,7950,7250,7250,13844
2005-09-30,7250,9500,7250,9500,6876
2005-12-31,9500,10000,8000,10000,135172
2006-03-31,10000,11180,9500,11180,3716
2006-06-30,11180,12525,11180,12500,10944
2006-09-30,10406,10625,10406,10476,1276
2006-12-31,10476,12008,10476,12008,3276
2007-03-31,12008,12038,12008,12038,732
2007-06-30,12038,12301,11500,12301,7284
2007-09-30,12301,13750,12301,13041,5856
2007-12-31,13250,15225,13175,15000,10644
2008-03-31,15000,15500,15000,15500,3028
2008-06-30,15500,15500,14500,15000,7900
2008-09-30,15000,15000,14000,14000,4268
2008-12-31,14000,14000,13750,13750,1052
2009-03-31,13750,13750,13750,13750,1760
2009-06-30,13750,14000,13750,14000,752
2009-09-30,13750,13750,5375,5500,16720
2009-12-31,5250,5250,4974,4974,1264
2010-03-31,4601,4601,4250,4250,392
2010-06-30,4250,4250,3238,3480,464
2010-09-30,3480,5389,3000,5025,14440
2010-12-31,5025,5240,4500,4500,5552
2011-03-31,4488,4488,4488,4488,188
2011-06-30,4488,5185,4488,5185,4492
2011-09-30,5185,5574,5000,5000,9328
2011-12-31,5139,5503,4750,4750,5700
2012-03-31,5106,5106,4750,4750,8952
2012-06-30,4749,4749,4000,4000,2668
2012-09-30,4251,5125,4251,5125,10736
2012-12-31,5125,6250,3750,4000,12612
2013-03-31,4000,5380,3750,5200,11216
2013-06-30,5225,5500,5225,5500,9260
2013-09-30,5913,5914,4394,4394,14272
2013-12-31,4723,5000,4500,4999,11016
2014-03-31,4880,5750,4724,4725,4356
2014-06-30,4724,4725,3950,4250,13296
2014-09-30,4250,4250,3678,3825,15000
2014-12-31,3825,3825,3375,3498,31132
2015-03-31,3500,4625,3375,4488,7400
2015-06-30,4250,4250,3900,3900,5140
2015-09-30,3900,5000,3750,4625,58988
2015-12-31,4279,4750,4025,4750,14296
2016-03-31,4825,8550,4750,6750,29992
2016-06-30,7000,11500,6900,8521,39448
2016-09-30,9160,9160,6250,6250,81864
2016-12-31,6250,6718,4500,4650,20008
2017-03-31,4625,6325,4500,5625,14352
2017-06-30,5625,5875,3870,4160,11492
2017-09-30,4160,4160,2393,2625,10944
2017-12-31,2725,2800,1905,1905,15492
2018-03-31,2000,5125,2000,4394,15468
2018-06-30,4065,4988,1943,4988,32900
2018-09-30,4875,5225,4175,5088,29444
2018-12-31,5000,5000,3895,4875,13812
2019-03-31,4863,5000,4350,4400,18019
2019-06-30,4400,6020,4250,4255,42439
2019-09-30,4275,4835,3650,3700,11541
2019-12-31,3650,3695,2500,2500,39471
2020-03-31,2500,3695,2500,2775,16469
2020-06-30,2700,2885,2535,2880,8407
2020-09-30,2700,2900,2270,2795,7746
2020-12-31,2750,3200,2450,3080,48611
2021-03-31,3000,4300,2930,4000,23436
2021-06-30,3800,7200,3500,7000,69851
2021-09-30,6910,7385,6385,7000,94843
2021-12-31,7120,7200,6505,6900,97439
2022-03-31,6900,7500,6475,7100,63320
2022-06-30,7250,7995,5985,7350,63094
2022-09-30,7365,7495,5645,6000,46627
2022-12-31,6000,7400,5960,6800,46390
2023-03-31,6885,7700,6600,7580,41637
2023-06-30,7570,8000,7350,7800,78359
2023-09-30,7800,9850,7800,9150,97251
2023-12-31,9150,10700,8975,10530,84008
2024-03-31,10000,10520,9805,10400,64957
2024-06-30,10400,12505,10400,11900,39916
2024-09-30,11975,14900,11850,13540,55255
2024-12-31,13505,14000,8605,8605,82438
2025-03-31,8650,9220,6400,8600,103035
2025-06-30,8600,9900,7595,9100,68696
2025-09-30,9100,10100,8700,9350,32250
2025-12-31,9350,10750,9225,9500,54862
2026-03-31,9500,15000,9100,12500,107231
2026-06-30,12500,17735,11150,17735,60615
2026-09-30,17735,17800,15195,16620,63996
