Date,Open,High,Low,Close,Volume
1998-09-21,5219,5219.0,5219.0,5219,40
1998-09-28,5500,5500.0,5500.0,5500,416
1998-10-05,4500,4838.0,4500.0,4838,1884
1998-10-12,4500,4500.0,4500.0,4500,48
1998-10-19,5250,5250.0,5250.0,5250,300
1998-10-26,5250,5250.0,4500.0,4500,1464
1998-11-02,4500,4750.0,4500.0,4500,148
1998-11-09,4500,4500.0,4500.0,4500,724
1998-11-16,4500,4500.0,4500.0,4500,580
1998-11-23,4500,4500.0,4500.0,4500,480
1998-11-30,4500,4500.0,4500.0,4500,800
1998-12-07,4500,4500.0,4500.0,4500,160
1998-12-14,4500,4500.0,4500.0,4500,696
1998-12-21,4150,4150.0,4150.0,4150,120
1999-01-04,4163,4163.0,4150.0,4150,3748
1999-01-11,4150,4150.0,4150.0,4150,708
1999-01-18,4150,4150.0,4150.0,4150,208
1999-01-25,4150,4150.0,4150.0,4150,672
1999-02-01,4400,4400.0,4400.0,4400,36
1999-02-08,4400,4450.0,4400.0,4450,552
1999-02-15,4450,4450.0,4150.0,4150,628
1999-02-22,4250,4400.0,4250.0,4400,276
1999-03-01,4450,4450.0,4450.0,4450,728
1999-03-08,4500,4500.0,4500.0,4500,180
1999-03-15,4500,4500.0,4450.0,4450,180
1999-03-22,4500,4500.0,4450.0,4450,4400
1999-03-29,4784,4784.0,4500.0,4514,392
1999-04-05,4500,4750.0,4500.0,4750,1724
1999-04-12,4750,4750.0,4750.0,4750,204
1999-04-19,4750,4750.0,4750.0,4750,80
1999-04-26,4700,4700.0,4700.0,4700,60
1999-05-03,4450,4450.0,4450.0,4450,40
1999-05-10,4450,4450.0,4450.0,4450,16
1999-05-17,4175,4175.0,4175.0,4175,512
1999-05-24,4175,4175.0,4175.0,4175,20
1999-05-31,4175,4176.0,4175.0,4175,300
1999-06-07,4150,4150.0,4150.0,4150,5064
1999-06-14,4163,4163.0,4163.0,4163,200
1999-06-21,4158,4688.0,4158.0,4688,2680
1999-06-28,4698,4924.0,4698.0,4924,332
1999-07-05,4925,4925.0,4925.0,4925,700
