Date,Open,High,Low,Close,Volume
1998-12-31,5219,5500,4150,4163,11588
1999-12-31,4150,5240,4150,5125,475892
2000-12-31,5126,5275,5000,5275,57696
2001-12-31,5275,5681,5275,5525,31196
2002-12-31,5500,5500,3750,3750,1428
2003-12-31,3500,3500,2354,2354,4256
2004-12-31,2354,5160,1711,5160,16828
2005-12-31,4875,10000,4875,10000,165020
2006-12-31,10000,12525,9500,12008,19212
2007-12-31,12008,15225,11500,15000,24516
2008-12-31,15000,15500,13750,13750,16248
2009-12-31,13750,14000,4974,4974,20496
2010-12-31,4601,5389,3000,4500,20848
2011-12-31,4488,5574,4488,4750,19708
2012-12-31,5106,6250,3750,4000,34968
2013-12-31,4000,5914,3750,4999,45764
2014-12-31,4880,5750,3375,3498,63784
2015-12-31,3500,5000,3375,4750,85824
2016-12-31,4825,11500,4500,4650,171312
2017-12-31,4625,6325,1905,1905,52280
2018-12-31,2000,5225,1943,4875,91624
2019-12-31,4863,6020,2500,2500,111470
2020-12-31,2500,3695,2270,3080,81233
2021-12-31,3000,7385,2930,6900,285569
2022-12-31,6900,7995,5645,6800,219431
2023-12-31,6885,10700,6600,10530,301255
2024-12-31,10000,14900,8605,8605,242566
2025-12-31,8650,10750,6400,9500,258843
2026-12-31,9500,17800,9100,16620,231842
