Date,Open,High,Low,Close,Volume
1998-10-02,2200,2200,2200,2200,212490
1998-10-05,2200,2200,2200,2200,1820
1998-10-07,2300,2300,2300,2300,17280
1998-10-09,2200,2200,2200,2200,7070
1998-10-12,2300,2300,2300,2300,13930
1998-10-14,2300,2300,2300,2300,20320
1998-10-16,2200,2200,2200,2200,23920
1998-10-19,2300,2300,2300,2300,4440
1998-10-21,2200,2200,2200,2200,4450
1998-10-23,2200,2200,2200,2200,2720
1998-10-26,2200,2200,2200,2200,3530
1998-10-28,2290,2290,2290,2290,930
1998-10-30,2200,2200,2200,2200,4420
1998-11-02,2200,2200,2200,2200,880
1998-11-04,2290,2290,2290,2290,1100
1998-11-06,2290,2290,2290,2290,6340
1998-11-09,2200,2200,2200,2200,11360
1998-11-11,2200,2200,2200,2200,10170
1998-11-13,2035,2035,2035,2035,5920
1998-11-16,2180,2180,2180,2180,15000
1998-11-18,2200,2200,2200,2200,160000
1998-11-20,2300,2300,2300,2300,100000
1998-11-23,2395,2395,2395,2395,20000
1998-11-25,2395,2395,2395,2395,50700
1998-11-27,2395,2395,2395,2395,10000
1998-11-30,2395,2395,2395,2395,22770
1998-12-02,2395,2395,2395,2395,3050
1998-12-04,2395,2395,2395,2395,50000
1998-12-09,2395,2395,2395,2395,10180
1998-12-11,2395,2395,2395,2395,13480
1998-12-14,2395,2395,2395,2395,2850
1998-12-16,2395,2395,2395,2395,23240
1998-12-18,2395,2395,2395,2395,10370
1998-12-21,2395,2395,2395,2395,174000
1998-12-23,2395,2395,2395,2395,11000
1998-12-28,2395,2395,2395,2395,225900
1998-12-30,2400,2400,2400,2400,210000
1999-01-04,2400,2400,2400,2400,670
1999-01-06,2400,2400,2400,2400,13820
1999-01-08,2400,2400,2400,2400,15970
1999-01-11,2400,2400,2400,2400,5550
1999-01-13,2400,2400,2400,2400,11410
1999-01-18,2400,2400,2400,2400,4050
1999-01-20,2400,2400,2400,2400,940
1999-01-22,2400,2400,2400,2400,7070
1999-01-25,2400,2400,2400,2400,10400
1999-01-27,2400,2400,2400,2400,2800
1999-01-29,2400,2400,2400,2400,12670
1999-02-01,2400,2400,2400,2400,4370
1999-02-03,2400,2400,2400,2400,8650
1999-02-05,2400,2400,2400,2400,6900
1999-02-08,2400,2400,2400,2400,1000
1999-02-10,2400,2400,2400,2400,2500
1999-02-12,2400,2400,2400,2400,4740
1999-02-15,2400,2400,2400,2400,200
1999-02-17,2400,2400,2400,2400,1810
1999-02-19,2400,2400,2400,2400,17440
1999-02-22,2400,2400,2400,2400,9340
1999-02-24,2400,2400,2400,2400,926220
1999-02-26,2400,2400,2400,2400,4420
1999-03-01,2400,2400,2400,2400,2580
1999-03-03,2400,2400,2400,2400,5450
1999-03-05,2400,2400,2400,2400,500
1999-03-08,2400,2400,2400,2400,23380
1999-03-10,2400,2400,2400,2400,1150
1999-03-12,2500,2500,2500,2500,3770
1999-03-15,2500,2500,2500,2500,250
1999-03-17,2500,2500,2500,2500,11260
1999-03-19,2500,2500,2500,2500,10730
1999-03-22,2500,2500,2500,2500,5000
1999-03-24,2500,2500,2500,2500,19270
1999-03-26,2500,2500,2500,2500,3750
1999-03-29,2500,2500,2500,2500,21240
1999-03-31,2500,2500,2500,2500,9150
1999-04-02,2590,2590,2590,2590,5550
