Date,Open,High,Low,Close,Volume
1998-10-31,2200,2300,2200,2200,317320
1998-11-30,2200,2395,2035,2395,414240
1998-12-31,2395,2400,2395,2400,734070
1999-01-31,2400,2400,2400,2400,85350
1999-02-28,2400,2400,2400,2400,987590
1999-03-31,2400,2500,2400,2500,117480
1999-04-30,2590,3100,2500,2800,327220
1999-05-31,2590,2901,2590,2901,274490
1999-06-30,2950,2950,2950,2950,50030
1999-07-31,2950,2950,2600,2601,32360
1999-08-31,2650,2650,2600,2600,282260
1999-09-30,2600,2600,2600,2600,28790
1999-10-31,2600,2620,2600,2620,139670
1999-11-30,2620,2660,2620,2650,241270
1999-12-31,2650,2650,2650,2650,92640
2000-01-31,2650,2650,2650,2650,509460
2000-02-29,2650,2651,2650,2650,729000
2000-03-31,2650,2660,2650,2650,121970
2000-04-30,2650,2650,2650,2650,14850
2000-05-31,2650,2650,2599,2599,190570
2000-06-30,2650,2650,2600,2600,91960
2000-07-31,2600,2600,2500,2500,23810
2000-08-31,2400,2400,2200,2200,27950
2000-09-30,2200,2200,2100,2100,309370
2000-10-31,2125,2300,2101,2200,599450
2000-11-30,2200,2200,2100,2200,210120
2000-12-31,2150,2200,2100,2100,141050
2001-01-31,2110,2150,2100,2100,28470
2001-02-28,2100,2100,2000,2000,57300
2001-03-31,1980,2011,1980,2001,67920
2001-04-30,2025,2025,2000,2000,66170
2001-05-31,2000,2450,2000,2450,74120
2001-06-30,2451,2501,2300,2410,32360
2001-07-31,2451,2500,2050,2050,36760
2001-08-31,2030,2100,2000,2100,65510
2001-09-30,2200,2200,2001,2055,56320
2001-10-31,2050,2055,2000,2010,43450
2001-11-30,2010,2025,2000,2000,55590
2001-12-31,2000,2000,2000,2000,82720
2002-01-31,2000,2050,2000,2010,71370
2002-02-28,2050,2150,2000,2025,33630
2002-03-31,2025,2200,2001,2001,238130
2002-04-30,2010,2100,2000,2070,18490
2002-05-31,2070,2250,2050,2250,46730
2002-06-30,2250,2300,2150,2255,36490
2002-07-31,2261,2300,2000,2070,74770
2002-08-31,2050,2100,2000,2000,63160
2002-09-30,2000,2051,2000,2050,56000
2002-10-31,2050,2050,2000,2000,56900
2002-11-30,2001,2060,2000,2010,81040
2002-12-31,2010,2050,2000,2000,92690
2003-01-31,2000,2085,2000,2085,67610
2003-02-28,2091,2200,2070,2200,71900
2003-03-31,2200,2223,2100,2100,144600
2003-04-30,2100,2220,2100,2150,33620
2003-05-31,2220,2225,2150,2210,31870
2003-06-30,2220,2250,2200,2250,32960
2003-07-31,2300,2300,2050,2050,99890
2003-08-31,2050,2100,2050,2100,200200
2003-09-30,2100,2101,2100,2100,112860
2003-10-31,2081,2121,2050,2100,98840
2003-11-30,2101,2106,2100,2106,62520
2003-12-31,2104,2330,2104,2250,872740
2004-01-31,2300,2410,2295,2410,42900
2004-02-29,2410,2650,2410,2650,880110
2004-03-31,2650,2700,2650,2700,258490
2004-04-30,2700,3000,2700,3000,544030
2004-05-31,3000,3000,3000,3000,310020
2004-06-30,3000,3500,3000,3500,622490
2004-07-31,3500,3500,3104,3104,195920
2004-08-31,3104,3112,3104,3112,183820
2004-09-30,3112,3210,3112,3200,342350
2004-10-31,3200,3500,3200,3500,298070
2004-11-30,3270,3510,3270,3510,321340
2004-12-31,3510,3603,3510,3603,206390
2005-01-31,3604,3700,3604,3700,56220
2005-02-28,3702,3850,3702,3850,124700
2005-03-31,3851,4050,3851,4050,85890
2005-04-30,4050,4100,4050,4053,46680
2005-05-31,4060,5550,4060,5550,420690
2005-06-30,5550,5550,5500,5505,194890
2005-07-31,5000,5001,4900,5000,101020
2005-08-31,5000,5090,5000,5000,128660
2005-09-30,5000,5211,5000,5211,148100
2005-10-31,5211,5851,5211,5851,68690
2005-11-30,6000,6010,6000,6001,102710
2005-12-31,6000,6702,6000,6702,157100
2006-01-31,6900,9150,6900,9000,207550
2006-02-28,9000,9300,9000,9150,502190
2006-03-31,9100,9110,9000,9100,545530
2006-04-30,9100,9100,8950,8990,178440
2006-05-31,8980,9000,8950,8950,252470
2006-06-30,8950,8990,8800,8900,258010
2006-07-31,8900,8900,8000,8500,205720
2006-08-31,8500,9050,8450,9050,2031840
2006-09-30,9000,9000,8800,8800,366060
2006-10-31,8800,9200,8800,8900,181330
2006-11-30,8900,9230,8900,9210,146440
2006-12-31,9200,9300,9100,9100,139460
2007-01-31,9100,9200,9050,9200,168840
2007-02-28,9200,10042,9200,10042,95560
2007-03-31,10042,10500,9800,10000,53740
2007-04-30,9900,10200,9900,10000,275540
2007-05-31,10000,10800,9900,10800,116750
2007-06-30,11500,12200,11500,12200,654540
2007-07-31,12000,14000,12000,14000,135100
2007-08-31,14000,16500,14000,16500,711400
2007-09-30,16500,16500,15500,15900,46920
2007-10-31,15900,17500,15800,17200,341850
2007-11-30,17200,17500,17199,17200,138740
2007-12-31,17500,17500,17000,17500,434200
2008-01-31,17600,19500,17600,19500,59780
2008-02-29,19490,19980,18500,19400,469050
2008-03-31,19000,19000,18200,18200,28240
2008-04-30,18190,19000,18100,18500,109670
2008-05-31,18500,18500,17899,18000,156380
2008-06-30,18000,18000,18000,18000,1077920
2008-07-31,18000,18500,17800,17800,495930
2008-08-31,17800,17800,17400,17400,126310
2008-09-30,17000,17000,14000,14000,343110
2008-10-31,14000,14000,12500,12500,320440
2008-11-30,12000,12000,9950,10500,2104100
2008-12-31,11288,14000,11288,13000,127960
2009-01-31,13000,13000,12500,12700,115150
2009-02-28,12700,12700,12200,12200,206760
2009-03-31,12200,12300,11900,11900,219610
2009-04-30,11950,11950,11000,11200,454830
2009-05-31,11200,11200,10500,10600,260120
2009-06-30,10600,11000,10500,10600,110830
2009-07-31,10600,11500,10600,11000,257290
2009-08-31,11000,11500,11000,11500,1049540
2009-09-30,11510,12000,11510,12000,164020
2009-10-31,11900,12500,11900,12000,450860
2009-11-30,12000,12000,11900,11900,86090
2009-12-31,11900,12000,11900,12000,100240
2010-01-31,12500,12500,12000,12400,137960
2010-02-28,12400,13500,12400,13500,159240
2010-03-31,13500,14000,13000,14000,297070
2010-04-30,14000,15000,13800,13800,180190
2010-05-31,13500,14000,13500,14000,256620
2010-06-30,14000,14000,13400,13500,120230
2010-07-31,13500,13500,13400,13400,479510
2010-08-31,13400,13500,13300,13300,91560
2010-09-30,13300,14000,13300,14000,319680
2010-10-31,14000,14500,13800,14500,251490
2010-11-30,14500,15000,14500,15000,257800
2010-12-31,15000,15400,15000,15400,101510
2011-01-31,15450,18606,15450,16400,106460
2011-02-28,15170,16000,15000,16000,110480
2011-03-31,16000,16500,16000,16500,29050
2011-04-30,16500,16500,16300,16300,20630
2011-05-31,16300,16300,14245,15313,126950
2011-06-30,15300,15300,13648,14500,161360
2011-07-31,14500,14500,14000,14200,62620
2011-08-31,14000,14000,12500,12900,156430
2011-09-30,12900,12900,12000,12200,557640
2011-10-31,12200,12500,12100,12400,130590
2011-11-30,12400,13000,12400,12600,170540
2011-12-31,12600,12600,11100,12000,1284990
2012-01-31,12001,12500,12000,12000,302200
2012-02-29,12000,12600,12000,12600,148170
2012-03-31,12600,12700,12590,12700,191890
2012-04-30,13000,13001,12500,12500,156900
2012-05-31,10500,11400,10500,11400,419770
2012-06-30,11300,11400,11290,11400,195900
2012-07-31,11400,11700,11300,11300,223250
2012-08-31,11301,11500,11301,11500,163150
2012-09-30,11501,11501,11500,11500,238730
2012-10-31,10638,12000,10638,12000,448290
2012-11-30,12000,14400,12000,14400,372400
2012-12-31,15000,15000,14500,14500,574355
2013-01-31,14000,16000,14000,15990,302303
2013-02-28,16000,17005,16000,16500,254119
2013-03-31,16495,16495,15995,16000,1619191
2013-04-30,16000,17500,15900,15900,631108
2013-05-31,16000,19000,16000,19000,236564
2013-06-30,19000,19200,19000,19000,538058
2013-07-31,19000,19000,18000,18900,235792
2013-08-31,18900,18900,18000,18000,148817
2013-09-30,18005,18500,17600,18500,139980
2013-10-31,18400,19000,18005,18615,394199
2013-11-30,18800,20000,18510,19500,166132
2013-12-31,19695,20495,19500,20050,244012
2014-01-31,20000,25000,19960,24000,424294
2014-02-28,24000,24000,21275,22800,100300
2014-03-31,22500,23600,22100,22900,204078
2014-04-30,22895,23000,22200,22490,85193
2014-05-31,22300,22300,19125,21450,174226
2014-06-30,21500,22000,21310,21995,131641
2014-07-31,21900,23450,21700,22700,282940
2014-08-31,22710,25000,22700,23905,117823
2014-09-30,23905,24000,23000,23005,98456
2014-10-31,23005,23550,22000,22150,237165
2014-11-30,22200,23000,20350,22700,690538
2014-12-31,22700,23500,21995,22800,378110
2015-01-31,22800,24000,22000,23200,143681
2015-02-28,22910,25010,22910,24800,197318
2015-03-31,24900,25100,24000,24250,151271
2015-04-30,24300,24800,23055,24000,215186
2015-05-31,23100,23800,22900,23645,108414
2015-06-30,23600,24800,23350,24000,158858
2015-07-31,23750,29600,23700,28000,396977
2015-08-31,27900,28000,25100,25500,377736
2015-09-30,25350,27600,24500,25900,395705
2015-10-31,25855,27000,25810,26010,245612
2015-11-30,26050,28000,26000,26500,431439
2015-12-31,26500,27000,24500,25000,344091
2016-01-31,25200,25800,23650,23695,388251
2016-02-29,23610,26875,23000,24800,415997
2016-03-31,25000,25400,23500,24500,303555
2016-04-30,24795,26000,24400,25795,227507
2016-05-31,25800,25900,23000,23180,304621
2016-06-30,23180,24000,22450,22900,438115
2016-07-31,22900,23000,21810,22805,384884
2016-08-31,22995,23000,22500,22750,114675
2016-09-30,22750,24000,22300,22700,138081
2016-10-31,22700,23500,20765,23000,230954
2016-11-30,23005,25000,23005,24000,334441
2016-12-31,24000,25000,23000,25000,207848
2017-01-31,24000,24600,23520,24125,203823
2017-02-28,24200,25350,24100,25155,331038
2017-03-31,25155,25200,24200,25000,297784
2017-04-30,25000,25005,23500,24000,378584
2017-05-31,24000,24595,22450,24500,494973
2017-06-30,24400,24500,22900,24000,474946
2017-07-31,23500,24500,23300,23505,290031
2017-08-31,23505,24995,23500,23700,301763
2017-09-30,23705,24195,23000,23450,286192
2017-10-31,23395,23495,21275,23000,203911
2017-11-30,23000,23200,20445,22900,316604
2017-12-31,22890,23500,20815,23500,256665
2018-01-31,23200,23200,22005,22505,382481
2018-02-28,22405,22900,21500,21500,230624
2018-03-31,21500,23645,21400,23100,297035
2018-04-30,23000,23645,22510,23520,135278
2018-05-31,23450,24000,22100,22300,158426
2018-06-30,22500,23185,22300,22300,220145
2018-07-31,22300,22505,21350,21500,181634
2018-08-31,21500,21500,21000,21295,168851
2018-09-30,21290,21300,19600,20105,232193
2018-10-31,20100,20450,18500,19000,197644
2018-11-30,18950,19000,17750,18000,243255
2018-12-31,17850,17990,15500,16000,436715
2019-01-31,17000,17100,16000,16700,342673
2019-02-28,16700,20370,16125,20300,201381
2019-03-31,20320,20400,19400,19600,167576
2019-04-30,19400,19850,19000,19300,78213
2019-05-31,19295,19500,16310,16995,258761
2019-06-30,16990,16995,16400,16500,201373
2019-07-31,16600,16995,16450,16995,250469
2019-08-31,16995,17500,16350,16395,204553
2019-09-30,16355,16450,15000,15005,306028
2019-10-31,15010,15185,14700,14995,342420
2019-11-30,15000,15000,14695,14695,272673
2019-12-31,14610,17000,13800,16995,205619
2020-01-31,16500,16900,14995,15550,254651
2020-02-29,15500,15550,14450,14995,150165
2020-03-31,14800,15500,12900,12995,260975
