Date,Open,High,Low,Close,Volume
1998-12-31,2200,2400,2035,2400,1465630
1999-03-31,2400,2500,2400,2500,1190420
1999-06-30,2590,3100,2500,2950,651740
1999-09-30,2950,2950,2600,2600,343410
1999-12-31,2600,2660,2600,2650,473580
2000-03-31,2650,2660,2650,2650,1360430
2000-06-30,2650,2650,2599,2600,297380
2000-09-30,2600,2600,2100,2100,361130
2000-12-31,2125,2300,2100,2100,950620
2001-03-31,2110,2150,1980,2001,153690
2001-06-30,2025,2501,2000,2410,172650
2001-09-30,2451,2500,2000,2055,158590
2001-12-31,2050,2055,2000,2000,181760
2002-03-31,2000,2200,2000,2001,343130
2002-06-30,2010,2300,2000,2255,101710
2002-09-30,2261,2300,2000,2050,193930
2002-12-31,2050,2060,2000,2000,230630
2003-03-31,2000,2223,2000,2100,284110
2003-06-30,2100,2250,2100,2250,98450
2003-09-30,2300,2300,2050,2100,412950
2003-12-31,2081,2330,2050,2250,1034100
2004-03-31,2300,2700,2295,2700,1181500
2004-06-30,2700,3500,2700,3500,1476540
2004-09-30,3500,3500,3104,3200,722090
2004-12-31,3200,3603,3200,3603,825800
2005-03-31,3604,4050,3604,4050,266810
2005-06-30,4050,5550,4050,5505,662260
2005-09-30,5000,5211,4900,5211,377780
2005-12-31,5211,6702,5211,6702,328500
2006-03-31,6900,9300,6900,9100,1255270
2006-06-30,9100,9100,8800,8900,688920
2006-09-30,8900,9050,8000,8800,2603620
2006-12-31,8800,9300,8800,9100,467230
2007-03-31,9100,10500,9050,10000,318140
2007-06-30,9900,12200,9900,12200,1046830
2007-09-30,12000,16500,12000,15900,893420
2007-12-31,15900,17500,15800,17500,914790
2008-03-31,17600,19980,17600,18200,557070
2008-06-30,18190,19000,17899,18000,1343970
2008-09-30,18000,18500,14000,14000,965350
2008-12-31,14000,14000,9950,13000,2552500
2009-03-31,13000,13000,11900,11900,541520
2009-06-30,11950,11950,10500,10600,825780
2009-09-30,10600,12000,10600,12000,1470850
2009-12-31,11900,12500,11900,12000,637190
2010-03-31,12500,14000,12000,14000,594270
2010-06-30,14000,15000,13400,13500,557040
2010-09-30,13500,14000,13300,14000,890750
2010-12-31,14000,15400,13800,15400,610800
2011-03-31,15450,18606,15000,16500,245990
2011-06-30,16500,16500,13648,14500,308940
2011-09-30,14500,14500,12000,12200,776690
2011-12-31,12200,13000,11100,12000,1586120
2012-03-31,12001,12700,12000,12700,642260
2012-06-30,13000,13001,10500,11400,772570
2012-09-30,11400,11700,11300,11500,625130
2012-12-31,10638,15000,10638,14500,1395045
2013-03-31,14000,17005,14000,16000,2175613
2013-06-30,16000,19200,15900,19000,1405730
2013-09-30,19000,19000,17600,18500,524589
2013-12-31,18400,20495,18005,20050,804343
2014-03-31,20000,25000,19960,22900,728672
2014-06-30,22895,23000,19125,21995,391060
2014-09-30,21900,25000,21700,23005,499219
2014-12-31,23005,23550,20350,22800,1305813
2015-03-31,22800,25100,22000,24250,492270
2015-06-30,24300,24800,22900,24000,482458
2015-09-30,23750,29600,23700,25900,1170418
2015-12-31,25855,28000,24500,25000,1021142
2016-03-31,25200,26875,23000,24500,1107803
2016-06-30,24795,26000,22450,22900,970243
2016-09-30,22900,24000,21810,22700,637640
2016-12-31,22700,25000,20765,25000,773243
2017-03-31,24000,25350,23520,25000,832645
2017-06-30,25000,25005,22450,24000,1348503
2017-09-30,23500,24995,23000,23450,877986
2017-12-31,23395,23500,20445,23500,777180
2018-03-31,23200,23645,21400,23100,910140
2018-06-30,23000,24000,22100,22300,513849
2018-09-30,22300,22505,19600,20105,582678
2018-12-31,20100,20450,15500,16000,877614
2019-03-31,17000,20400,16000,19600,711630
2019-06-30,19400,19850,16310,16500,538347
2019-09-30,16600,17500,15000,15005,761050
2019-12-31,15010,17000,13800,16995,820712
2020-03-31,16500,16900,12900,12995,665791
2020-06-30,12985,14500,12500,12990,861046
2020-09-30,12985,13100,11500,11600,511705
2020-12-31,11500,13865,10315,13500,1762539
2021-03-31,13100,13445,11000,12900,1066462
2021-06-30,12750,15000,12700,13500,965423
2021-09-30,13400,14300,12500,13500,817568
2021-12-31,13500,14190,13450,13975,817217
2022-03-31,13975,16590,13700,15800,649299
2022-06-30,15700,16485,14200,14490,673102
2022-09-30,14480,14995,14200,14500,573244
2022-12-31,14500,15600,14200,15200,642599
2023-03-31,15195,16450,14520,15800,851002
2023-06-30,15795,16500,14500,15400,556406
2023-09-30,15370,16985,15300,16400,468474
2023-12-31,16295,18000,16000,17980,527075
2024-03-31,17790,18000,16800,17900,589528
2024-06-30,17850,19700,17800,19380,624476
2024-09-30,19300,24150,19205,23200,666385
2024-12-31,23200,24300,22800,24000,1077680
2025-03-31,23850,27000,23600,25000,383477
2025-06-30,25190,27000,24000,25800,639831
2025-09-30,25795,26000,24600,25605,434852
2025-12-31,25795,26900,24360,26120,862839
2026-03-31,24600,29300,24600,29000,409939
2026-06-30,28990,30000,27500,28500,540247
2026-09-30,29495,38500,28500,38500,502122
