Date,Open,High,Low,Close,Volume
1998-10-05,2200,2200.0,2200.0,2200,214310
1998-10-12,2300,2300.0,2200.0,2300,38280
1998-10-19,2300,2300.0,2200.0,2300,48680
1998-10-26,2200,2200.0,2200.0,2200,10700
1998-11-02,2290,2290.0,2200.0,2200,6230
1998-11-09,2290,2290.0,2200.0,2200,18800
1998-11-16,2200,2200.0,2035.0,2180,31090
1998-11-23,2200,2395.0,2200.0,2395,280000
1998-11-30,2395,2395.0,2395.0,2395,83470
1998-12-07,2395,2395.0,2395.0,2395,53050
1998-12-14,2395,2395.0,2395.0,2395,26510
1998-12-21,2395,2395.0,2395.0,2395,207610
1998-12-28,2395,2395.0,2395.0,2395,236900
1999-01-04,2400,2400.0,2400.0,2400,210670
1999-01-11,2400,2400.0,2400.0,2400,35340
1999-01-18,2400,2400.0,2400.0,2400,15460
1999-01-25,2400,2400.0,2400.0,2400,18410
1999-02-01,2400,2400.0,2400.0,2400,19840
1999-02-08,2400,2400.0,2400.0,2400,16550
1999-02-15,2400,2400.0,2400.0,2400,7440
1999-02-22,2400,2400.0,2400.0,2400,28590
1999-03-01,2400,2400.0,2400.0,2400,933220
1999-03-08,2400,2400.0,2400.0,2400,29330
1999-03-15,2400,2500.0,2400.0,2500,5170
1999-03-22,2500,2500.0,2500.0,2500,26990
1999-03-29,2500,2500.0,2500.0,2500,44260
1999-04-05,2500,2590.0,2500.0,2590,14700
1999-04-12,2500,2889.0,2500.0,2889,253730
1999-04-19,2889,3100.0,2889.0,3100,47120
1999-04-26,2890,2900.0,2850.0,2850,14800
1999-05-03,2850,2850.0,2590.0,2590,6130
1999-05-10,2784,2860.0,2784.0,2860,233920
1999-05-17,2890,2900.0,2890.0,2900,15410
1999-05-24,2900,2900.0,2900.0,2900,21180
1999-05-31,2901,2901.0,2901.0,2901,3870
1999-06-07,2950,2950.0,2950.0,2950,21110
1999-06-14,2950,2950.0,2950.0,2950,11620
1999-06-21,2950,2950.0,2950.0,2950,10500
1999-06-28,2950,2950.0,2950.0,2950,3800
1999-07-05,2950,2950.0,2900.0,2900,5590
1999-07-12,2900,2900.0,2683.0,2750,1050
1999-07-19,2750,2750.0,2650.0,2650,13270
1999-07-26,2650,2650.0,2650.0,2650,6520
1999-08-02,2600,2650.0,2600.0,2650,12520
1999-08-09,2650,2650.0,2600.0,2600,26020
1999-08-16,2600,2601.0,2600.0,2600,69930
1999-08-23,2600,2602.0,2600.0,2602,71220
1999-08-30,2610,2610.0,2600.0,2600,111500
1999-09-06,2600,2600.0,2600.0,2600,3790
1999-09-13,2600,2600.0,2600.0,2600,3880
1999-09-20,2600,2600.0,2600.0,2600,8020
1999-09-27,2600,2600.0,2600.0,2600,10210
1999-10-04,2600,2600.0,2600.0,2600,54230
1999-10-11,2600,2620.0,2600.0,2620,20230
1999-10-18,2620,2620.0,2620.0,2620,28640
1999-10-25,2620,2620.0,2620.0,2620,34440
1999-11-01,2620,2620.0,2620.0,2620,5020
1999-11-08,2620,2620.0,2620.0,2620,107700
1999-11-15,2620,2620.0,2620.0,2620,57020
1999-11-22,2620,2650.0,2620.0,2650,73460
1999-11-29,2660,2660.0,2650.0,2650,3090
1999-12-06,2650,2650.0,2650.0,2650,21430
1999-12-13,2650,2650.0,2650.0,2650,5720
1999-12-20,2650,2650.0,2650.0,2650,60860
1999-12-27,2650,2650.0,2650.0,2650,720
2000-01-03,2650,2650.0,2650.0,2650,3910
2000-01-10,2650,2650.0,2650.0,2650,7320
2000-01-17,2650,2650.0,2650.0,2650,22040
2000-01-24,2650,2650.0,2650.0,2650,8840
2000-01-31,2650,2650.0,2650.0,2650,471260
2000-02-07,2650,2650.0,2650.0,2650,24770
2000-02-14,2650,2650.0,2650.0,2650,9330
2000-02-21,2650,2650.0,2650.0,2650,5740
2000-02-28,2651,2651.0,2650.0,2650,689160
2000-03-06,2650,2660.0,2650.0,2650,4640
2000-03-13,2650,2650.0,2650.0,2650,6480
2000-03-20,2650,2650.0,2650.0,2650,860
2000-03-27,2650,2650.0,2650.0,2650,104150
2000-04-03,2650,2650.0,2650.0,2650,8470
2000-04-10,2650,2650.0,2650.0,2650,4540
2000-04-17,2650,2650.0,2650.0,2650,2540
2000-04-24,2650,2650.0,2650.0,2650,1310
2000-05-01,2650,2650.0,2650.0,2650,3830
2000-05-08,2650,2650.0,2650.0,2650,3910
2000-05-15,2650,2650.0,2650.0,2650,5780
2000-05-22,2650,2650.0,2650.0,2650,6590
2000-05-29,2650,2650.0,2600.0,2600,138250
2000-06-05,2599,2650.0,2599.0,2650,78800
2000-06-12,2600,2650.0,2600.0,2650,42910
2000-06-19,2650,2650.0,2650.0,2650,500
2000-06-26,2650,2650.0,2600.0,2600,2460
2000-07-03,2600,2600.0,2600.0,2600,3410
2000-07-10,2600,2600.0,2600.0,2600,20150
2000-07-17,2600,2600.0,2600.0,2600,2180
2000-07-24,2599,2599.0,2550.0,2550,440
2000-07-31,2500,2500.0,2500.0,2500,960
2000-08-07,2400,2400.0,2400.0,2400,2610
2000-08-14,2300,2300.0,2300.0,2300,5230
2000-08-21,2200,2200.0,2200.0,2200,1130
2000-08-28,2201,2211.0,2201.0,2211,7420
2000-09-04,2200,2200.0,2200.0,2200,27010
2000-09-11,2200,2200.0,2200.0,2200,9360
2000-09-18,2200,2200.0,2195.0,2195,172050
2000-09-25,2200,2200.0,2198.0,2200,41970
2000-10-02,2100,2125.0,2100.0,2125,70890
2000-10-09,2125,2200.0,2125.0,2200,446950
2000-10-16,2151,2151.0,2125.0,2125,15520
2000-10-23,2101,2130.0,2101.0,2130,110850
2000-10-30,2201,2300.0,2200.0,2200,25780
2000-11-06,2200,2200.0,2150.0,2200,47340
2000-11-13,2200,2200.0,2150.0,2150,39430
2000-11-20,2100,2150.0,2100.0,2100,30090
