Date,Open,High,Low,Close,Volume
1998-12-31,2200,2400,2035,2400,1465630
1999-12-31,2400,3100,2400,2650,2659150
2000-12-31,2650,2660,2100,2100,2969560
2001-12-31,2110,2501,1980,2000,666690
2002-12-31,2000,2300,2000,2000,869400
2003-12-31,2000,2330,2000,2250,1829610
2004-12-31,2300,3603,2295,3603,4205930
2005-12-31,3604,6702,3604,6702,1635350
2006-12-31,6900,9300,6900,9100,5015040
2007-12-31,9100,17500,9050,17500,3173180
2008-12-31,17600,19980,9950,13000,5418890
2009-12-31,13000,13000,10500,12000,3475340
2010-12-31,12500,15400,12000,15400,2652860
2011-12-31,15450,18606,11100,12000,2917740
2012-12-31,12001,15000,10500,14500,3435005
2013-12-31,14000,20495,14000,20050,4910275
2014-12-31,20000,25000,19125,22800,2924764
2015-12-31,22800,29600,22000,25000,3166288
2016-12-31,25200,26875,20765,25000,3488929
2017-12-31,24000,25350,20445,23500,3836314
2018-12-31,23200,24000,15500,16000,2884281
2019-12-31,17000,20400,13800,16995,2831739
2020-12-31,16500,16900,10315,13500,3801081
2021-12-31,13100,15000,11000,13975,3666670
2022-12-31,13975,16590,13700,15200,2538244
2023-12-31,15195,18000,14500,17980,2402957
2024-12-31,17790,24300,16800,24000,2958069
2025-12-31,23850,27000,23600,26120,2320999
2026-12-31,24600,38495,24600,37150,1426677
