Date,Open,High,Low,Close,Volume
1998-09-16,1700,1700,1700,1700,130
1998-09-18,1700,1700,1700,1700,10
1998-09-21,1700,1700,1700,1700,250
1998-09-23,1700,1700,1700,1700,7900
1998-09-25,1700,1700,1700,1700,30
1998-09-28,1600,1600,1600,1600,180
1998-09-30,1700,1700,1700,1700,1100
1998-10-02,1650,1650,1650,1650,8750
1998-10-07,1650,1650,1650,1650,5000
1998-10-14,1700,1700,1700,1700,640
1998-10-28,1700,1700,1700,1700,70
1998-11-06,1637,1637,1637,1637,20
1998-11-11,1637,1637,1637,1637,130
1998-12-21,1400,1400,1400,1400,50
1998-12-23,1400,1400,1400,1400,10
1998-12-30,1400,1400,1400,1400,80200
1999-02-03,1026,1026,1026,1026,3070
1999-02-08,1026,1026,1026,1026,2000
1999-02-10,1025,1025,1025,1025,500
1999-02-12,950,950,950,950,490
1999-02-17,950,950,950,950,100
1999-02-19,900,900,900,900,150
1999-02-22,900,900,900,900,300
1999-02-24,900,900,900,900,16950
1999-02-26,900,900,900,900,15100
1999-03-01,900,900,900,900,1310
1999-03-03,900,900,900,900,17050
1999-03-08,1000,1000,1000,1000,170
1999-03-10,1020,1020,1020,1020,300
1999-03-12,1020,1020,1020,1020,1100
1999-03-15,1020,1020,1020,1020,1600
1999-03-17,1014,1014,1014,1014,1980
1999-03-19,1013,1013,1013,1013,100
1999-03-22,1014,1014,1014,1014,600
1999-03-24,938,938,938,938,8200
1999-03-26,930,930,930,930,8290
1999-03-29,901,901,901,901,250
1999-03-31,900,900,900,900,4950
1999-04-02,900,900,900,900,21150
1999-04-07,900,900,900,900,6550
1999-04-09,900,900,900,900,5000
1999-04-14,900,900,900,900,11950
1999-04-16,900,900,900,900,3700
1999-04-19,900,900,900,900,5020
1999-04-21,900,900,900,900,18690
1999-04-23,900,900,900,900,1430
1999-04-26,900,900,900,900,130
1999-04-28,900,900,900,900,100
1999-05-03,900,900,900,900,270
1999-05-05,900,900,900,900,2100
1999-05-07,900,900,900,900,2000
1999-05-10,900,900,900,900,2000
1999-05-12,968,968,968,968,1650
1999-05-14,968,968,968,968,120
1999-05-17,900,900,900,900,1450
1999-05-19,900,900,900,900,1220
