Date,Open,High,Low,Close,Volume
1998-09-30,1700,1700.0,1600.0,1700,9600
1998-10-31,1650,1700.0,1650.0,1700,14460
1998-11-30,1637,1637.0,1637.0,1637,150
1998-12-31,1400,1400.0,1400.0,1400,80260
1999-02-28,1026,1026.0,900.0,900,38660
1999-03-31,900,1020.0,900.0,900,45900
1999-04-30,900,900.0,900.0,900,73720
1999-05-31,900,968.0,900.0,900,14040
1999-06-30,900,900.0,900.0,900,7130
1999-07-31,770,770.0,660.0,660,24340
1999-08-31,700,700.0,620.0,620,4320
1999-09-30,600,600.0,600.0,600,5420
1999-10-31,590,635.0,590.0,635,11480
1999-11-30,651,800.0,651.0,800,14690
1999-12-31,750,1050.0,750.0,1030,57080
2000-01-31,1000,1000.0,900.0,900,2400
2000-03-31,800,800.0,740.0,740,6950
2000-04-30,740,740.0,740.0,740,980
2000-05-31,740,740.0,740.0,740,50
2000-06-30,700,700.0,700.0,700,100
2000-07-31,679,679.0,679.0,679,710
2000-08-31,650,650.0,602.0,647,14980
2000-09-30,601,605.0,601.0,605,14720
2000-10-31,605,607.0,605.0,605,4070
2000-11-30,605,605.0,605.0,605,3360
2000-12-31,605,605.0,605.0,605,20560
2001-01-31,600,600.0,590.0,590,9300
2001-02-28,590,590.0,590.0,590,140
2001-04-30,550,550.0,509.0,510,16360
2001-05-31,520,620.0,520.0,620,7900
2001-06-30,621,621.0,555.0,555,4010
2001-07-31,514,514.0,500.0,500,3540
2001-08-31,500,500.0,500.0,500,12380
2001-09-30,500,530.0,500.0,530,4050
2001-10-31,530,530.0,500.0,500,14470
2001-11-30,500,500.0,500.0,500,1860
2001-12-31,537,1026.0,537.0,1026,13540
2002-01-31,1026,1026.0,1000.0,1000,25100
2002-03-31,930,930.0,900.0,900,280
2002-04-30,900,900.0,900.0,900,30
2002-05-31,740,740.0,740.0,740,300
2002-06-30,586,586.0,500.0,500,9270
2002-07-31,500,546.0,500.0,520,23610
2002-08-31,520,520.0,460.0,460,19350
2002-09-30,465,482.0,465.0,482,19710
2002-10-31,482,482.0,482.0,482,8670
2002-11-30,482,619.0,465.0,619,3380
2002-12-31,600,840.0,600.0,840,4780
2003-03-31,700,700.0,648.0,648,2940
2003-04-30,640,640.0,599.0,599,1360
2003-05-31,555,555.0,500.0,500,2550
2003-06-30,480,500.0,480.0,500,2660
2003-07-31,501,560.0,500.0,560,3310
2003-08-31,515,560.0,510.0,520,4650
2003-09-30,520,560.0,520.0,560,3680
2003-10-31,565,586.0,565.0,586,9070
2003-11-30,580,650.0,580.0,650,528140
2003-12-31,581,670.0,580.0,670,2725970
2004-01-31,581,650.0,581.0,650,27690
2004-02-29,690,740.0,690.0,740,183440
