Date,Open,High,Low,Close,Volume
1998-09-30,1700,1700,1600,1700,9600
1998-12-31,1650,1700,1400,1400,94870
1999-03-31,1026,1026,900,900,84560
1999-06-30,900,968,900,900,94890
1999-09-30,770,770,600,600,34080
1999-12-31,590,1050,590,1030,83250
2000-03-31,1000,1000,740,740,9350
2000-06-30,740,740,700,700,1130
2000-09-30,679,679,601,605,30410
2000-12-31,605,607,605,605,27990
2001-03-31,600,600,590,590,9440
2001-06-30,550,621,509,555,28270
2001-09-30,514,530,500,530,19970
2001-12-31,530,1026,500,1026,29870
2002-03-31,1026,1026,900,900,25380
2002-06-30,900,900,500,500,9600
2002-09-30,500,546,460,482,62670
2002-12-31,482,840,465,840,16830
2003-03-31,700,700,648,648,2940
2003-06-30,640,640,480,500,6570
2003-09-30,501,560,500,560,11640
2003-12-31,565,670,565,670,3263180
2004-03-31,581,750,581,740,308310
2004-06-30,740,781,735,740,25590
2004-09-30,740,740,629,629,19030
2004-12-31,630,839,560,839,31530
2005-03-31,780,780,600,700,75580
2005-06-30,701,712,620,636,22890
2005-09-30,636,691,600,661,39640
2005-12-31,690,860,650,860,247270
2006-03-31,800,900,750,900,22360
2006-06-30,960,1260,960,1260,17320
2006-09-30,1270,1400,1270,1350,17960
2006-12-31,1250,1340,1200,1200,5050
2007-03-31,1200,1720,1200,1720,99430
2007-06-30,1840,2670,1840,2670,38180
2007-09-30,2670,3100,2250,2800,66700
2007-12-31,2800,3200,2800,2920,248210
2008-03-31,2901,3400,2805,3400,405570
2008-06-30,3451,4491,3451,4491,47160
2008-09-30,4510,5100,3978,4599,78800
2008-12-31,4599,4599,2200,3314,75690
2009-03-31,3314,3314,1750,1800,132520
2009-06-30,1800,2700,1300,2700,50480
2009-09-30,2700,2700,1500,1550,62330
2009-12-31,1551,1900,1500,1800,44440
2010-03-31,1800,1800,1450,1794,391350
2010-06-30,1794,2350,1794,2300,255940
2010-09-30,2350,3300,2350,2711,119830
2010-12-31,2711,3399,2711,2800,64210
2011-03-31,2800,3290,2800,3000,50100
2011-06-30,3000,4880,2800,3450,84230
2011-09-30,3440,4000,3200,3900,371370
2011-12-31,3850,5950,3850,5600,241080
2012-03-31,5501,8000,5200,7850,140930
2012-06-30,7800,9025,7500,8700,141830
2012-09-30,8250,8501,4445,6350,91470
2012-12-31,6350,6500,5500,6500,115580
2013-03-31,6500,7400,5900,6800,62330
2013-06-30,6798,6798,4730,5088,187760
2013-09-30,5000,5400,3879,4700,58750
2013-12-31,4700,5350,4070,5350,63870
2014-03-31,5335,5345,3500,3500,37110
2014-06-30,3500,3800,3238,3400,76270
2014-09-30,3400,3500,3100,3112,147270
2014-12-31,3100,3200,2313,3190,60710
2015-03-31,3190,3190,2300,2300,30470
2015-06-30,2400,3100,2350,2900,459940
2015-09-30,3050,3050,2550,2600,55970
2015-12-31,2600,2795,2520,2560,99670
2016-03-31,2600,3100,2550,3000,91510
2016-06-30,2900,3800,2860,3601,112130
2016-09-30,3600,3800,2990,3199,32770
2016-12-31,3200,3493,2500,3300,47500
2017-03-31,3300,3750,3150,3300,149770
2017-06-30,3250,5000,3250,3881,246890
2017-09-30,4000,4100,3415,3800,166558
2017-12-31,3700,4400,3610,4200,516922
2018-03-31,4200,5700,4150,5250,306965
2018-06-30,5200,5590,2890,3790,241754
2018-09-30,3800,3895,2450,3000,157064
2018-12-31,3000,3000,1975,2285,67651
2019-03-31,2225,2700,1760,2700,50852
2019-06-30,2645,2850,1960,2100,107496
2019-09-30,2100,2195,1555,1925,95037
2019-12-31,1925,2580,1600,2580,124777
2020-03-31,2580,2870,1850,1865,70643
2020-06-30,1800,1935,1325,1935,41039
2020-09-30,1945,1945,1400,1825,73774
2020-12-31,1690,2620,1670,2350,114957
2021-03-31,2300,3010,2125,3000,112924
2021-06-30,2950,3550,2545,3550,117205
2021-09-30,3500,4350,3330,4300,234094
2021-12-31,4305,5685,4300,5000,278308
2022-03-31,5090,6100,4800,6100,180225
2022-06-30,6005,7100,5800,6505,207713
2022-09-30,6500,6600,5490,6350,124156
2022-12-31,6350,6350,5250,5670,81673
2023-03-31,5665,5800,4950,5400,79985
2023-06-30,5325,5590,4555,4800,122465
2023-09-30,4795,4800,3435,3445,196335
2023-12-31,3500,3785,2405,3270,170892
2024-03-31,3200,4000,2950,3895,109657
2024-06-30,3875,3895,2915,3725,112095
2024-09-30,3670,4000,3550,3935,94051
2024-12-31,3800,4885,3800,4610,267898
2025-03-31,4615,5500,4350,5500,234264
2025-06-30,5200,8580,4805,8100,313906
2025-09-30,8000,8985,7000,8505,515066
2025-12-31,8500,9000,7160,7900,271114
2026-03-31,7505,9000,7505,8010,181462
2026-06-30,7980,8600,6645,8395,303260
2026-09-30,8395,8700,7300,8300,282438
