Date,Open,High,Low,Close,Volume
1998-09-21,1700,1700.0,1700.0,1700,390
1998-09-28,1700,1700.0,1600.0,1600,8110
1998-10-05,1700,1700.0,1650.0,1650,9850
1998-10-12,1650,1650.0,1650.0,1650,5000
1998-10-19,1700,1700.0,1700.0,1700,640
1998-11-02,1700,1700.0,1700.0,1700,70
1998-11-09,1637,1637.0,1637.0,1637,20
1998-11-16,1637,1637.0,1637.0,1637,130
1998-12-21,1400,1400.0,1400.0,1400,50
1998-12-28,1400,1400.0,1400.0,1400,10
1999-01-04,1400,1400.0,1400.0,1400,80200
1999-02-08,1026,1026.0,1026.0,1026,5070
1999-02-15,1025,1025.0,950.0,950,990
1999-02-22,950,950.0,900.0,900,550
1999-03-01,900,900.0,900.0,900,33360
1999-03-08,900,1000.0,900.0,1000,17220
1999-03-15,1020,1020.0,1020.0,1020,3000
1999-03-22,1014,1014.0,1013.0,1014,2680
1999-03-29,938,938.0,901.0,901,16740
1999-04-05,900,900.0,900.0,900,26100
1999-04-12,900,900.0,900.0,900,11550
1999-04-19,900,900.0,900.0,900,20670
1999-04-26,900,900.0,900.0,900,20250
1999-05-03,900,900.0,900.0,900,370
1999-05-10,900,900.0,900.0,900,6100
1999-05-17,968,968.0,900.0,900,3220
1999-05-24,900,900.0,900.0,900,2870
1999-05-31,900,900.0,900.0,900,1580
1999-06-07,900,900.0,900.0,900,4500
1999-06-14,900,900.0,900.0,900,750
1999-06-21,900,900.0,900.0,900,1880
1999-07-19,770,770.0,770.0,770,2800
1999-07-26,660,660.0,660.0,660,18370
1999-08-02,660,660.0,660.0,660,3170
1999-08-09,700,700.0,700.0,700,650
1999-08-16,660,660.0,660.0,660,1420
1999-08-23,660,660.0,660.0,660,800
1999-08-30,631,631.0,620.0,620,1450
1999-09-13,600,600.0,600.0,600,3970
1999-09-27,600,600.0,600.0,600,1000
1999-10-04,600,600.0,590.0,590,3050
1999-10-11,590,590.0,590.0,590,430
1999-10-18,600,600.0,600.0,600,5810
1999-10-25,601,602.0,601.0,602,1190
1999-11-01,635,635.0,635.0,635,1450
1999-11-08,651,651.0,651.0,651,200
1999-11-15,700,700.0,700.0,700,11190
1999-11-22,750,751.0,750.0,751,2700
1999-11-29,800,800.0,800.0,800,600
1999-12-06,750,820.0,750.0,820,13650
1999-12-13,870,900.0,870.0,900,33100
1999-12-20,950,1050.0,950.0,1050,8880
1999-12-27,1050,1050.0,1045.0,1045,1300
2000-01-03,1030,1030.0,1030.0,1030,150
2000-01-10,1000,1000.0,1000.0,1000,1900
2000-01-24,900,900.0,900.0,900,500
2000-03-13,800,800.0,799.0,799,450
2000-03-20,750,750.0,750.0,750,300
2000-03-27,750,750.0,750.0,750,4500
2000-04-03,740,740.0,740.0,740,1700
2000-04-24,740,740.0,740.0,740,980
2000-05-08,740,740.0,740.0,740,50
2000-06-12,700,700.0,700.0,700,100
2000-07-24,679,679.0,679.0,679,710
2000-08-28,650,650.0,602.0,602,13000
2000-09-04,647,647.0,601.0,601,11800
2000-09-11,603,603.0,603.0,603,680
2000-09-25,604,605.0,604.0,605,1250
2000-10-02,605,605.0,605.0,605,3510
2000-10-09,607,607.0,605.0,605,3020
2000-10-16,605,605.0,605.0,605,160
2000-10-23,605,605.0,605.0,605,350
2000-11-06,605,605.0,605.0,605,1190
2000-11-27,605,605.0,605.0,605,2170
2000-12-04,605,605.0,605.0,605,16560
2000-12-11,605,605.0,605.0,605,1250
2000-12-18,605,605.0,605.0,605,2750
2001-01-08,600,600.0,600.0,600,3330
2001-01-15,600,600.0,600.0,600,470
2001-01-22,600,600.0,600.0,600,270
2001-01-29,590,590.0,590.0,590,5230
2001-02-19,590,590.0,590.0,590,40
2001-02-26,590,590.0,590.0,590,100
2001-04-16,550,550.0,509.0,509,10200
2001-04-23,509,509.0,509.0,509,1000
2001-04-30,510,510.0,510.0,510,5160
2001-05-07,520,520.0,520.0,520,940
2001-05-14,520,520.0,520.0,520,130
2001-05-21,520,601.0,520.0,601,1930
2001-05-28,601,620.0,601.0,620,2800
2001-06-04,620,621.0,620.0,621,3660
2001-06-11,620,620.0,620.0,620,300
2001-06-18,600,600.0,600.0,600,1200
2001-07-02,555,555.0,555.0,555,950
2001-07-09,514,514.0,514.0,514,550
2001-07-16,514,514.0,500.0,500,1700
2001-07-23,500,500.0,500.0,500,1290
2001-08-06,500,500.0,500.0,500,3480
2001-08-13,500,500.0,500.0,500,1880
2001-08-27,500,500.0,500.0,500,6720
2001-09-03,500,500.0,500.0,500,360
2001-09-10,500,500.0,500.0,500,3150
2001-09-17,500,500.0,500.0,500,500
2001-09-24,530,530.0,530.0,530,340
2001-10-08,530,530.0,530.0,530,500
2001-10-22,500,500.0,500.0,500,3960
2001-10-29,500,500.0,500.0,500,10010
2001-11-19,500,500.0,500.0,500,400
2001-11-26,500,500.0,500.0,500,100
2001-12-03,500,500.0,500.0,500,1360
2001-12-17,537,577.0,537.0,577,5240
2001-12-24,620,769.0,620.0,769,4870
2001-12-31,826,1026.0,826.0,1026,3430
2002-01-07,1026,1026.0,1026.0,1026,25000
2002-02-04,1000,1000.0,1000.0,1000,100
2002-03-04,930,930.0,930.0,930,170
2002-03-11,900,900.0,900.0,900,110
2002-04-29,900,900.0,900.0,900,30
2002-05-06,740,740.0,740.0,740,300
2002-06-10,586,586.0,586.0,586,730
2002-06-24,543,543.0,502.0,502,3540
2002-07-01,500,500.0,500.0,500,12210
2002-07-08,502,507.0,502.0,507,770
2002-07-15,507,510.0,507.0,510,770
2002-07-22,521,530.0,500.0,530,8130
2002-07-29,540,546.0,540.0,546,1700
2002-08-05,530,530.0,519.0,519,16480
2002-08-12,519,519.0,519.0,519,200
2002-08-19,500,500.0,499.0,499,1600
2002-08-26,495,495.0,460.0,460,2050
2002-09-02,460,465.0,460.0,465,5090
2002-09-09,465,467.0,465.0,467,10680
2002-09-16,467,480.0,467.0,480,4980
2002-09-30,481,482.0,481.0,482,3010
2002-10-07,482,482.0,482.0,482,110
2002-10-14,482,482.0,482.0,482,190
2002-10-21,482,482.0,482.0,482,5670
2002-10-28,482,482.0,482.0,482,2150
2002-11-04,482,482.0,482.0,482,650
2002-11-11,482,482.0,482.0,482,2030
2002-11-18,465,465.0,465.0,465,530
2002-11-25,500,619.0,500.0,619,720
2002-12-09,600,600.0,600.0,600,400
2002-12-16,640,785.0,640.0,785,3860
2002-12-23,840,840.0,840.0,840,520
2003-03-10,700,700.0,700.0,700,1230
2003-03-17,700,700.0,648.0,648,1710
2003-04-14,640,640.0,640.0,640,100
2003-04-28,599,599.0,599.0,599,1260
2003-05-12,555,555.0,555.0,555,1170
2003-05-19,514,514.0,514.0,514,540
2003-05-26,500,500.0,500.0,500,100
2003-06-02,500,500.0,500.0,500,740
2003-06-09,480,480.0,480.0,480,200
2003-06-16,480,500.0,480.0,500,2350
2003-06-23,500,500.0,500.0,500,110
2003-07-14,501,501.0,500.0,500,1750
2003-07-21,503,503.0,503.0,503,900
2003-07-28,540,560.0,540.0,560,660
2003-08-11,515,515.0,515.0,515,620
2003-08-18,510,560.0,510.0,560,890
2003-09-01,520,520.0,520.0,520,3540
2003-09-08,520,520.0,520.0,520,2230
2003-09-15,560,560.0,560.0,560,150
2003-09-22,560,560.0,560.0,560,890
2003-09-29,560,560.0,560.0,560,10
2003-10-06,565,565.0,565.0,565,300
2003-10-13,575,575.0,575.0,575,8270
2003-11-03,586,586.0,580.0,580,4500
2003-11-10,580,580.0,580.0,580,22650
2003-11-17,580,580.0,580.0,580,501040
2003-11-24,650,650.0,650.0,650,150
2003-12-01,650,650.0,650.0,650,300
2003-12-15,581,624.0,580.0,580,2040
2003-12-22,580,580.0,580.0,580,2715360
2003-12-29,580,580.0,580.0,580,4340
2004-01-05,670,670.0,670.0,670,4230
2004-01-12,581,581.0,581.0,581,450
2004-01-19,581,620.0,581.0,620,25470
2004-01-26,621,650.0,621.0,650,1550
2004-02-02,650,650.0,650.0,650,220
2004-02-09,690,740.0,690.0,740,180240
2004-02-16,740,740.0,740.0,740,1820
2004-03-01,740,740.0,740.0,740,31380
2004-03-08,740,740.0,740.0,740,930
2004-03-15,740,750.0,740.0,750,39230
2004-03-22,740,740.0,740.0,740,25500
2004-03-29,740,740.0,740.0,740,1520
2004-04-05,740,740.0,740.0,740,5290
2004-04-12,740,740.0,740.0,740,60
2004-04-19,740,740.0,740.0,740,900
2004-04-26,740,740.0,740.0,740,1000
2004-05-03,760,770.0,760.0,770,600
2004-05-10,776,776.0,776.0,776,620
2004-05-17,776,781.0,776.0,781,610
2004-05-31,781,781.0,781.0,781,1230
2004-06-07,781,781.0,781.0,781,1000
2004-06-21,735,735.0,735.0,735,4780
2004-06-28,740,740.0,740.0,740,9500
2004-07-05,740,740.0,740.0,740,540
2004-07-19,740,740.0,729.0,729,800
2004-08-09,729,729.0,729.0,729,2020
2004-08-16,729,729.0,729.0,729,5000
2004-08-23,729,729.0,729.0,729,270
2004-08-30,729,729.0,729.0,729,1500
2004-09-06,729,729.0,729.0,729,2080
2004-09-13,680,680.0,680.0,680,570
2004-09-20,680,680.0,680.0,680,4130
2004-09-27,629,629.0,629.0,629,1370
2004-10-04,629,630.0,629.0,630,1410
2004-10-11,630,630.0,600.0,600,290
2004-10-18,600,600.0,600.0,600,6170
2004-10-25,600,600.0,600.0,600,3480
2004-11-22,600,600.0,600.0,600,200
2004-11-29,560,560.0,560.0,560,1410
2004-12-06,600,645.0,600.0,645,3600
2004-12-13,645,645.0,645.0,645,10300
2004-12-20,645,730.0,645.0,730,710
2004-12-27,780,780.0,780.0,780,80
2005-01-03,780,839.0,780.0,839,4630
2005-01-10,780,780.0,780.0,780,80
2005-01-24,780,780.0,780.0,780,10
2005-02-07,722,722.0,722.0,722,50
2005-02-14,600,600.0,600.0,600,5790
2005-02-21,600,600.0,600.0,600,90
2005-02-28,600,601.0,600.0,601,300
2005-03-07,605,610.0,605.0,610,700
2005-03-14,600,675.0,600.0,675,34490
2005-03-21,720,720.0,720.0,720,32450
2005-03-28,700,700.0,700.0,700,1180
2005-04-04,700,700.0,700.0,700,440
2005-04-11,701,710.0,701.0,710,630
2005-04-18,710,710.0,710.0,710,500
2005-04-25,711,711.0,711.0,711,990
2005-05-09,711,711.0,711.0,711,130
2005-05-16,712,712.0,712.0,712,340
2005-05-23,712,712.0,712.0,712,1230
2005-05-30,712,712.0,660.0,660,3280
2005-06-06,660,660.0,620.0,620,8560
2005-06-13,620,620.0,620.0,620,330
2005-06-20,620,620.0,620.0,620,70
2005-06-27,620,630.0,620.0,630,6320
2005-07-04,636,636.0,636.0,636,1160
2005-07-11,636,636.0,636.0,636,560
2005-07-18,680,680.0,680.0,680,3350
2005-07-25,680,681.0,680.0,681,20460
2005-08-01,640,640.0,600.0,600,850
2005-08-15,640,640.0,640.0,640,4520
2005-08-22,640,640.0,640.0,640,110
2005-08-29,650,660.0,650.0,660,2000
2005-09-05,660,660.0,660.0,660,250
2005-09-12,688,691.0,688.0,691,1340
2005-09-19,691,691.0,691.0,691,300
2005-09-26,691,691.0,691.0,691,250
2005-10-03,661,690.0,661.0,690,5110
2005-10-10,670,690.0,670.0,670,710
2005-10-24,671,676.0,671.0,676,200
2005-10-31,670,670.0,670.0,670,1840
2005-11-07,670,670.0,670.0,670,120
2005-11-14,680,680.0,680.0,680,1320
2005-11-21,680,680.0,680.0,680,320
2005-11-28,700,700.0,700.0,700,300
2005-12-05,750,750.0,750.0,750,1160
2005-12-12,750,750.0,650.0,650,105000
2005-12-19,750,750.0,700.0,740,127300
2005-12-26,700,700.0,700.0,700,900
2006-01-02,750,860.0,750.0,860,7990
2006-01-09,800,800.0,750.0,750,1390
2006-01-16,750,750.0,750.0,750,7450
2006-01-23,751,751.0,751.0,751,180
2006-01-30,751,751.0,751.0,751,560
2006-02-06,751,780.0,751.0,780,140
2006-02-13,780,780.0,751.0,751,300
2006-02-20,751,751.0,750.0,750,7570
2006-02-27,751,751.0,751.0,751,460
2006-03-06,752,760.0,752.0,760,820
2006-03-13,760,761.0,760.0,761,1070
2006-03-20,761,800.0,761.0,800,190
2006-03-27,851,900.0,851.0,900,810
2006-04-03,900,960.0,900.0,960,2120
2006-04-10,961,1020.0,961.0,1020,1050
2006-04-17,1020,1020.0,1020.0,1020,4070
2006-04-24,1020,1020.0,1020.0,1020,1730
2006-05-01,1000,1020.0,1000.0,1020,1920
2006-05-08,1020,1020.0,1020.0,1020,1300
2006-05-15,1020,1020.0,1020.0,1020,120
2006-05-22,1020,1020.0,1020.0,1020,510
2006-05-29,1020,1020.0,1001.0,1001,2000
2006-06-05,1031,1031.0,1031.0,1031,100
2006-06-12,1030,1050.0,1030.0,1050,1600
2006-06-19,1120,1120.0,1120.0,1120,500
2006-06-26,1190,1260.0,1190.0,1260,1620
2006-07-03,1260,1260.0,1260.0,1260,100
2006-07-10,1270,1270.0,1270.0,1270,130
2006-07-17,1350,1350.0,1270.0,1270,3220
2006-07-24,1300,1300.0,1300.0,1300,2290
2006-07-31,1300,1300.0,1300.0,1300,2840
2006-08-07,1300,1301.0,1300.0,1301,2230
2006-08-14,1301,1301.0,1301.0,1301,1730
2006-08-21,1301,1301.0,1301.0,1301,200
2006-08-28,1301,1301.0,1301.0,1301,190
2006-09-04,1400,1400.0,1400.0,1400,80
2006-09-11,1400,1400.0,1400.0,1400,3440
2006-09-18,1400,1400.0,1400.0,1400,400
2006-09-25,1400,1400.0,1350.0,1350,1130
2006-10-02,1350,1350.0,1350.0,1350,80
2006-10-16,1250,1250.0,1250.0,1250,240
2006-10-23,1250,1250.0,1250.0,1250,130
2006-10-30,1250,1250.0,1250.0,1250,230
2006-11-06,1251,1251.0,1250.0,1251,440
2006-11-13,1251,1340.0,1251.0,1340,310
2006-11-20,1340,1340.0,1340.0,1340,220
2006-11-27,1340,1340.0,1251.0,1251,760
2006-12-04,1250,1250.0,1250.0,1250,270
2006-12-11,1250,1250.0,1250.0,1250,460
2006-12-18,1250,1250.0,1250.0,1250,460
2007-01-01,1250,1250.0,1200.0,1200,1530
2007-01-08,1200,1252.0,1200.0,1252,3670
2007-01-15,1251,1251.0,1251.0,1251,1010
2007-01-22,1251,1251.0,1251.0,1251,280
2007-01-29,1300,1300.0,1300.0,1300,1100
2007-02-05,1300,1350.0,1300.0,1350,1660
2007-02-12,1500,1500.0,1500.0,1500,41730
2007-02-19,1450,1450.0,1450.0,1450,1950
2007-02-26,1450,1450.0,1450.0,1450,1190
2007-03-05,1460,1461.0,1460.0,1461,830
2007-03-12,1481,1550.0,1400.0,1400,17600
2007-03-19,1500,1501.0,1450.0,1501,26550
2007-03-26,1510,1550.0,1510.0,1550,1000
2007-04-02,1600,1840.0,1600.0,1840,1360
2007-04-16,1840,1950.0,1840.0,1950,7800
2007-04-23,1950,2015.0,1950.0,2015,8840
2007-04-30,2160,2300.0,2160.0,2290,3370
2007-05-07,2290,2291.0,2290.0,2291,2970
2007-05-14,2291,2291.0,2291.0,2291,3260
2007-05-21,2292,2300.0,2292.0,2300,2280
2007-05-28,2350,2350.0,2350.0,2350,1110
2007-06-04,2400,2550.0,2400.0,2550,630
2007-06-11,2670,2670.0,2670.0,2670,3960
2007-06-18,2471,2471.0,2471.0,2471,600
2007-06-25,2471,2501.0,2471.0,2500,2480
2007-07-02,2500,2670.0,2500.0,2670,2380
2007-07-09,2670,2670.0,2670.0,2670,12890
2007-07-16,2670,2670.0,2300.0,2300,5030
2007-07-23,2292,2292.0,2250.0,2251,4680
2007-07-30,2310,2485.0,2310.0,2485,3420
2007-08-06,2500,2500.0,2500.0,2500,8000
2007-08-13,2500,2551.0,2500.0,2551,4310
2007-08-20,2800,3100.0,2800.0,3100,880
2007-08-27,3100,3100.0,3001.0,3090,11060
2007-09-03,3100,3100.0,3000.0,3000,7640
2007-09-10,3000,3000.0,3000.0,3000,2830
2007-09-17,3000,3000.0,3000.0,3000,370
2007-09-24,2900,2900.0,2900.0,2900,1330
2007-10-01,2900,2900.0,2800.0,2800,2760
2007-10-15,2800,2800.0,2800.0,2800,211220
2007-10-22,2800,3032.0,2800.0,3032,2690
2007-10-29,3090,3200.0,3090.0,3200,4970
2007-11-05,3200,3200.0,3000.0,3000,350
2007-11-12,3200,3200.0,3000.0,3000,4860
2007-11-26,3000,3000.0,2900.0,2900,870
2007-12-03,2850,2900.0,2850.0,2900,3520
2007-12-10,2900,2900.0,2900.0,2900,2800
2007-12-17,2900,2910.0,2894.0,2910,5910
2007-12-24,2921,2921.0,2921.0,2921,1000
2007-12-31,2920,2920.0,2920.0,2920,9520
2008-01-07,2901,2901.0,2900.0,2900,3360
2008-01-14,2900,2900.0,2899.0,2899,12430
2008-01-21,2899,2899.0,2805.0,2805,5060
2008-01-28,2805,2805.0,2805.0,2805,6400
2008-02-04,2805,2806.0,2805.0,2806,30570
2008-02-11,2806,3000.0,2806.0,3000,5030
2008-02-18,3095,3095.0,3000.0,3000,117860
2008-02-25,3000,3101.0,3000.0,3101,124600
2008-03-03,3300,3300.0,3300.0,3300,770
2008-03-10,3300,3300.0,3150.0,3300,95450
2008-03-17,3350,3350.0,3350.0,3350,1370
2008-03-24,3350,3350.0,3350.0,3350,2240
2008-03-31,3350,3400.0,3350.0,3400,430
2008-04-07,3451,3600.0,3451.0,3600,1180
2008-04-14,3800,3900.0,3800.0,3800,1830
2008-04-21,3750,3800.0,3750.0,3800,480
2008-04-28,3800,4000.0,3800.0,4000,5610
2008-05-05,4000,4000.0,3800.0,4000,2520
2008-05-12,4000,4000.0,4000.0,4000,8720
2008-05-19,3999,4000.0,3999.0,4000,6460
2008-05-26,4000,4001.0,4000.0,4001,8840
2008-06-02,4100,4180.0,4100.0,4180,2810
2008-06-09,4000,4001.0,4000.0,4001,1600
2008-06-16,4005,4006.0,4005.0,4006,1610
2008-06-23,4006,4181.0,4006.0,4181,4550
2008-06-30,4490,4491.0,4490.0,4491,950
2008-07-07,4510,5000.0,4510.0,5000,23410
2008-07-14,5051,5100.0,5051.0,5100,3810
2008-07-21,5100,5100.0,5100.0,5100,2740
2008-07-28,5099,5100.0,5099.0,5100,500
2008-08-04,5100,5100.0,4900.0,4900,1920
2008-08-11,4899,4899.0,4899.0,4899,1290
2008-08-18,4800,4800.0,4784.0,4784,1370
2008-08-25,4750,4750.0,3978.0,3978,4530
2008-09-01,3978,3979.0,3978.0,3979,19680
2008-09-08,3979,4700.0,3979.0,4700,5460
2008-09-15,4700,4900.0,4700.0,4900,6080
2008-09-22,5000,5100.0,4800.0,4800,6350
2008-09-29,4600,4600.0,4599.0,4599,1660
2008-10-06,4599,4599.0,4490.0,4490,3840
2008-10-13,4490,4490.0,4400.0,4400,610
2008-10-20,4400,4400.0,4300.0,4300,340
2008-10-27,4300,4300.0,3800.0,3800,2280
2008-11-03,3775,3775.0,3492.0,3492,760
2008-11-10,3231,3231.0,3231.0,3231,1760
2008-11-17,3300,3300.0,2989.0,3225,11700
2008-11-24,3400,3600.0,3400.0,3600,10560
2008-12-01,3600,3600.0,3400.0,3400,2460
2008-12-08,2910,2910.0,2898.0,2898,4590
2008-12-15,2700,2700.0,2200.0,2200,8220
2008-12-22,2200,2937.0,2200.0,2937,7890
2008-12-29,3157,3157.0,2868.0,2868,2760
2009-01-05,3083,3314.0,3083.0,3314,18340
2009-01-12,3065,3065.0,3040.0,3040,1470
2009-01-19,3040,3263.0,3035.0,3250,4030
2009-01-26,3250,3250.0,3230.0,3239,8010
2009-02-02,3000,3000.0,2999.0,2999,740
2009-02-09,2999,2999.0,2800.0,2800,1140
2009-02-16,2800,2800.0,2650.0,2650,1140
2009-02-23,2600,2600.0,2390.0,2390,6900
2009-03-02,2300,2300.0,2150.0,2150,7970
2009-03-09,2160,2300.0,2150.0,2150,81660
2009-03-16,2150,2150.0,2150.0,2150,4200
2009-03-23,2050,2050.0,1897.0,1897,1110
2009-03-30,1898,1898.0,1750.0,1800,9130
2009-04-06,1800,1800.0,1760.0,1800,9760
2009-04-13,1800,1800.0,1700.0,1700,1050
2009-04-20,1700,1700.0,1699.0,1699,1480
2009-04-27,1700,1700.0,1700.0,1700,5000
2009-05-04,1700,1700.0,1699.0,1699,1250
2009-05-11,1572,1572.0,1500.0,1500,350
2009-05-18,1500,1500.0,1498.0,1498,1590
2009-05-25,1498,1498.0,1390.0,1390,1420
2009-06-01,1300,1301.0,1300.0,1301,11330
2009-06-08,1301,1401.0,1301.0,1401,220
2009-06-15,1450,1510.0,1450.0,1510,4500
2009-06-22,1623,2010.0,1623.0,2010,330
2009-06-29,2100,2600.0,2100.0,2600,13340
2009-07-06,2700,2700.0,2499.0,2499,4080
2009-07-13,2312,2312.0,2035.0,2035,3030
2009-07-20,2000,2000.0,2000.0,2000,7690
2009-07-27,2002,2100.0,2002.0,2018,2560
2009-08-03,1900,1980.0,1900.0,1980,5080
2009-08-10,1980,2010.0,1980.0,2010,1650
2009-08-17,2000,2000.0,1900.0,1900,1930
2009-08-24,1898,1898.0,1898.0,1898,5000
2009-08-31,1898,2000.0,1898.0,1898,4800
2009-09-07,1880,1880.0,1850.0,1850,1820
2009-09-14,1800,1800.0,1598.0,1598,5790
2009-09-21,1590,1590.0,1520.0,1520,690
2009-09-28,1510,1510.0,1500.0,1500,20670
2009-10-05,1550,1551.0,1550.0,1551,2510
2009-10-12,1600,1600.0,1600.0,1600,3580
2009-10-19,1600,1700.0,1600.0,1700,320
2009-10-26,1700,1700.0,1700.0,1700,1810
2009-11-02,1700,1700.0,1700.0,1700,630
2009-11-09,1600,1600.0,1600.0,1600,1200
2009-11-16,1500,1600.0,1500.0,1600,7410
2009-11-23,1621,1800.0,1621.0,1800,13140
2009-11-30,1800,1800.0,1800.0,1800,1490
2009-12-07,1800,1800.0,1800.0,1800,700
2009-12-14,1900,1900.0,1900.0,1900,10000
2009-12-21,1800,1800.0,1800.0,1800,580
2009-12-28,1890,1890.0,1890.0,1890,1250
2010-01-04,1890,1890.0,1800.0,1800,820
2010-01-11,1800,1800.0,1800.0,1800,1550
2010-01-18,1794,1794.0,1540.0,1540,1110
2010-01-25,1540,1541.0,1540.0,1540,13610
2010-02-01,1540,1540.0,1540.0,1540,2540
2010-02-08,1450,1541.0,1450.0,1541,5080
2010-02-15,1541,1550.0,1541.0,1550,1920
2010-02-22,1535,1550.0,1535.0,1550,19580
2010-03-01,1551,1551.0,1551.0,1551,4200
2010-03-08,1551,1600.0,1551.0,1600,2540
2010-03-15,1600,1720.0,1600.0,1720,50550
2010-03-22,1794,1795.0,1794.0,1795,41440
2010-03-29,1795,1795.0,1794.0,1794,247200
2010-04-05,1794,1794.0,1794.0,1794,930
2010-04-12,1795,1810.0,1795.0,1810,10160
2010-04-19,1810,1810.0,1800.0,1800,64710
2010-04-26,1805,1810.0,1794.0,1794,35510
2010-05-03,1794,1800.0,1794.0,1800,47080
2010-05-10,1800,1800.0,1800.0,1800,11430
2010-05-17,1800,1800.0,1800.0,1800,8480
2010-05-24,1800,1850.0,1800.0,1850,10450
2010-05-31,1850,1851.0,1850.0,1851,990
2010-06-07,1990,2149.0,1988.0,1988,4850
2010-06-14,2137,2150.0,2101.0,2150,46760
2010-06-21,2311,2320.0,2290.0,2320,4410
2010-06-28,2320,2320.0,2200.0,2320,7190
2010-07-05,2350,2350.0,2300.0,2350,5300
2010-07-12,2370,2400.0,2370.0,2400,4280
2010-07-19,2395,2501.0,2395.0,2501,3330
2010-07-26,2501,2510.0,2501.0,2510,1600
2010-08-02,2420,2500.0,2420.0,2500,6300
2010-08-09,2500,2660.0,2500.0,2660,4630
2010-08-16,2750,2790.0,2750.0,2790,16870
2010-08-23,2800,2800.0,2350.0,2350,12790
2010-08-30,2350,2900.0,2350.0,2900,6280
2010-09-06,3300,3300.0,3300.0,3300,6610
2010-09-13,3053,3053.0,3000.0,3000,8130
2010-09-20,2900,2900.0,2850.0,2850,8880
2010-09-27,2700,2800.0,2700.0,2700,35500
2010-10-04,2710,2900.0,2710.0,2900,2630
2010-10-11,3000,3000.0,2750.0,2750,12530
2010-10-18,2760,2951.0,2760.0,2940,1980
2010-10-25,2800,2950.0,2800.0,2850,3920
2010-11-01,2850,3150.0,2850.0,3150,12150
2010-11-08,3200,3399.0,3200.0,3399,3530
2010-11-15,3398,3398.0,3120.0,3120,2990
2010-11-22,3140,3140.0,3140.0,3140,3600
2010-11-29,3140,3140.0,3140.0,3140,5870
2010-12-06,3010,3010.0,3010.0,3010,2530
2010-12-13,3000,3000.0,2800.0,2800,3120
2010-12-20,2800,3000.0,2800.0,3000,6410
2010-12-27,3000,3000.0,3000.0,3000,1430
2011-01-03,2949,2949.0,2800.0,2800,4610
