Date,Open,High,Low,Close,Volume
1998-12-31,1700,1700,1400,1400,104470
1999-12-31,1026,1050,590,1030,296780
2000-12-31,1000,1000,601,605,68880
2001-12-31,600,1026,500,1026,87550
2002-12-31,1026,1026,460,840,114480
2003-12-31,700,700,480,670,3284330
2004-12-31,581,839,560,839,384460
2005-12-31,780,860,600,860,385380
2006-12-31,800,1400,750,1200,62690
2007-12-31,1200,3200,1200,2920,452520
2008-12-31,2901,5100,2200,3314,607220
2009-12-31,3314,3314,1300,1800,289770
2010-12-31,1800,3399,1450,2800,831330
2011-12-31,2800,5950,2800,5600,746780
2012-12-31,5501,9025,4445,6500,489810
2013-12-31,6500,7400,3879,5350,372710
2014-12-31,5335,5345,2313,3190,321360
2015-12-31,3190,3190,2300,2560,646050
2016-12-31,2600,3800,2500,3300,283910
2017-12-31,3300,5000,3150,4200,1080140
2018-12-31,4200,5700,1975,2285,773434
2019-12-31,2225,2850,1555,2580,378162
2020-12-31,2580,2870,1325,2350,300413
2021-12-31,2300,5685,2125,5000,742531
2022-12-31,5090,7100,4800,5670,593767
2023-12-31,5665,5800,2405,3270,569677
2024-12-31,3200,4885,2915,4610,583701
2025-12-31,4615,9000,4350,7900,1334350
2026-12-31,7505,9000,6645,8290,742248
