Date,Open,High,Low,Close,Volume
1998-09-18,2200,2200,2200,2200,1255
1998-09-21,2300,2300,2300,2300,250
1998-09-25,2000,2000,2000,2000,235
1998-09-28,2150,2150,2150,2150,50
1998-09-30,2000,2000,2000,2000,105
1998-10-02,1900,1900,1900,1900,280
1998-10-09,1900,1900,1900,1900,50
1998-10-14,1900,1900,1900,1900,25
1998-10-16,1900,1900,1900,1900,75
1998-10-19,1900,1900,1900,1900,25
1998-10-21,1760,1760,1760,1760,5
1998-10-23,1630,1630,1630,1630,5
1998-10-26,1510,1510,1510,1510,30
1998-10-28,1398,1398,1398,1398,655
1998-10-30,1294,1294,1294,1294,1620
1998-11-02,1197,1197,1197,1197,48135
1998-11-13,1400,1400,1400,1400,1245
1998-11-18,1478,1478,1478,1478,250
1998-11-20,1400,1400,1400,1400,135
1998-11-23,1400,1400,1400,1400,250
1998-11-25,1478,1478,1478,1478,175
1998-11-27,1588,1588,1588,1588,500
1998-12-04,1400,1400,1400,1400,50
1998-12-16,1400,1400,1400,1400,100
1998-12-18,1400,1400,1400,1400,125
1998-12-23,1400,1400,1400,1400,50
1999-01-06,1400,1400,1400,1400,50
1999-01-27,1500,1500,1500,1500,2350
1999-01-29,1500,1500,1500,1500,125
1999-02-05,1400,1400,1400,1400,110
1999-02-12,1400,1400,1400,1400,25
1999-02-22,1400,1400,1400,1400,300
1999-02-24,1400,1400,1400,1400,200
1999-02-26,1400,1400,1400,1400,175
1999-03-03,1360,1360,1360,1360,500
1999-03-05,1400,1400,1400,1400,1510
1999-03-10,1360,1360,1360,1360,500
1999-03-12,1400,1400,1400,1400,300
1999-03-17,1400,1400,1400,1400,265
1999-03-19,1360,1360,1360,1360,130
1999-03-24,1360,1360,1360,1360,50
1999-03-26,1360,1360,1360,1360,50
1999-03-31,1359,1359,1359,1359,100
1999-04-02,1359,1359,1359,1359,3500
1999-04-07,1360,1360,1360,1360,1095
1999-04-09,1360,1360,1360,1360,1920
1999-04-12,1360,1360,1360,1360,535
1999-04-14,1360,1360,1360,1360,515
1999-04-16,1360,1360,1360,1360,25
1999-04-19,1360,1360,1360,1360,1095
1999-04-21,1360,1360,1360,1360,35
1999-04-23,1360,1360,1360,1360,165
1999-04-28,1360,1360,1360,1360,50
1999-04-30,1360,1360,1360,1360,350
1999-05-03,1360,1360,1360,1360,5000
1999-05-05,1360,1360,1360,1360,100
1999-05-14,1360,1360,1360,1360,55
1999-06-09,1360,1360,1360,1360,50
1999-06-16,1360,1360,1360,1360,15
1999-06-23,1260,1260,1260,1260,775
1999-06-28,1219,1219,1219,1219,300
1999-06-30,1219,1219,1219,1219,150
1999-07-07,1200,1200,1200,1200,3959575
1999-07-12,1200,1200,1200,1200,1450
1999-07-21,1193,1193,1193,1193,3466895
1999-07-23,1104,1104,1104,1104,1500
1999-07-26,1100,1100,1100,1100,100
1999-07-30,1000,1000,1000,1000,295
1999-08-02,998,998,998,998,550
1999-08-04,998,998,998,998,250
1999-08-06,998,998,998,998,1000
1999-08-09,930,930,930,930,300
1999-08-11,932,932,932,932,3475
1999-08-18,1060,1060,1060,1060,815
1999-08-20,1060,1060,1060,1060,250
1999-08-23,1060,1060,1060,1060,667660
1999-08-25,1059,1059,1059,1059,460
1999-08-27,1060,1060,1060,1060,230
1999-09-01,1060,1060,1060,1060,440
1999-09-03,1060,1060,1060,1060,260
1999-09-06,1060,1060,1060,1060,130
1999-09-10,1060,1060,1060,1060,95
1999-09-13,1060,1060,1060,1060,155
1999-09-15,1060,1060,1060,1060,255
1999-09-17,1060,1060,1060,1060,190
1999-09-20,1060,1060,1060,1060,105
1999-09-22,1060,1060,1060,1060,155
1999-09-24,1060,1060,1060,1060,200
1999-10-08,1060,1060,1060,1060,40
1999-10-20,1000,1000,1000,1000,150
1999-10-22,1000,1000,1000,1000,50
1999-11-08,1000,1000,1000,1000,50
1999-11-12,1000,1000,1000,1000,3960
1999-11-17,1000,1000,1000,1000,1955
1999-11-19,1000,1000,1000,1000,2630
1999-11-26,1000,1000,1000,1000,1080
1999-11-29,1000,1000,1000,1000,775
1999-12-01,1000,1000,1000,1000,410
1999-12-06,1000,1000,1000,1000,85
1999-12-10,1000,1000,1000,1000,50
1999-12-17,1000,1000,1000,1000,1125
1999-12-31,1000,1000,1000,1000,8099265
2000-01-14,1000,1000,1000,1000,100
2000-01-19,1020,1020,1020,1020,2500
2000-03-01,1000,1000,1000,1000,350
2000-03-08,1000,1000,1000,1000,50
2000-03-22,998,998,998,998,275
2000-03-24,930,930,930,930,1260
2000-03-27,929,929,929,929,300
2000-03-31,920,920,920,920,225
2000-04-12,920,920,920,920,170
2000-04-26,919,919,919,919,110
2000-04-28,919,919,919,919,5
2000-05-03,917,917,917,917,200
2000-05-12,916,916,916,916,100
2000-05-17,799,799,799,799,500
2000-05-26,798,798,798,798,75
2000-06-02,798,798,798,798,100
2000-06-16,798,798,798,798,525
2000-06-28,740,740,740,740,75
2000-07-07,700,700,700,700,250
2000-07-12,700,700,700,700,250
2000-07-19,680,680,680,680,750
2000-07-21,678,678,678,678,500
2000-07-26,628,628,628,628,6270
2000-07-31,628,628,628,628,150
2000-08-02,600,600,600,600,2510
2000-08-04,600,600,600,600,500
2000-08-09,600,600,600,600,750
2000-08-11,600,600,600,600,965
2000-08-14,600,600,600,600,25
2000-08-18,600,600,600,600,25
2000-08-21,600,600,600,600,50
2000-08-23,600,600,600,600,150
2000-08-25,600,600,600,600,2525
2000-08-28,600,600,600,600,300
2000-08-30,600,600,600,600,135
2000-09-01,602,602,602,602,475
2000-09-04,603,603,603,603,40
2000-09-06,604,604,604,604,500
2000-09-08,606,606,606,606,250
2000-09-11,608,608,608,608,500
2000-09-13,608,608,608,608,175
2000-09-15,609,609,609,609,150
2000-09-20,610,610,610,610,740
2000-09-22,610,610,610,610,720
2000-09-25,610,610,610,610,435
2000-09-29,645,645,645,645,160
2000-10-04,610,610,610,610,2235
2000-10-06,610,610,610,610,1085
2000-10-09,610,610,610,610,985
2000-10-11,610,610,610,610,890
2000-10-13,610,610,610,610,900
2000-10-16,610,610,610,610,425
2000-10-18,610,610,610,610,995
2000-10-20,610,610,610,610,1000
2000-10-30,611,611,611,611,250
2000-11-02,611,611,611,611,25
2000-11-06,610,610,610,610,225
2000-11-08,610,610,610,610,375
2000-11-16,610,610,610,610,350
2000-11-20,610,610,610,610,50
2000-11-22,610,610,610,610,1775
2000-11-24,610,610,610,610,200
2000-11-27,610,610,610,610,820
2000-11-29,610,610,610,610,375
2000-12-06,610,610,610,610,100
2000-12-11,610,610,610,610,30
2000-12-13,610,610,610,610,50
2000-12-26,610,610,610,610,250
2001-01-05,610,610,610,610,500
2001-01-19,609,609,609,609,355
2001-01-24,600,600,600,600,1220
2001-01-26,600,600,600,600,100
2001-02-02,600,600,600,600,30
2001-02-09,600,600,600,600,60
2001-02-14,600,600,600,600,50
2001-04-06,584,584,584,584,695
2001-04-09,584,584,584,584,905
2001-04-30,584,584,584,584,2645
2001-05-16,584,584,584,584,1755
2001-05-21,534,534,534,534,630
2001-05-23,534,534,534,534,50
2001-06-08,500,500,500,500,745
2001-06-15,500,500,500,500,500
2001-06-22,500,500,500,500,25
2001-07-11,500,500,500,500,5000
2001-07-13,500,500,500,500,1075
2001-07-18,500,500,500,500,50
2001-07-20,500,500,500,500,1375
2001-07-23,500,500,500,500,400
2001-07-25,500,500,500,500,50
2001-07-27,500,500,500,500,2025
2001-08-01,500,500,500,500,5
2001-08-03,500,500,500,500,1310
2001-08-08,500,500,500,500,750
2001-08-10,500,500,500,500,75
2001-08-13,500,500,500,500,400
2001-08-16,500,500,500,500,250
2001-08-17,500,500,500,500,450
2001-08-22,500,500,500,500,265
2001-08-24,500,500,500,500,150
2001-08-29,500,500,500,500,105
2001-09-05,500,500,500,500,600
2001-09-07,500,500,500,500,100
2001-09-10,500,500,500,500,1000
2001-09-12,500,500,500,500,20
2001-09-14,500,500,500,500,695
2001-09-21,500,500,500,500,495
2001-09-28,500,500,500,500,75
2001-10-01,500,500,500,500,150
2001-10-03,500,500,500,500,720
2001-10-19,500,500,500,500,40
2001-10-24,500,500,500,500,50
2002-01-25,463,463,463,463,3380
2002-01-28,460,460,460,460,9430
2002-02-08,427,427,427,427,1270
2002-02-13,424,424,424,424,100
2002-02-27,421,421,421,421,50
2002-03-04,390,390,390,390,15000
2002-03-05,389,389,389,389,250
2002-03-11,380,380,380,380,55
2002-03-18,352,352,352,352,1225
2002-03-27,336,336,336,336,75
2002-03-29,336,336,336,336,500
2002-04-05,336,336,336,336,10
2002-04-11,294,294,294,294,150
2002-04-16,279,279,279,279,500
2002-04-17,276,276,276,276,200
2002-04-29,273,273,273,273,100
2002-04-30,268,268,268,268,1125
2002-05-02,267,267,267,267,525
2002-05-03,265,265,265,265,5000
2002-05-06,264,264,264,264,80400
2002-05-07,260,260,260,260,1260
2002-05-08,250,250,250,250,150
2002-05-10,260,260,260,260,83315
2002-05-13,250,250,250,250,805
2002-05-14,268,268,268,268,500
2002-05-15,287,287,287,287,5500
2002-05-16,287,287,287,287,50
2002-05-17,287,287,287,287,500
2002-05-22,280,280,280,280,505
2002-05-23,286,286,286,286,100000
2002-05-28,287,287,287,287,295
2002-05-30,300,300,300,300,100
2002-06-04,300,300,300,300,1000
2002-06-05,322,322,322,322,31155
2002-06-10,322,322,322,322,250
2002-06-11,322,322,322,322,960
2002-06-12,322,322,322,322,60
2002-06-21,322,322,322,322,2500
2002-06-24,324,324,324,324,100
2002-06-25,324,324,324,324,7500
2002-07-01,324,324,324,324,2050
2002-07-03,360,360,360,360,430
2002-07-04,360,360,360,360,15
2002-07-08,360,360,360,360,100
2002-07-15,360,360,360,360,20
2002-07-16,360,360,360,360,885
2002-07-17,380,380,380,380,285
2002-07-18,380,380,380,380,70
2002-07-19,380,380,380,380,100
2002-07-22,408,408,408,408,50
2002-07-25,470,470,470,470,1900
2002-07-26,469,469,469,469,1170
2002-07-30,469,469,469,469,5
2002-08-01,468,468,468,468,1000
2002-08-13,467,467,467,467,325
2002-08-14,467,467,467,467,500
2002-10-04,467,467,467,467,250
2002-10-24,467,467,467,467,50
2002-12-12,467,467,467,467,20
2002-12-24,467,467,467,467,500
2003-01-16,467,467,467,467,1000
2003-02-05,432,432,432,432,40
2003-03-26,399,399,399,399,95
2003-04-09,397,397,397,397,50
2003-05-05,395,395,395,395,150
2003-05-16,395,395,395,395,15
2003-05-21,395,395,395,395,125
2003-05-22,394,394,394,394,200
2003-05-23,366,366,366,366,1000
2003-05-28,365,365,365,365,1080
2003-06-05,365,365,365,365,350
2003-07-02,365,365,365,365,2455
2003-07-03,365,365,365,365,150
2003-07-04,365,365,365,365,485
2003-07-07,365,365,365,365,100
2003-07-08,365,365,365,365,250
2003-07-09,367,367,367,367,150
2003-07-11,375,375,375,375,250
2003-07-15,375,375,375,375,35
2003-07-18,375,375,375,375,50
2003-07-21,375,375,375,375,50
2003-07-22,375,375,375,375,935
2003-07-30,376,376,376,376,450
2003-08-01,376,376,376,376,805
2003-08-05,377,377,377,377,500
2003-08-06,377,377,377,377,55
2003-08-11,377,377,377,377,205
2003-08-20,377,377,377,377,500
2003-08-21,377,377,377,377,400
2003-08-29,377,377,377,377,55
2003-09-05,377,377,377,377,315
2003-09-08,377,377,377,377,508510
2003-09-12,377,377,377,377,280
2003-09-22,382,382,382,382,500
2003-09-24,382,382,382,382,850
2003-09-25,382,382,382,382,4750
2003-09-30,382,382,382,382,5
2003-10-13,402,402,402,402,50
2003-10-20,410,410,410,410,5055
2003-10-22,420,420,420,420,350
2003-10-23,420,420,420,420,5
2003-10-27,425,425,425,425,500
2003-10-29,425,425,425,425,125
2003-10-30,425,425,425,425,150
2003-11-12,425,425,425,425,100
2003-11-13,425,425,425,425,400
2003-11-14,440,440,440,440,1505
2003-11-17,440,440,440,440,95
2003-11-24,440,440,440,440,250
2003-11-26,440,440,440,440,175
2003-11-28,440,440,440,440,625
2003-12-02,440,440,440,440,75
2003-12-05,460,460,460,460,125
2003-12-08,460,460,460,460,175
2003-12-09,460,460,460,460,630
2003-12-26,494,494,494,494,100
2003-12-29,461,461,461,461,1500
2003-12-31,495,495,495,495,85
2004-01-02,494,494,494,494,200
2004-01-05,494,494,494,494,50
2004-01-06,490,490,490,490,370
2004-01-08,460,460,460,460,60865
2004-01-09,461,461,461,461,80
2004-01-19,462,462,462,462,235
2004-01-20,481,481,481,481,270
2004-01-23,516,516,516,516,500
2004-01-26,554,554,554,554,500
2004-01-27,595,595,595,595,5000
2004-01-28,600,600,600,600,1769225
2004-01-30,640,640,640,640,250
2004-02-02,640,640,640,640,225
2004-02-03,640,640,640,640,30
2004-02-04,640,640,640,640,650
2004-02-05,688,688,688,688,125
2004-02-06,688,688,688,688,440
2004-02-09,688,688,688,688,15
2004-02-10,688,688,688,688,475
2004-02-12,687,687,687,687,50
2004-02-13,700,700,700,700,975
2004-02-18,700,700,700,700,1325
2004-02-19,695,695,695,695,445
2004-02-24,695,695,695,695,265
2004-02-25,695,695,695,695,175
2004-02-26,695,695,695,695,90
2004-02-27,695,695,695,695,620
2004-03-03,695,695,695,695,1970
