Date,Open,High,Low,Close,Volume
1998-09-30,2200,2300.0,2000.0,2000,1895
1998-10-31,1900,1900.0,1294.0,1294,2770
1998-11-30,1197,1588.0,1197.0,1588,50690
1998-12-31,1400,1400.0,1400.0,1400,325
1999-01-31,1400,1500.0,1400.0,1500,2525
1999-02-28,1400,1400.0,1400.0,1400,810
1999-03-31,1360,1400.0,1359.0,1359,3405
1999-04-30,1359,1360.0,1359.0,1360,9285
1999-05-31,1360,1360.0,1360.0,1360,5155
1999-06-30,1360,1360.0,1219.0,1219,1290
1999-07-31,1200,1200.0,1000.0,1000,7429815
1999-08-31,998,1060.0,930.0,1060,674990
1999-09-30,1060,1060.0,1060.0,1060,1985
1999-10-31,1060,1060.0,1000.0,1000,240
1999-11-30,1000,1000.0,1000.0,1000,10450
1999-12-31,1000,1000.0,1000.0,1000,8100935
2000-01-31,1000,1020.0,1000.0,1020,2600
2000-03-31,1000,1000.0,920.0,920,2460
2000-04-30,920,920.0,919.0,919,285
2000-05-31,917,917.0,798.0,798,875
2000-06-30,798,798.0,740.0,740,700
2000-07-31,700,700.0,628.0,628,8170
2000-08-31,600,600.0,600.0,600,7935
2000-09-30,602,645.0,602.0,645,4145
2000-10-31,610,611.0,610.0,611,8765
2000-11-30,611,611.0,610.0,610,4195
2000-12-31,610,610.0,610.0,610,430
2001-01-31,610,610.0,600.0,600,2175
2001-02-28,600,600.0,600.0,600,140
2001-04-30,584,584.0,584.0,584,4245
2001-05-31,584,584.0,534.0,534,2435
2001-06-30,500,500.0,500.0,500,1270
2001-07-31,500,500.0,500.0,500,9975
2001-08-31,500,500.0,500.0,500,3760
2001-09-30,500,500.0,500.0,500,2985
2001-10-31,500,500.0,500.0,500,960
2002-01-31,463,463.0,460.0,460,12810
2002-02-28,427,427.0,421.0,421,1420
2002-03-31,390,390.0,336.0,336,17105
2002-04-30,336,336.0,268.0,268,2085
2002-05-31,267,300.0,250.0,300,278905
2002-06-30,300,324.0,300.0,324,43525
2002-07-31,324,470.0,324.0,469,7080
2002-08-31,468,468.0,467.0,467,1825
2002-10-31,467,467.0,467.0,467,300
2002-12-31,467,467.0,467.0,467,520
2003-01-31,467,467.0,467.0,467,1000
2003-02-28,432,432.0,432.0,432,40
2003-03-31,399,399.0,399.0,399,95
2003-04-30,397,397.0,397.0,397,50
2003-05-31,395,395.0,365.0,365,2570
2003-06-30,365,365.0,365.0,365,350
2003-07-31,365,376.0,365.0,376,5360
2003-08-31,376,377.0,376.0,377,2520
2003-09-30,377,382.0,377.0,382,515210
2003-10-31,402,425.0,402.0,425,6235
2003-11-30,425,440.0,425.0,440,3150
2003-12-31,440,495.0,440.0,495,2690
2004-01-31,494,640.0,460.0,640,1837545
2004-02-29,640,700.0,640.0,695,5905
2004-03-31,695,695.0,680.0,682,19035
2004-04-30,720,751.0,710.0,751,7185
2004-05-31,760,1000.0,760.0,1000,6240
2004-06-30,1000,1000.0,980.0,980,126750
2004-07-31,907,907.0,760.0,760,83485
2004-08-31,760,760.0,760.0,760,9780
2004-09-30,760,796.0,740.0,796,19470
2004-10-31,798,1200.0,798.0,1160,1839790
2004-11-30,1100,1160.0,999.0,999,730
2004-12-31,900,960.0,800.0,960,215760
2005-01-31,860,860.0,790.0,790,4165
2005-02-28,790,790.0,760.0,762,19435
2005-03-31,770,862.0,770.0,862,4105
2005-04-30,931,1100.0,931.0,1100,8430
2005-05-31,1100,1200.0,1100.0,1140,10975
2005-06-30,1080,1080.0,1060.0,1060,3525
2005-07-31,1060,1060.0,905.0,905,6245
2005-08-31,900,1060.0,839.0,1060,531455
2005-09-30,1060,1063.0,1040.0,1040,11290
2005-10-31,980,1000.0,900.0,1000,254775
2005-11-30,1060,1060.0,900.0,900,265920
2005-12-31,912,1080.0,900.0,1080,72970
2006-01-31,1080,1080.0,1020.0,1047,11715
2006-02-28,1048,1100.0,1048.0,1100,2795
2006-03-31,1100,1162.0,1100.0,1162,6395
2006-04-30,1558,2000.0,1558.0,2000,7810
2006-05-31,2000,2000.0,1720.0,1798,8865
2006-06-30,1798,1798.0,1580.0,1797,3685
2006-07-31,1797,2220.0,1797.0,2000,41620
2006-08-31,2000,2000.0,1998.0,2000,45090
2006-09-30,2000,2000.0,1980.0,2000,311730
2006-10-31,2000,2000.0,1850.0,1988,22450
2006-11-30,2137,2649.0,2137.0,2638,8965
2006-12-31,2500,2600.0,2490.0,2560,15300
2007-01-31,2600,2721.0,2600.0,2700,44720
2007-02-28,2600,3240.0,2600.0,3240,9750
2007-03-31,3240,3520.0,3240.0,3520,20010
2007-04-30,3560,4002.0,3500.0,3640,84370
2007-05-31,4000,4500.0,4000.0,4500,70920
2007-06-30,4500,4510.0,3600.0,4340,205325
2007-07-31,4202,5200.0,4202.0,5200,32000
2007-08-31,5440,6000.0,5440.0,6000,30530
2007-09-30,6000,6000.0,5400.0,5400,21610
2007-10-31,5400,5700.0,5000.0,5600,20685
2007-11-30,5800,6000.0,5401.0,5600,10745
2007-12-31,5400,5800.0,5400.0,5600,10980
2008-01-31,5600,6000.0,5599.0,5780,600930
2008-02-29,5800,6400.0,5800.0,6400,1034110
2008-03-31,6500,7000.0,6100.0,7000,19455
2008-04-30,6480,8000.0,6000.0,8000,603455
2008-05-31,8000,8000.0,7900.0,8000,125785
2008-06-30,8000,8000.0,7100.0,8000,36540
2008-07-31,8001,8001.0,7598.0,7598,36455
2008-08-31,7400,7600.0,7380.0,7380,20545
2008-09-30,7381,7400.0,7200.0,7200,108980
2008-10-31,7190,7190.0,3799.0,3799,95710
2008-11-30,3515,5000.0,3410.0,4278,97525
2008-12-31,4598,4999.0,4300.0,4622,42625
2009-01-31,4276,4276.0,3802.0,4000,26125
2009-02-28,3999,4120.0,3800.0,4120,11695
2009-03-31,4040,4040.0,2800.0,2800,49585
2009-04-30,2800,2800.0,2012.0,2098,113505
2009-05-31,2100,2100.0,1880.0,1960,84330
2009-06-30,2040,3702.0,1998.0,3702,60510
2009-07-31,3700,3700.0,2200.0,2934,27785
2009-08-31,2800,3000.0,2700.0,2900,61360
2009-09-30,2800,2936.0,2260.0,2936,17530
2009-10-31,2937,3000.0,2610.0,2702,50110
2009-11-30,2702,2900.0,2400.0,2900,90475
2009-12-31,2690,2690.0,2000.0,2140,538400
2010-01-31,2000,2855.0,2000.0,2300,250085
2010-02-28,2200,2412.0,2128.0,2412,8965
2010-03-31,2413,2800.0,2413.0,2700,48250
2010-04-30,2800,3452.0,2800.0,3452,297630
2010-05-31,3500,3502.0,3203.0,3208,126945
2010-06-30,3300,3410.0,3000.0,3406,163800
2010-07-31,3414,5000.0,3414.0,5000,295760
2010-08-31,5000,6010.0,4200.0,6010,138425
2010-09-30,6400,6400.0,5300.0,5400,241955
2010-10-31,5400,6192.0,5399.0,6192,53835
2010-11-30,6192,6400.0,5600.0,6000,101710
2010-12-31,5780,6000.0,5400.0,5400,29770
2011-01-31,5400,6399.0,5400.0,6200,22975
2011-02-28,6200,6200.0,5000.0,5000,22540
2011-04-30,5000,5000.0,5000.0,5000,175
2011-05-31,5000,7629.0,4107.0,7600,212965
2011-06-30,8010,8200.0,7600.0,7600,121450
2011-07-31,7598,7900.0,7000.0,7900,159300
2011-08-31,7900,8300.0,7600.0,8300,57985
2011-09-30,8300,8800.0,6898.0,7000,109710
2011-10-31,6999,9000.0,6900.0,9000,128025
2011-11-30,8800,8800.0,7900.0,7999,61705
2011-12-31,8000,8430.0,7600.0,8000,66520
2012-01-31,8000,8500.0,7800.0,8402,76790
2012-02-29,8400,9800.0,8400.0,9800,104745
2012-03-31,9800,10600.0,9420.0,10000,55550
2012-04-30,10000,10021.0,10000.0,10000,105375
2012-05-31,10000,10000.0,9200.0,9200,64035
2012-06-30,9202,10200.0,8000.0,8000,159245
2012-07-31,8000,8400.0,6290.0,7520,72875
2012-08-31,8084,8690.0,6660.0,7480,43725
2012-09-30,7400,7800.0,7301.0,7700,92835
2012-10-31,7700,7710.0,7000.0,7200,39640
2012-11-30,7200,7400.0,6980.0,7300,31375
2012-12-31,7280,8000.0,6568.0,7980,29760
2013-01-31,8000,8000.0,7600.0,7999,168160
2013-02-28,7600,8001.0,7600.0,7600,58220
2013-03-31,7800,8400.0,7800.0,8278,74355
2013-04-30,8115,8115.0,7600.0,7600,106025
2013-05-31,7030,7030.0,5149.0,6400,165530
2013-06-30,6600,6600.0,6080.0,6400,43175
2013-07-31,6400,6400.0,5600.0,5600,26520
2013-08-31,5400,5600.0,4890.0,4890,46820
2013-09-30,4890,5700.0,4890.0,5700,15065
2013-10-31,5701,6000.0,5600.0,5600,27300
2013-11-30,5600,5690.0,4900.0,4999,22310
2013-12-31,5000,6780.0,4920.0,6780,37885
2014-01-31,6780,6799.0,5300.0,5690,15300
2014-02-28,5700,5800.0,5199.0,5199,21670
