Date,Open,High,Low,Close,Volume
1998-09-30,2200,2300,2000,2000,1895
1998-12-31,1900,1900,1197,1400,53785
1999-03-31,1400,1500,1359,1359,6740
1999-06-30,1359,1360,1219,1219,15730
1999-09-30,1200,1200,930,1060,8106790
1999-12-31,1060,1060,1000,1000,8111625
2000-03-31,1000,1020,920,920,5060
2000-06-30,920,920,740,740,1860
2000-09-30,700,700,600,645,20250
2000-12-31,610,611,610,610,13390
2001-03-31,610,610,600,600,2315
2001-06-30,584,584,500,500,7950
2001-09-30,500,500,500,500,16720
2001-12-31,500,500,500,500,960
2002-03-31,463,463,336,336,31335
2002-06-30,336,336,250,324,324515
2002-09-30,324,470,324,467,8905
2002-12-31,467,467,467,467,820
2003-03-31,467,467,399,399,1135
2003-06-30,397,397,365,365,2970
2003-09-30,365,382,365,382,523090
2003-12-31,402,495,402,495,12075
2004-03-31,494,700,460,682,1862485
2004-06-30,720,1000,710,980,140175
2004-09-30,907,907,740,796,112735
2004-12-31,798,1200,798,960,2056280
2005-03-31,860,862,760,862,27705
2005-06-30,931,1200,931,1060,22930
2005-09-30,1060,1063,839,1040,548990
2005-12-31,980,1080,900,1080,593665
2006-03-31,1080,1162,1020,1162,20905
2006-06-30,1558,2000,1558,1797,20360
2006-09-30,1797,2220,1797,2000,398440
2006-12-31,2000,2649,1850,2560,46715
2007-03-31,2600,3520,2600,3520,74480
2007-06-30,3560,4510,3500,4340,360615
2007-09-30,4202,6000,4202,5400,84140
2007-12-31,5400,6000,5000,5600,42410
2008-03-31,5600,7000,5599,7000,1654495
2008-06-30,6480,8000,6000,8000,765780
2008-09-30,8001,8001,7200,7200,165980
2008-12-31,7190,7190,3410,4622,235860
2009-03-31,4276,4276,2800,2800,87405
2009-06-30,2800,3702,1880,3702,258345
2009-09-30,3700,3700,2200,2936,106675
2009-12-31,2937,3000,2000,2140,678985
2010-03-31,2000,2855,2000,2700,307300
2010-06-30,2800,3502,2800,3406,588375
2010-09-30,3414,6400,3414,5400,676140
2010-12-31,5400,6400,5399,5400,185315
2011-03-31,5400,6399,5000,5000,45515
2011-06-30,5000,8200,4107,7600,334590
2011-09-30,7598,8800,6898,7000,326995
2011-12-31,6999,9000,6900,8000,256250
2012-03-31,8000,10600,7800,10000,237085
2012-06-30,10000,10200,8000,8000,328655
2012-09-30,8000,8690,6290,7700,209435
2012-12-31,7700,8000,6568,7980,100775
2013-03-31,8000,8400,7600,8278,300735
2013-06-30,8115,8115,5149,6400,314730
2013-09-30,6400,6400,4890,5700,88405
2013-12-31,5701,6780,4900,6780,87495
2014-03-31,6780,6799,4200,4200,63485
2014-06-30,4200,4400,3601,3639,41555
2014-09-30,3640,3800,3200,3415,174580
2014-12-31,3402,3800,2590,3515,55265
2015-03-31,3515,3536,2800,2800,29165
2015-06-30,2800,2800,2500,2600,464760
2015-09-30,2600,2600,2200,2230,363190
2015-12-31,2230,2400,2072,2300,749695
2016-03-31,2300,2474,2128,2401,376465
2016-06-30,2470,3399,2440,3020,158845
2016-09-30,3020,3040,2120,2300,119150
2016-12-31,2200,2900,1900,2800,138885
2017-03-31,2700,2940,2000,2200,114655
2017-06-30,2200,3871,2100,3060,149370
2017-09-30,3200,3500,2700,3200,364841
2017-12-31,3150,3350,2490,3095,157902
2018-03-31,3000,4685,2800,4200,271843
2018-06-30,4200,4200,2510,3200,389725
2018-09-30,3235,3440,2750,2870,43275
2018-12-31,2880,3690,2640,3690,114855
2019-03-31,3745,3900,3010,3395,134343
2019-06-30,3350,3600,2150,2150,64497
2019-09-30,2010,2100,1160,1160,6465
2019-12-31,1145,1370,900,1310,84629
2020-03-31,1370,1700,1250,1315,89375
2020-06-30,1400,1400,1100,1100,14229
2020-09-30,1100,1310,950,1300,11342
2020-12-31,1300,1500,1250,1400,21139
2021-03-31,1400,2520,1300,2100,37366
2021-06-30,2100,2730,1900,2630,32735
2021-09-30,2640,4835,2610,4835,183938
2021-12-31,5195,5995,4820,5195,150221
2022-03-31,4875,5500,4720,5285,137401
2022-06-30,5285,6375,5105,6200,100420
2022-09-30,6200,6345,5100,5800,143690
2022-12-31,5900,5900,4575,4995,95894
2023-03-31,4995,5540,4440,5090,123604
2023-06-30,4995,5095,2800,3200,114662
2023-09-30,3200,3485,2595,2700,150482
2023-12-31,2700,2800,1800,2350,94380
2024-03-31,2320,2580,2040,2580,84248
2024-06-30,2580,2800,2005,2800,178006
2024-09-30,2800,3500,2750,3475,108199
2024-12-31,3500,4570,3300,4140,162081
2025-03-31,4140,4900,3700,4695,178996
2025-06-30,4695,7300,3915,7195,195186
2025-09-30,7000,8180,6110,7410,439110
2025-12-31,7890,8585,6600,7900,332394
2026-03-31,7895,8650,6750,7095,280785
2026-06-30,7000,7750,6290,7675,362810
2026-09-30,7670,9660,7000,8940,145444
