Date,Open,High,Low,Close,Volume
1998-09-21,2200,2300.0,2200.0,2300,1505
1998-09-28,2000,2150.0,2000.0,2150,285
1998-10-05,2000,2000.0,1900.0,1900,385
1998-10-12,1900,1900.0,1900.0,1900,50
1998-10-19,1900,1900.0,1900.0,1900,125
1998-10-26,1760,1760.0,1510.0,1510,40
1998-11-02,1398,1398.0,1197.0,1197,50410
1998-11-16,1400,1400.0,1400.0,1400,1245
1998-11-23,1478,1478.0,1400.0,1400,635
1998-11-30,1478,1588.0,1478.0,1588,675
1998-12-07,1400,1400.0,1400.0,1400,50
1998-12-21,1400,1400.0,1400.0,1400,225
1998-12-28,1400,1400.0,1400.0,1400,50
1999-01-11,1400,1400.0,1400.0,1400,50
1999-02-01,1500,1500.0,1500.0,1500,2475
1999-02-08,1400,1400.0,1400.0,1400,110
1999-02-15,1400,1400.0,1400.0,1400,25
1999-02-22,1400,1400.0,1400.0,1400,300
1999-03-01,1400,1400.0,1400.0,1400,375
1999-03-08,1360,1400.0,1360.0,1400,2010
1999-03-15,1360,1400.0,1360.0,1400,800
1999-03-22,1400,1400.0,1360.0,1360,395
1999-03-29,1360,1360.0,1360.0,1360,100
1999-04-05,1359,1359.0,1359.0,1359,3600
1999-04-12,1360,1360.0,1360.0,1360,3550
1999-04-19,1360,1360.0,1360.0,1360,1635
1999-04-26,1360,1360.0,1360.0,1360,200
1999-05-03,1360,1360.0,1360.0,1360,5400
1999-05-10,1360,1360.0,1360.0,1360,100
1999-05-17,1360,1360.0,1360.0,1360,55
1999-06-14,1360,1360.0,1360.0,1360,50
1999-06-21,1360,1360.0,1360.0,1360,15
1999-06-28,1260,1260.0,1219.0,1219,1075
1999-07-05,1219,1219.0,1219.0,1219,150
1999-07-12,1200,1200.0,1200.0,1200,3961025
1999-07-26,1193,1193.0,1100.0,1100,3468495
1999-08-02,1000,1000.0,998.0,998,845
1999-08-09,998,998.0,930.0,930,1550
1999-08-16,932,932.0,932.0,932,3475
1999-08-23,1060,1060.0,1060.0,1060,668725
1999-08-30,1059,1060.0,1059.0,1060,690
1999-09-06,1060,1060.0,1060.0,1060,830
1999-09-13,1060,1060.0,1060.0,1060,250
1999-09-20,1060,1060.0,1060.0,1060,550
1999-09-27,1060,1060.0,1060.0,1060,355
1999-10-11,1060,1060.0,1060.0,1060,40
1999-10-25,1000,1000.0,1000.0,1000,200
1999-11-08,1000,1000.0,1000.0,1000,50
1999-11-15,1000,1000.0,1000.0,1000,3960
1999-11-22,1000,1000.0,1000.0,1000,4585
1999-11-29,1000,1000.0,1000.0,1000,1855
1999-12-06,1000,1000.0,1000.0,1000,495
1999-12-13,1000,1000.0,1000.0,1000,50
1999-12-20,1000,1000.0,1000.0,1000,1125
2000-01-03,1000,1000.0,1000.0,1000,8099265
2000-01-17,1000,1000.0,1000.0,1000,100
2000-01-24,1020,1020.0,1020.0,1020,2500
2000-03-06,1000,1000.0,1000.0,1000,350
2000-03-13,1000,1000.0,1000.0,1000,50
2000-03-27,998,998.0,929.0,929,1835
2000-04-03,920,920.0,920.0,920,225
2000-04-17,920,920.0,920.0,920,170
2000-05-01,919,919.0,919.0,919,115
2000-05-08,917,917.0,917.0,917,200
2000-05-15,916,916.0,916.0,916,100
2000-05-22,799,799.0,799.0,799,500
2000-05-29,798,798.0,798.0,798,75
2000-06-05,798,798.0,798.0,798,100
2000-06-19,798,798.0,798.0,798,525
2000-07-03,740,740.0,740.0,740,75
2000-07-10,700,700.0,700.0,700,250
2000-07-17,700,700.0,700.0,700,250
2000-07-24,680,680.0,678.0,678,1250
2000-07-31,628,628.0,628.0,628,6420
2000-08-07,600,600.0,600.0,600,3010
2000-08-14,600,600.0,600.0,600,1740
2000-08-21,600,600.0,600.0,600,75
2000-08-28,600,600.0,600.0,600,2975
2000-09-04,600,603.0,600.0,603,650
2000-09-11,604,608.0,604.0,608,1250
2000-09-18,608,609.0,608.0,609,325
2000-09-25,610,610.0,610.0,610,1895
2000-10-02,645,645.0,645.0,645,160
2000-10-09,610,610.0,610.0,610,4305
2000-10-16,610,610.0,610.0,610,2215
2000-10-23,610,610.0,610.0,610,1995
2000-10-30,611,611.0,611.0,611,250
2000-11-06,611,611.0,610.0,610,250
2000-11-13,610,610.0,610.0,610,375
2000-11-20,610,610.0,610.0,610,400
2000-11-27,610,610.0,610.0,610,2795
2000-12-04,610,610.0,610.0,610,375
2000-12-11,610,610.0,610.0,610,130
2000-12-18,610,610.0,610.0,610,50
2001-01-01,610,610.0,610.0,610,250
2001-01-08,610,610.0,610.0,610,500
2001-01-22,609,609.0,609.0,609,355
2001-01-29,600,600.0,600.0,600,1320
2001-02-05,600,600.0,600.0,600,30
2001-02-12,600,600.0,600.0,600,60
2001-02-19,600,600.0,600.0,600,50
2001-04-09,584,584.0,584.0,584,1600
2001-04-30,584,584.0,584.0,584,2645
2001-05-21,584,584.0,534.0,534,2385
2001-05-28,534,534.0,534.0,534,50
2001-06-11,500,500.0,500.0,500,745
2001-06-18,500,500.0,500.0,500,500
2001-06-25,500,500.0,500.0,500,25
2001-07-16,500,500.0,500.0,500,6075
2001-07-23,500,500.0,500.0,500,1825
2001-07-30,500,500.0,500.0,500,2075
2001-08-06,500,500.0,500.0,500,1315
2001-08-13,500,500.0,500.0,500,1225
2001-08-20,500,500.0,500.0,500,700
2001-08-27,500,500.0,500.0,500,415
2001-09-03,500,500.0,500.0,500,105
2001-09-10,500,500.0,500.0,500,1700
2001-09-17,500,500.0,500.0,500,715
2001-09-24,500,500.0,500.0,500,495
2001-10-01,500,500.0,500.0,500,225
2001-10-08,500,500.0,500.0,500,720
2001-10-22,500,500.0,500.0,500,40
2001-10-29,500,500.0,500.0,500,50
2002-01-28,463,463.0,460.0,460,12810
2002-02-11,427,427.0,427.0,427,1270
2002-02-18,424,424.0,424.0,424,100
2002-03-04,421,421.0,390.0,390,15050
2002-03-11,389,389.0,380.0,380,305
2002-03-18,352,352.0,352.0,352,1225
2002-04-01,336,336.0,336.0,336,575
2002-04-08,336,336.0,336.0,336,10
2002-04-15,294,294.0,294.0,294,150
2002-04-22,279,279.0,276.0,276,700
2002-04-29,273,273.0,273.0,273,100
2002-05-06,268,268.0,264.0,264,87050
2002-05-13,260,260.0,250.0,250,85530
