Date,Open,High,Low,Close,Volume
1998-12-31,2200,2300,1197,1400,55680
1999-12-31,1400,1500,930,1000,16240885
2000-12-31,1000,1020,600,610,40560
2001-12-31,610,610,500,500,27945
2002-12-31,463,470,250,467,365575
2003-12-31,467,495,365,495,539270
2004-12-31,494,1200,460,960,4171675
2005-12-31,860,1200,760,1080,1193290
2006-12-31,1080,2649,1020,2560,486420
2007-12-31,2600,6000,2600,5600,561645
2008-12-31,5600,8001,3410,4622,2822115
2009-12-31,4276,4276,1880,2140,1131410
2010-12-31,2000,6400,2000,5400,1757130
2011-12-31,5400,9000,4107,8000,963350
2012-12-31,8000,10600,6290,7980,875950
2013-12-31,8000,8400,4890,6780,791365
2014-12-31,6780,6799,2590,3515,334885
2015-12-31,3515,3536,2072,2300,1606810
2016-12-31,2300,3399,1900,2800,793345
2017-12-31,2700,3871,2000,3095,786768
2018-12-31,3000,4685,2510,3690,819698
2019-12-31,3745,3900,900,1310,289934
2020-12-31,1370,1700,950,1400,136085
2021-12-31,1400,5995,1300,5195,404260
2022-12-31,4875,6375,4575,4995,477405
2023-12-31,4995,5540,1800,2350,483128
2024-12-31,2320,4570,2005,4140,532534
2025-12-31,4140,8585,3700,7900,1145686
2026-12-31,7895,9030,6290,8990,761017
