Date,Open,High,Low,Close,Volume
1998-10-07,95,95,95,95,11000
1998-10-09,95,95,95,95,10500
1998-10-14,95,95,95,95,800
1998-10-16,95,95,95,95,200
1998-10-21,88,88,88,88,2000
1998-10-23,82,82,82,82,4000
1998-10-28,80,80,80,80,800
1998-11-27,80,80,80,80,300
1998-12-09,80,80,80,80,700
1998-12-16,85,85,85,85,1700
1998-12-18,85,85,85,85,5000
1998-12-23,86,86,86,86,66700
1999-01-13,86,86,86,86,300
1999-01-25,86,86,86,86,300
1999-01-27,86,86,86,86,400
1999-01-29,86,86,86,86,600
1999-02-01,86,86,86,86,3000
1999-02-05,86,86,86,86,2000
1999-02-12,86,86,86,86,6200
1999-02-17,86,86,86,86,1800
1999-02-19,86,86,86,86,1600
1999-02-22,86,86,86,86,1700
1999-03-05,86,86,86,86,500
1999-03-10,86,86,86,86,1000
1999-03-12,86,86,86,86,1000
1999-03-24,80,80,80,80,67200
1999-03-31,81,81,81,81,6500
1999-04-02,81,81,81,81,500
1999-04-21,81,81,81,81,1000
1999-04-28,81,81,81,81,900
1999-05-26,81,81,81,81,1200
1999-06-02,81,81,81,81,1300
1999-06-11,81,81,81,81,400
1999-07-02,81,81,81,81,1300
1999-07-14,81,81,81,81,10000
1999-07-16,81,81,81,81,2500
1999-07-23,81,81,81,81,1000
1999-08-18,81,81,81,81,2800
1999-08-25,81,81,81,81,5500
2000-07-26,75,75,75,75,2000
2001-01-19,75,75,75,75,4300
2001-01-24,74,74,74,74,4100
2001-03-16,73,73,73,73,800
2001-03-26,70,70,70,70,800
2001-04-09,70,70,70,70,3000
2001-05-11,70,70,70,70,100
2002-03-07,70,70,70,70,100
2003-12-17,70,70,70,70,400
2004-02-02,69,69,69,69,6500
2007-02-08,69,69,69,69,100
2007-06-13,69,69,69,69,5100
2007-06-22,69,69,69,69,500
2007-07-09,69,69,69,69,2300
2007-07-23,69,69,69,69,600
2008-05-02,54,54,54,54,1000
2008-05-05,50,50,50,50,1000
2008-05-09,47,47,47,47,2000
2008-06-02,43,43,43,43,1000
2008-06-04,43,43,43,43,500
2008-07-11,43,43,43,43,900
2008-08-06,43,43,43,43,3700
2008-08-25,43,43,43,43,800
2008-08-28,43,43,43,43,50000
2008-08-29,41,41,41,41,100400
2008-10-08,49,49,49,49,1500
2008-10-17,52,52,52,52,7700
2008-10-22,55,55,55,55,1000
2008-10-31,55,55,55,55,14000
