Date,Open,High,Low,Close,Volume
1998-10-31,95,95.0,80.0,80,29300
1998-11-30,80,80.0,80.0,80,300
1998-12-31,80,86.0,80.0,86,74100
1999-01-31,86,86.0,86.0,86,1600
1999-02-28,86,86.0,86.0,86,16300
1999-03-31,86,86.0,80.0,81,76200
1999-04-30,81,81.0,81.0,81,2400
1999-05-31,81,81.0,81.0,81,1200
1999-06-30,81,81.0,81.0,81,1700
1999-07-31,81,81.0,81.0,81,14800
1999-08-31,81,81.0,81.0,81,8300
2000-07-31,75,75.0,75.0,75,2000
2001-01-31,75,75.0,74.0,74,8400
2001-03-31,73,73.0,70.0,70,1600
2001-04-30,70,70.0,70.0,70,3000
2001-05-31,70,70.0,70.0,70,100
2002-03-31,70,70.0,70.0,70,100
2003-12-31,70,70.0,70.0,70,400
2004-02-29,69,69.0,69.0,69,6500
2007-02-28,69,69.0,69.0,69,100
2007-06-30,69,69.0,69.0,69,5600
2007-07-31,69,69.0,69.0,69,2900
2008-05-31,54,54.0,47.0,47,4000
2008-06-30,43,43.0,43.0,43,1500
2008-07-31,43,43.0,43.0,43,900
2008-08-31,43,43.0,41.0,41,154900
2008-10-31,49,55.0,49.0,55,24200
2008-11-30,59,60.0,59.0,60,19100
2008-12-31,55,55.0,50.0,50,88500
2009-01-31,50,50.0,50.0,50,200
2009-07-31,50,50.0,50.0,50,8900
2009-08-31,50,50.0,50.0,50,3500
2009-10-31,50,50.0,50.0,50,1000
2009-12-31,50,50.0,50.0,50,1700
2010-02-28,46,46.0,46.0,46,1200
2010-04-30,46,46.0,46.0,46,100
2010-05-31,46,46.0,46.0,46,100
2010-07-31,46,46.0,46.0,46,2700
2010-08-31,46,46.0,46.0,46,4400
2010-09-30,46,46.0,46.0,46,1300
2011-05-31,40,40.0,40.0,40,4000
2011-06-30,37,37.0,37.0,37,1300
2011-07-31,34,34.0,29.0,29,195200
2011-08-31,29,29.0,29.0,29,29900
2011-09-30,35,35.0,35.0,35,10000
2011-10-31,37,50.0,37.0,50,13900
2011-11-30,50,50.0,50.0,50,56600
2011-12-31,48,48.0,48.0,48,5500
2012-02-29,48,48.0,48.0,48,3400
2012-03-31,47,47.0,44.0,44,2400
2012-06-30,44,44.0,44.0,44,600
2012-07-31,44,45.0,44.0,45,13800
2012-08-31,45,52.0,45.0,52,11000
2012-09-30,52,59.0,52.0,59,37100
2012-10-31,59,85.0,59.0,85,28300
2012-11-30,85,85.0,84.0,84,23600
2012-12-31,84,84.0,84.0,84,100
2013-01-31,84,84.0,78.0,78,6800
2013-02-28,78,78.0,78.0,78,3000
2013-03-31,78,78.0,78.0,78,200
2013-04-30,78,84.0,78.0,78,25600
2013-05-31,78,83.0,78.0,83,1100
2013-06-30,85,140.0,85.0,140,25500
2013-07-31,150,150.0,140.0,140,11800
2013-08-31,140,140.0,140.0,140,1400
2013-09-30,130,130.0,120.0,120,5600
2013-10-31,120,120.0,120.0,120,2600
2013-11-30,120,139.0,120.0,139,26900
2013-12-31,149,160.0,149.0,160,3300
2014-01-31,170,225.0,170.0,225,12800
2014-02-28,225,346.0,225.0,346,26800
2014-03-31,346,346.0,268.0,268,10000
2014-04-30,248,267.0,230.0,230,4400
2014-05-31,230,250.0,230.0,250,1400
2014-06-30,250,250.0,214.0,214,1900
2014-07-31,220,220.0,198.0,198,4100
2014-08-31,200,210.0,200.0,200,13800
2014-09-30,200,215.0,199.0,200,11800
2014-10-31,200,204.0,198.0,198,20900
2014-11-30,200,340.0,200.0,339,62100
2014-12-31,338,340.0,315.0,340,214900
2015-01-31,340,340.0,320.0,320,5200
2015-02-28,310,310.0,310.0,310,1000
2015-03-31,310,381.0,300.0,380,128200
2015-04-30,380,381.0,380.0,380,22600
2015-05-31,380,409.0,380.0,409,68400
2015-06-30,380,485.0,380.0,420,56300
2015-07-31,421,452.0,420.0,452,13800
2015-08-31,452,455.0,452.0,455,8300
2015-09-30,460,484.0,450.0,484,29900
2015-10-31,490,527.0,490.0,517,16700
2015-11-30,517,527.0,517.0,526,4900
2015-12-31,527,527.0,527.0,527,300
2016-01-31,527,527.0,525.0,525,3000
2016-02-29,510,525.0,510.0,520,7700
2016-03-31,510,510.0,460.0,460,10500
2016-04-30,450,520.0,450.0,520,15300
2016-05-31,520,601.0,520.0,580,5300
2016-06-30,540,541.0,450.0,450,27900
2016-07-31,480,480.0,411.0,411,2200
2016-08-31,442,450.0,400.0,400,8400
2016-09-30,400,400.0,390.0,390,14300
2016-10-31,361,361.0,361.0,361,600
2016-12-31,350,350.0,350.0,350,100
2017-01-31,330,330.0,330.0,330,1800
2017-02-28,305,305.0,282.0,282,500
2017-03-31,265,270.0,265.0,269,1700
2017-04-30,249,249.0,244.0,244,600
2017-05-31,235,235.0,235.0,235,200
2017-06-30,235,235.0,200.0,200,10100
2017-07-31,200,200.0,185.0,186,2900
2017-08-31,185,185.0,167.0,167,11400
2017-09-30,167,179.0,167.0,179,300
2017-10-31,170,180.0,170.0,180,6068
2017-11-30,180,190.0,175.0,190,3463
2017-12-31,180,190.0,180.0,180,6855
2018-01-31,180,180.0,170.0,170,4851
2018-02-28,175,180.0,170.0,180,77914
2018-03-31,190,490.0,190.0,395,26895
2018-04-30,395,395.0,325.0,350,9588
2018-05-31,325,390.0,295.0,295,9073
2018-06-30,295,295.0,200.0,225,195403
2018-07-31,240,340.0,240.0,325,5167
2018-08-31,325,325.0,280.0,295,2384
2018-09-30,295,295.0,280.0,280,343
2018-10-31,275,275.0,235.0,235,1341
2018-11-30,230,240.0,185.0,195,3028
2018-12-31,185,185.0,170.0,170,10817
2019-01-31,170,170.0,165.0,170,7982
2019-02-28,170,180.0,150.0,170,90810
2019-03-31,170,170.0,160.0,170,2128
2019-04-30,165,180.0,160.0,180,31367
2019-05-31,180,185.0,170.0,180,10327
2019-06-30,180,185.0,170.0,170,23197
2019-07-31,170,185.0,165.0,185,4718
2019-08-31,185,185.0,175.0,180,4526
2019-09-30,180,190.0,175.0,175,2902
2019-10-31,180,185.0,175.0,180,2843
2019-11-30,180,200.0,180.0,200,1068
2019-12-31,200,245.0,200.0,245,757
2020-01-31,260,290.0,245.0,290,5356
2020-02-29,290,290.0,250.0,250,13201
2020-03-31,250,250.0,235.0,235,3549
2020-04-30,235,235.0,235.0,235,397
2020-05-31,235,245.0,220.0,245,7197
2020-06-30,245,250.0,235.0,235,4682
2020-07-31,240,240.0,200.0,200,4342
2020-08-31,190,200.0,175.0,185,23907
2020-09-30,175,275.0,175.0,260,28654
2020-10-31,260,260.0,260.0,260,56
2020-11-30,275,285.0,275.0,275,9205
2020-12-31,275,320.0,275.0,280,23661
2021-01-31,300,300.0,300.0,300,3800
2021-02-28,300,320.0,280.0,280,4277
2021-03-31,300,300.0,265.0,270,26066
2021-04-30,290,390.0,260.0,390,58810
2021-05-31,415,580.0,415.0,535,77472
2021-06-30,530,810.0,530.0,680,21194
2021-07-31,680,745.0,645.0,675,10657
2021-08-31,690,720.0,615.0,620,18395
2021-09-30,620,700.0,620.0,660,29094
2021-10-31,660,745.0,650.0,715,15995
2021-11-30,715,775.0,690.0,725,25060
2021-12-31,725,750.0,650.0,730,8439
2022-01-31,720,1015.0,690.0,1015,13123
2022-02-28,1000,2250.0,1000.0,1240,102416
2022-03-31,1150,1945.0,1150.0,1380,43487
2022-04-30,1400,1860.0,1360.0,1485,25446
2022-05-31,1375,1700.0,1330.0,1420,15301
2022-06-30,1525,1600.0,1350.0,1395,9932
2022-07-31,1360,1600.0,1125.0,1300,6478
2022-08-31,1395,1500.0,1300.0,1420,4180
2022-09-30,1420,1470.0,1340.0,1390,2588
2022-10-31,1350,1420.0,975.0,975,9564
2022-11-30,975,1005.0,905.0,1000,11963
2022-12-31,1000,1295.0,950.0,950,7665
2023-01-31,950,1195.0,900.0,1000,9991
2023-02-28,1000,1190.0,920.0,1000,14160
2023-03-31,980,1180.0,980.0,1050,38676
2023-04-30,1050,1180.0,1000.0,1015,13190
2023-05-31,1000,1145.0,850.0,1090,30443
2023-06-30,1090,1145.0,940.0,1005,28967
2023-07-31,1005,1150.0,950.0,1110,12225
2023-08-31,1100,1120.0,1000.0,1000,14706
2023-09-30,1005,1145.0,1000.0,1145,7493
2023-10-31,1145,1150.0,850.0,855,6292
2023-11-30,800,965.0,695.0,900,24732
2023-12-31,850,900.0,780.0,900,1564
2024-01-31,900,900.0,800.0,860,2152
2024-02-29,860,860.0,750.0,810,3489
2024-03-31,810,810.0,750.0,800,3475
2024-04-30,800,805.0,690.0,790,5535
2024-05-31,780,790.0,685.0,780,2579
2024-06-30,785,785.0,695.0,695,2072
2024-07-31,695,770.0,680.0,765,4345
2024-08-31,765,780.0,670.0,685,11064
2024-09-30,680,720.0,650.0,700,8526
2024-10-31,700,700.0,605.0,650,3915
2024-11-30,650,680.0,500.0,535,7988
2024-12-31,540,540.0,405.0,450,20992
2025-01-31,445,480.0,410.0,460,6780
2025-02-28,465,600.0,465.0,595,25975
2025-03-31,595,715.0,580.0,580,23833
2025-04-30,585,645.0,440.0,595,26511
2025-05-31,595,620.0,500.0,510,26924
2025-06-30,540,580.0,475.0,560,15303
2025-07-31,565,600.0,540.0,575,8470
2025-08-31,590,700.0,520.0,680,24992
2025-09-30,665,1100.0,650.0,1050,59530
2025-10-31,1040,1300.0,995.0,1250,46424
2025-11-30,1180,1240.0,925.0,1095,44381
2025-12-31,1095,1530.0,1050.0,1325,56844
2026-01-31,1240,1370.0,1120.0,1265,101744
2026-02-28,1280,2000.0,1270.0,1990,94167
2026-03-31,1960,2725.0,1865.0,2725,112204
2026-04-30,2735,4185.0,2680.0,3050,98746
2026-05-31,3030,3345.0,2500.0,3000,85944
2026-06-30,3100,3700.0,2570.0,3550,249511
2026-07-31,3500,3550.0,2680.0,2680,115176
2026-08-31,2750,2845.0,2500.0,2740,77945
2026-09-30,2780,2850.0,2740.0,2830,2472
