Date,Open,High,Low,Close,Volume
1998-12-31,95,95.0,80.0,86,103700
1999-03-31,86,86.0,80.0,81,94100
1999-06-30,81,81.0,81.0,81,5300
1999-09-30,81,81.0,81.0,81,23100
2000-09-30,75,75.0,75.0,75,2000
2001-03-31,75,75.0,70.0,70,10000
2001-06-30,70,70.0,70.0,70,3100
2002-03-31,70,70.0,70.0,70,100
2003-12-31,70,70.0,70.0,70,400
2004-03-31,69,69.0,69.0,69,6500
2007-03-31,69,69.0,69.0,69,100
2007-06-30,69,69.0,69.0,69,5600
2007-09-30,69,69.0,69.0,69,2900
2008-06-30,54,54.0,43.0,43,5500
2008-09-30,43,43.0,41.0,41,155800
2008-12-31,49,60.0,49.0,50,131800
2009-03-31,50,50.0,50.0,50,200
2009-09-30,50,50.0,50.0,50,12400
2009-12-31,50,50.0,50.0,50,2700
2010-03-31,46,46.0,46.0,46,1200
2010-06-30,46,46.0,46.0,46,200
2010-09-30,46,46.0,46.0,46,8400
2011-06-30,40,40.0,37.0,37,5300
2011-09-30,34,35.0,29.0,35,235100
2011-12-31,37,50.0,37.0,48,76000
2012-03-31,48,48.0,44.0,44,5800
2012-06-30,44,44.0,44.0,44,600
2012-09-30,44,59.0,44.0,59,61900
2012-12-31,59,85.0,59.0,84,52000
2013-03-31,84,84.0,78.0,78,10000
2013-06-30,78,140.0,78.0,140,52200
2013-09-30,150,150.0,120.0,120,18800
2013-12-31,120,160.0,120.0,160,32800
2014-03-31,170,346.0,170.0,268,49600
2014-06-30,248,267.0,214.0,214,7700
2014-09-30,220,220.0,198.0,200,29700
2014-12-31,200,340.0,198.0,340,297900
2015-03-31,340,381.0,300.0,380,134400
2015-06-30,380,485.0,380.0,420,147300
2015-09-30,421,484.0,420.0,484,52000
2015-12-31,490,527.0,490.0,527,21900
2016-03-31,527,527.0,460.0,460,21200
2016-06-30,450,601.0,450.0,450,48500
2016-09-30,480,480.0,390.0,390,24900
2016-12-31,361,361.0,350.0,350,700
2017-03-31,330,330.0,265.0,269,4000
2017-06-30,249,249.0,200.0,200,10900
2017-09-30,200,200.0,167.0,179,14600
2017-12-31,170,190.0,170.0,180,16386
2018-03-31,180,490.0,170.0,395,109660
2018-06-30,395,395.0,200.0,225,214064
2018-09-30,240,340.0,240.0,280,7894
2018-12-31,275,275.0,170.0,170,15186
2019-03-31,170,180.0,150.0,170,100920
2019-06-30,165,185.0,160.0,170,64891
2019-09-30,170,190.0,165.0,175,12146
2019-12-31,180,245.0,175.0,245,4668
2020-03-31,260,290.0,235.0,235,22106
2020-06-30,235,250.0,220.0,235,12276
2020-09-30,240,275.0,175.0,260,56903
2020-12-31,260,320.0,260.0,280,32922
2021-03-31,300,320.0,265.0,270,34143
2021-06-30,290,810.0,260.0,680,157476
2021-09-30,680,745.0,615.0,660,58146
2021-12-31,660,775.0,650.0,730,49494
2022-03-31,720,2250.0,690.0,1380,159026
2022-06-30,1400,1860.0,1330.0,1395,50679
2022-09-30,1360,1600.0,1125.0,1390,13246
2022-12-31,1350,1420.0,905.0,950,29192
2023-03-31,950,1195.0,900.0,1050,62827
2023-06-30,1050,1180.0,850.0,1005,72600
2023-09-30,1005,1150.0,950.0,1145,34424
2023-12-31,1145,1150.0,695.0,900,32588
2024-03-31,900,900.0,750.0,800,9116
2024-06-30,800,805.0,685.0,695,10186
2024-09-30,695,780.0,650.0,700,23935
2024-12-31,700,700.0,405.0,450,32895
2025-03-31,445,715.0,410.0,580,56588
2025-06-30,585,645.0,440.0,560,68738
2025-09-30,565,1100.0,520.0,1050,92992
2025-12-31,1040,1530.0,925.0,1325,147649
2026-03-31,1240,2725.0,1120.0,2725,308115
2026-06-30,2735,4185.0,2500.0,3550,434201
2026-09-30,3500,3550.0,2500.0,2595,169889
