Date,Open,High,Low,Close,Volume
1998-10-12,95,95.0,95.0,95,21500
1998-10-19,95,95.0,95.0,95,1000
1998-10-26,88,88.0,82.0,82,6000
1998-11-02,80,80.0,80.0,80,800
1998-11-30,80,80.0,80.0,80,300
1998-12-14,80,80.0,80.0,80,700
1998-12-21,85,85.0,85.0,85,6700
1998-12-28,86,86.0,86.0,86,66700
1999-01-18,86,86.0,86.0,86,300
1999-01-25,86,86.0,86.0,86,300
1999-02-01,86,86.0,86.0,86,4000
1999-02-08,86,86.0,86.0,86,2000
1999-02-15,86,86.0,86.0,86,6200
1999-02-22,86,86.0,86.0,86,5100
1999-03-08,86,86.0,86.0,86,500
1999-03-15,86,86.0,86.0,86,2000
1999-03-29,80,80.0,80.0,80,67200
1999-04-05,81,81.0,81.0,81,7000
1999-04-26,81,81.0,81.0,81,1000
1999-05-03,81,81.0,81.0,81,900
1999-05-31,81,81.0,81.0,81,1200
1999-06-07,81,81.0,81.0,81,1300
1999-06-14,81,81.0,81.0,81,400
1999-07-05,81,81.0,81.0,81,1300
1999-07-19,81,81.0,81.0,81,12500
1999-07-26,81,81.0,81.0,81,1000
1999-08-23,81,81.0,81.0,81,2800
1999-08-30,81,81.0,81.0,81,5500
2000-07-31,75,75.0,75.0,75,2000
2001-01-22,75,75.0,75.0,75,4300
2001-01-29,74,74.0,74.0,74,4100
2001-03-19,73,73.0,73.0,73,800
2001-03-26,70,70.0,70.0,70,800
2001-04-09,70,70.0,70.0,70,3000
2001-05-14,70,70.0,70.0,70,100
2002-03-11,70,70.0,70.0,70,100
2003-12-22,70,70.0,70.0,70,400
2004-02-02,69,69.0,69.0,69,6500
2007-02-12,69,69.0,69.0,69,100
2007-06-18,69,69.0,69.0,69,5100
2007-06-25,69,69.0,69.0,69,500
2007-07-09,69,69.0,69.0,69,2300
2007-07-23,69,69.0,69.0,69,600
2008-05-05,54,54.0,50.0,50,2000
2008-05-12,47,47.0,47.0,47,2000
2008-06-02,43,43.0,43.0,43,1000
2008-06-09,43,43.0,43.0,43,500
2008-07-14,43,43.0,43.0,43,900
2008-08-11,43,43.0,43.0,43,3700
2008-08-25,43,43.0,43.0,43,800
2008-09-01,43,43.0,41.0,41,150400
2008-10-13,49,49.0,49.0,49,1500
2008-10-20,52,52.0,52.0,52,7700
2008-10-27,55,55.0,55.0,55,1000
2008-11-03,55,55.0,55.0,55,14000
2008-11-10,59,59.0,59.0,59,1100
2008-11-17,59,59.0,59.0,59,600
2008-12-01,60,60.0,60.0,60,17400
2008-12-08,55,55.0,51.0,51,29000
2008-12-15,50,50.0,50.0,50,1000
2008-12-22,50,50.0,50.0,50,6800
2008-12-29,50,50.0,50.0,50,51700
2009-01-19,50,50.0,50.0,50,200
2009-07-13,50,50.0,50.0,50,900
2009-07-20,50,50.0,50.0,50,300
2009-07-27,50,50.0,50.0,50,7700
2009-08-31,50,50.0,50.0,50,3500
2009-10-19,50,50.0,50.0,50,1000
2009-12-14,50,50.0,50.0,50,1700
2010-03-01,46,46.0,46.0,46,1200
2010-04-26,46,46.0,46.0,46,100
2010-05-31,46,46.0,46.0,46,100
2010-08-02,46,46.0,46.0,46,2700
2010-08-23,46,46.0,46.0,46,2500
2010-08-30,46,46.0,46.0,46,1900
2010-09-06,46,46.0,46.0,46,800
2010-10-04,46,46.0,46.0,46,500
2011-05-30,40,40.0,40.0,40,4000
2011-06-06,37,37.0,37.0,37,1300
2011-08-01,34,34.0,29.0,29,221100
2011-08-08,29,29.0,29.0,29,2600
2011-08-15,29,29.0,29.0,29,1400
2011-09-12,35,35.0,35.0,35,10000
2011-10-10,37,40.0,37.0,40,2400
2011-10-17,43,45.0,43.0,45,2500
2011-10-24,48,48.0,48.0,48,1400
2011-10-31,48,50.0,48.0,50,7600
