Date,Open,High,Low,Close,Volume
1998-12-31,95,95.0,80.0,86,103700
1999-12-31,86,86.0,80.0,81,122500
2000-12-31,75,75.0,75.0,75,2000
2001-12-31,75,75.0,70.0,70,13100
2002-12-31,70,70.0,70.0,70,100
2003-12-31,70,70.0,70.0,70,400
2004-12-31,69,69.0,69.0,69,6500
2007-12-31,69,69.0,69.0,69,8600
2008-12-31,54,60.0,41.0,50,293100
2009-12-31,50,50.0,50.0,50,15300
2010-12-31,46,46.0,46.0,46,9800
2011-12-31,40,50.0,29.0,48,316400
2012-12-31,48,85.0,44.0,84,120300
2013-12-31,84,160.0,78.0,160,113800
2014-12-31,170,346.0,170.0,340,384900
2015-12-31,340,527.0,300.0,527,355600
2016-12-31,527,601.0,350.0,350,95300
2017-12-31,330,330.0,167.0,180,45886
2018-12-31,180,490.0,170.0,170,346804
2019-12-31,170,245.0,150.0,245,182625
2020-12-31,260,320.0,175.0,280,124207
2021-12-31,300,810.0,260.0,730,299259
2022-12-31,720,2250.0,690.0,950,252143
2023-12-31,950,1195.0,695.0,900,202439
2024-12-31,900,900.0,405.0,450,76132
2025-12-31,445,1530.0,410.0,1325,365967
2026-12-31,1240,4185.0,1120.0,2530,901541
