Date,Open,High,Low,Close,Volume
1998-09-21,4016,4016,4016,4016,700
1998-09-23,4000,4000,4000,4000,3300
1998-09-25,4200,4200,4200,4200,400
1998-09-28,4000,4000,4000,4000,300
1998-09-30,4200,4200,4200,4200,960
1998-10-02,4150,4150,4150,4150,15500
1998-10-05,4460,4460,4460,4460,8420
1998-10-07,4790,4790,4790,4790,10000
1998-10-09,4990,4990,4990,4990,1700
1998-10-14,4950,4950,4950,4950,100
1998-10-21,4950,4950,4950,4950,1840
1998-10-23,5000,5000,5000,5000,4680
1998-11-02,4250,4250,4250,4250,400
1998-11-06,3638,3638,3638,3638,220
1998-11-09,3500,3500,3500,3500,25700
1998-11-13,3238,3238,3238,3238,1100
1998-11-20,3500,3500,3500,3500,4480
1998-11-23,3500,3500,3500,3500,1240
1998-11-25,3650,3650,3650,3650,100
1998-11-27,3650,3650,3650,3650,120
1998-11-30,3750,3750,3750,3750,2040
1998-12-02,3850,3850,3850,3850,160
1998-12-04,3850,3850,3850,3850,280
1998-12-09,3850,3850,3850,3850,100
1998-12-16,4000,4000,4000,4000,220
1998-12-18,4000,4000,4000,4000,680
1998-12-23,4205,4205,4205,4205,141000
1998-12-28,4500,4500,4500,4500,80
1998-12-30,4500,4500,4500,4500,1240
1999-01-06,4838,4838,4838,4838,2240
1999-01-08,5000,5000,5000,5000,80
1999-01-11,5000,5000,5000,5000,140
1999-01-20,5000,5000,5000,5000,80
1999-01-27,4750,4750,4750,4750,200
1999-01-29,5000,5000,5000,5000,2000
1999-02-03,4750,4750,4750,4750,2340
1999-02-15,4750,4750,4750,4750,40
1999-02-19,4500,4500,4500,4500,540
1999-02-22,4500,4500,4500,4500,180
1999-02-24,4750,4750,4750,4750,4200
1999-02-26,4750,4750,4750,4750,10660
1999-03-05,4500,4500,4500,4500,200
1999-03-08,4500,4500,4500,4500,200
1999-03-10,4500,4500,4500,4500,880
1999-03-12,4500,4500,4500,4500,3100
1999-03-15,4500,4500,4500,4500,1700
1999-03-19,4500,4500,4500,4500,2140
1999-03-24,4500,4500,4500,4500,10700
1999-04-14,4500,4500,4500,4500,240
1999-04-16,4500,4500,4500,4500,2000
1999-04-23,4163,4163,4163,4163,300
1999-04-30,4163,4163,4163,4163,400
1999-06-11,3851,3851,3851,3851,4220
1999-06-14,3851,3851,3851,3851,10200
1999-06-16,3850,3850,3850,3850,400
1999-06-23,3850,3850,3850,3850,1560
1999-06-25,3850,3850,3850,3850,320
1999-06-30,3850,3850,3850,3850,40
1999-07-07,3600,3600,3600,3600,580
1999-07-09,3600,3600,3600,3600,720
1999-07-12,3600,3600,3600,3600,1000
1999-07-14,3500,3500,3500,3500,780
