Date,Open,High,Low,Close,Volume
1998-09-30,4016,4200.0,4000.0,4200,5660
1998-10-31,4150,5000.0,4150.0,5000,42240
1998-11-30,4250,4250.0,3238.0,3750,35400
1998-12-31,3850,4500.0,3850.0,4500,143760
1999-01-31,4838,5000.0,4750.0,5000,4740
1999-02-28,4750,4750.0,4500.0,4750,17960
1999-03-31,4500,4500.0,4500.0,4500,18920
1999-04-30,4500,4500.0,4163.0,4163,2940
1999-06-30,3851,3851.0,3850.0,3850,16740
1999-07-31,3600,3625.0,3500.0,3625,7120
1999-08-31,3625,3700.0,3625.0,3690,11320
1999-09-30,3700,3702.0,3700.0,3700,9660
1999-10-31,3730,4000.0,3730.0,4000,35300
1999-11-30,4125,4125.0,3803.0,3850,4760
1999-12-31,3850,4500.0,3850.0,4500,6580
2000-01-31,3900,3900.0,3850.0,3850,3980
2000-02-29,3775,3775.0,3725.0,3725,71940
2000-03-31,3723,3723.0,3673.0,3675,23420
2000-04-30,3675,3675.0,3650.0,3650,2740
2000-05-31,3650,3650.0,3650.0,3650,1300
2000-06-30,3650,3650.0,3650.0,3650,80
2000-07-31,3500,3500.0,3450.0,3450,8080
2000-08-31,3450,3493.0,3000.0,3000,342160
2000-09-30,3000,3000.0,3000.0,3000,2120
2000-10-31,3000,3000.0,2895.0,2895,14240
2000-11-30,2895,2950.0,2895.0,2950,24200
2000-12-31,3000,3000.0,3000.0,3000,14240
2001-01-31,3000,3000.0,2900.0,2900,22700
2001-02-28,2900,2925.0,2900.0,2925,44700
2001-03-31,2905,2906.0,2900.0,2906,64320
2001-04-30,2926,2933.0,2500.0,2500,6440
2001-05-31,2500,2500.0,2400.0,2400,7340
2001-06-30,2400,2400.0,2250.0,2250,10980
2001-07-31,2249,2249.0,2150.0,2150,8300
2001-08-31,2100,2100.0,1990.0,1990,18120
2001-09-30,1990,2001.0,1950.0,2000,21660
2001-10-31,2000,2075.0,2000.0,2075,22720
2001-11-30,2125,2125.0,2050.0,2050,46380
2001-12-31,2050,3106.0,2000.0,3105,32820
2002-01-31,2500,2500.0,2350.0,2350,8380
2002-02-28,2250,2250.0,2050.0,2050,24940
2002-03-31,2000,2311.0,2000.0,2311,16140
2002-04-30,2485,2485.0,2425.0,2425,2960
2002-05-31,2375,2375.0,2147.0,2147,1700
2002-06-30,2125,2125.0,2000.0,2000,2360
2002-07-31,2000,2000.0,1950.0,2000,16660
2002-08-31,2000,2003.0,2000.0,2000,10460
2002-09-30,2005,2225.0,2000.0,2225,16520
2002-10-31,2175,2175.0,2000.0,2000,24240
2002-11-30,2150,2400.0,2150.0,2400,3040
2002-12-31,2500,2500.0,2400.0,2400,4760
2003-01-31,2220,2400.0,2220.0,2400,7620
2003-02-28,2400,2400.0,2400.0,2400,200
2003-03-31,2400,2400.0,2400.0,2400,200
2003-04-30,2200,2250.0,2200.0,2250,18700
2003-05-31,2250,2395.0,2250.0,2395,980
2003-06-30,2200,2200.0,2200.0,2200,660
2003-07-31,2150,2150.0,1990.0,2000,5120
2003-08-31,1995,1995.0,1850.0,1850,6740
2003-09-30,1850,2138.0,1850.0,2138,2240
2003-10-31,1945,2150.0,1800.0,2150,4760
2003-12-31,1990,2473.0,1990.0,2473,13100
2004-01-31,2125,2125.0,1890.0,1943,3160
2004-02-29,1945,1975.0,1700.0,1700,155900
2004-03-31,1700,2250.0,1700.0,2100,170720
2004-04-30,2100,2100.0,2000.0,2000,2620
2004-05-31,2000,2000.0,1925.0,1925,1860
2004-06-30,1809,1809.0,1650.0,1650,13280
2004-07-31,1650,1650.0,1650.0,1650,10660
2004-08-31,1650,1650.0,1640.0,1650,6540
2004-09-30,1650,1700.0,1650.0,1650,9780
2004-10-31,1503,1503.0,1375.0,1375,13840
2004-11-30,1375,1376.0,1375.0,1375,3540
2004-12-31,1350,2000.0,1350.0,2000,9920
2005-01-31,1840,1840.0,1840.0,1840,300
2005-03-31,1702,2125.0,1702.0,2000,63060
2005-04-30,2000,2125.0,2000.0,2125,10120
2005-05-31,1841,1855.0,1750.0,1750,4300
2005-06-30,1850,1850.0,1850.0,1850,560
2005-07-31,1855,1885.0,1855.0,1885,5560
2005-08-31,1885,1888.0,1875.0,1888,6760
2005-09-30,1875,1901.0,1875.0,1900,7560
2005-10-31,1900,1900.0,1800.0,1800,9640
2005-11-30,1800,1850.0,1800.0,1800,11960
2005-12-31,1950,1950.0,1750.0,1800,40960
2006-01-31,1800,1800.0,1723.0,1723,17440
2006-02-28,1723,1723.0,1723.0,1723,37780
2006-03-31,1723,2400.0,1723.0,2400,33200
2006-04-30,2400,2495.0,1950.0,1950,47880
2006-05-31,1875,1875.0,1750.0,1750,10500
2006-06-30,1875,1875.0,1800.0,1875,5760
2006-07-31,1875,2000.0,1875.0,2000,7420
2006-08-31,2000,2231.0,2000.0,2231,21520
2006-09-30,2233,2250.0,2225.0,2225,14180
2006-10-31,2225,2225.0,2075.0,2075,14040
2006-11-30,2075,2075.0,2000.0,2031,32380
2006-12-31,2000,2075.0,2000.0,2000,32020
2007-01-31,2001,2008.0,2001.0,2008,1060
2007-02-28,2015,2260.0,2015.0,2260,3200
2007-03-31,2260,2500.0,2260.0,2350,34680
2007-04-30,2350,2500.0,2000.0,2000,7880
2007-05-31,2058,2213.0,2058.0,2210,3660
2007-06-30,2150,2235.0,2100.0,2235,13860
2007-07-31,2100,2150.0,2074.0,2150,7860
2007-08-31,2150,2500.0,2150.0,2400,12040
2007-09-30,2550,2550.0,2499.0,2499,25300
2007-10-31,2448,2448.0,2215.0,2215,20980
2007-11-30,2218,2555.0,2218.0,2555,13320
2007-12-31,2550,2550.0,2500.0,2500,5280
2008-01-31,2500,2600.0,2495.0,2500,9300
2008-02-29,2550,2800.0,2550.0,2800,11260
2008-03-31,2800,3000.0,2800.0,3000,5520
2008-04-30,3000,3000.0,2625.0,2650,44940
2008-05-31,2701,2811.0,2701.0,2811,18340
2008-06-30,2811,2811.0,2750.0,2800,6260
2008-07-31,2850,3050.0,2850.0,3025,30460
2008-08-31,3023,3050.0,3000.0,3050,14560
2008-09-30,3050,3250.0,3050.0,3051,10280
2008-10-31,3050,3051.0,3050.0,3050,6600
2008-11-30,2821,2821.0,2750.0,2750,16800
2008-12-31,2545,3118.0,2545.0,3118,6420
2009-01-31,3113,3113.0,2879.0,3095,9540
2009-02-28,3050,3050.0,2821.0,2825,6600
2009-03-31,2810,2820.0,2800.0,2810,22760
2009-04-30,2810,2815.0,2497.0,2497,4200
2009-06-30,2450,2450.0,2250.0,2250,3140
2009-07-31,2253,2300.0,2250.0,2285,14260
2009-08-31,2300,2350.0,2200.0,2350,6860
2009-09-30,2353,2375.0,2350.0,2375,12020
2009-10-31,2381,2500.0,2381.0,2475,23920
2009-11-30,2463,2463.0,2425.0,2450,9560
2009-12-31,2450,2450.0,2245.0,2415,21400
2010-01-31,2256,2260.0,2245.0,2245,21340
2010-02-28,2245,2600.0,2245.0,2277,3820
2010-03-31,2448,3268.0,2448.0,2780,85560
2010-04-30,2850,3000.0,2250.0,2250,31120
2010-05-31,2250,2250.0,2250.0,2250,31080
2010-06-30,2250,2500.0,2250.0,2500,7080
2010-07-31,2500,2500.0,2250.0,2380,67980
2010-08-31,2380,2688.0,2380.0,2645,10940
2010-09-30,2650,3062.0,2550.0,2650,23680
2010-10-31,2700,3250.0,2700.0,3000,21260
2010-11-30,3000,3000.0,2780.0,2875,10720
2010-12-31,2900,2950.0,2875.0,2875,39300
2011-01-31,2950,3100.0,2950.0,3100,4900
2011-02-28,3100,3150.0,3100.0,3150,5420
2011-05-31,3150,3155.0,2950.0,3000,35640
2011-06-30,3000,3250.0,3000.0,3200,36640
2011-07-31,3200,3200.0,2875.0,3050,17060
2011-08-31,3050,3150.0,3000.0,3000,14940
2011-09-30,3000,3005.0,2950.0,3000,36520
2011-10-31,3000,3025.0,2950.0,3000,71620
2011-11-30,3025,3200.0,3000.0,3200,10660
2011-12-31,3003,3200.0,3003.0,3200,12700
2012-01-31,3155,3200.0,3150.0,3175,14540
2012-02-29,3175,3200.0,3175.0,3200,4720
2012-03-31,3250,4000.0,3250.0,3800,10240
2012-04-30,3800,3800.0,3250.0,3250,16720
2012-05-31,3250,3351.0,3250.0,3351,6020
2012-06-30,3351,3510.0,3300.0,3510,32360
2012-07-31,3510,3700.0,3500.0,3511,19660
2012-08-31,3750,3816.0,3550.0,3750,11780
2012-09-30,3550,3875.0,3550.0,3875,9980
2012-10-31,3875,3900.0,3751.0,3875,14520
2012-11-30,3875,4962.0,3875.0,4075,27200
2012-12-31,4075,4380.0,4050.0,4350,10440
2013-01-31,4350,5000.0,4350.0,5000,29100
2013-02-28,5000,5750.0,5000.0,5500,33260
2013-03-31,5250,5375.0,4500.0,5000,78620
2013-04-30,5125,5250.0,5125.0,5125,112380
2013-05-31,5125,5125.0,4394.0,5100,38020
2013-06-30,5100,5250.0,5100.0,5250,14700
2013-07-31,5250,5255.0,5250.0,5251,20380
2013-08-31,5251,5325.0,5000.0,5250,57900
2013-09-30,5250,5500.0,5000.0,5250,24680
2013-10-31,5250,5500.0,5250.0,5320,7040
2013-11-30,5325,5400.0,5300.0,5351,13340
2013-12-31,5750,6180.0,5450.0,6180,7380
2014-01-31,6180,6180.0,5303.0,6000,17040
2014-02-28,5600,6450.0,5600.0,6000,19420
2014-03-31,6000,6000.0,5750.0,5995,7700
2014-04-30,5995,6000.0,5782.0,5900,5560
2014-05-31,5900,5900.0,5745.0,5750,14000
2014-06-30,5750,7155.0,5750.0,6619,52280
2014-07-31,6600,6665.0,6150.0,6600,57380
2014-08-31,6750,6885.0,6500.0,6800,68480
2014-09-30,7000,7000.0,6450.0,6500,32260
2014-10-31,6500,7000.0,5825.0,5900,61100
2014-11-30,5900,7525.0,5900.0,7040,69260
2014-12-31,7150,7950.0,7050.0,7950,24860
2015-01-31,7950,8000.0,7400.0,7600,17120
2015-02-28,7450,8100.0,7450.0,8000,35680
2015-03-31,7800,7800.0,7350.0,7350,31100
2015-04-30,7000,7750.0,6000.0,7600,45200
2015-05-31,7600,7800.0,7070.0,7075,63060
2015-06-30,7075,7500.0,7000.0,7400,49640
