Date,Open,High,Low,Close,Volume
1998-09-30,4016,4200,4000,4200,5660
1998-12-31,4150,5000,3238,4500,221400
1999-03-31,4838,5000,4500,4500,41620
1999-06-30,4500,4500,3850,3850,19680
1999-09-30,3600,3702,3500,3700,28100
1999-12-31,3730,4500,3730,4500,46640
2000-03-31,3900,3900,3673,3675,99340
2000-06-30,3675,3675,3650,3650,4120
2000-09-30,3500,3500,3000,3000,352360
2000-12-31,3000,3000,2895,3000,52680
2001-03-31,3000,3000,2900,2906,131720
2001-06-30,2926,2933,2250,2250,24760
2001-09-30,2249,2249,1950,2000,48080
2001-12-31,2000,3106,2000,3105,101920
2002-03-31,2500,2500,2000,2311,49460
2002-06-30,2485,2485,2000,2000,7020
2002-09-30,2000,2225,1950,2225,43640
2002-12-31,2175,2500,2000,2400,32040
2003-03-31,2220,2400,2220,2400,8020
2003-06-30,2200,2395,2200,2200,20340
2003-09-30,2150,2150,1850,2138,14100
2003-12-31,1945,2473,1800,2473,17860
2004-03-31,2125,2250,1700,2100,329780
2004-06-30,2100,2100,1650,1650,17760
2004-09-30,1650,1700,1640,1650,26980
2004-12-31,1503,2000,1350,2000,27300
2005-03-31,1840,2125,1702,2000,63360
2005-06-30,2000,2125,1750,1850,14980
2005-09-30,1855,1901,1855,1900,19880
2005-12-31,1900,1950,1750,1800,62560
2006-03-31,1800,2400,1723,2400,88420
2006-06-30,2400,2495,1750,1875,64140
2006-09-30,1875,2250,1875,2225,43120
2006-12-31,2225,2225,2000,2000,78440
2007-03-31,2001,2500,2001,2350,38940
2007-06-30,2350,2500,2000,2235,25400
2007-09-30,2100,2550,2074,2499,45200
2007-12-31,2448,2555,2215,2500,39580
2008-03-31,2500,3000,2495,3000,26080
2008-06-30,3000,3000,2625,2800,69540
2008-09-30,2850,3250,2850,3051,55300
2008-12-31,3050,3118,2545,3118,29820
2009-03-31,3113,3113,2800,2810,38900
2009-06-30,2810,2815,2250,2250,7340
2009-09-30,2253,2375,2200,2375,33140
2009-12-31,2381,2500,2245,2415,54880
2010-03-31,2256,3268,2245,2780,110720
2010-06-30,2850,3000,2250,2500,69280
2010-09-30,2500,3062,2250,2650,102600
2010-12-31,2700,3250,2700,2875,71280
2011-03-31,2950,3150,2950,3150,10320
2011-06-30,3150,3250,2950,3200,72280
2011-09-30,3200,3200,2875,3000,68520
2011-12-31,3000,3200,2950,3200,94980
2012-03-31,3155,4000,3150,3800,29500
2012-06-30,3800,3800,3250,3510,55100
2012-09-30,3510,3875,3500,3875,41420
2012-12-31,3875,4962,3751,4350,52160
2013-03-31,4350,5750,4350,5000,140980
2013-06-30,5125,5250,4394,5250,165100
2013-09-30,5250,5500,5000,5250,102960
2013-12-31,5250,6180,5250,6180,27760
2014-03-31,6180,6450,5303,5995,44160
2014-06-30,5995,7155,5745,6619,71840
2014-09-30,6600,7000,6150,6500,158120
2014-12-31,6500,7950,5825,7950,155220
2015-03-31,7950,8100,7350,7350,83900
2015-06-30,7000,7800,6000,7400,157900
2015-09-30,7400,8000,7300,7678,184380
2015-12-31,7700,8100,7650,7800,227920
2016-03-31,7800,9135,7775,8500,121840
2016-06-30,8500,9823,8000,8250,115060
2016-09-30,8050,8170,7370,7800,129840
2016-12-31,7500,7750,7250,7500,312660
2017-03-31,7350,7350,5200,5325,126460
2017-06-30,5350,5778,3364,3700,400240
2017-09-30,3700,4569,3500,3900,95060
2017-12-31,3900,4000,3600,3600,91960
2018-03-31,3500,3500,2600,2675,373860
2018-06-30,2650,2675,2278,2300,294180
2018-09-30,2300,2300,1780,1780,135106
2018-12-31,1750,1835,1290,1835,39907
2019-03-31,1970,1970,1050,1050,206022
2019-06-30,1000,1315,995,1190,18979
2019-09-30,1130,1130,850,925,58981
2019-12-31,860,860,605,605,80213
2020-03-31,600,635,485,500,88264
2020-06-30,490,625,490,580,329008
2020-09-30,600,610,480,490,360938
2020-12-31,500,530,440,530,645761
2021-03-31,530,870,525,700,70683
2021-06-30,700,3790,680,3250,245223
2021-09-30,3250,4300,3005,4300,167741
2021-12-31,4300,6180,4010,6180,81444
2022-03-31,6060,6450,5365,6450,52441
2022-06-30,6450,6825,5600,6250,88519
2022-09-30,6250,6375,4650,5935,166552
2022-12-31,5750,6850,4950,6850,41171
2023-03-31,7000,7000,5970,6650,49006
2023-06-30,6700,6700,5600,6330,27166
2023-09-30,6330,7100,5815,6200,72735
2023-12-31,5900,6300,5500,5945,24589
2024-03-31,5940,7000,5600,6800,36119
2024-06-30,6800,7500,6195,7495,89539
2024-09-30,7485,7485,6500,7100,152313
2024-12-31,7100,7525,6850,7300,316260
2025-03-31,7300,10200,7225,9950,92611
2025-06-30,9960,18500,9050,17950,205465
2025-09-30,17900,21800,17800,19000,189861
2025-12-31,19000,20265,19000,19780,171800
2026-03-31,19780,22000,17410,21500,186256
2026-06-30,21500,25000,19420,25000,214420
2026-09-30,24850,25500,22000,22900,133929
