Date,Open,High,Low,Close,Volume
1998-09-21,4016,4016.0,4016.0,4016,700
1998-09-28,4000,4200.0,4000.0,4000,4000
1998-10-05,4200,4460.0,4150.0,4460,24880
1998-10-12,4790,4990.0,4790.0,4990,11700
1998-10-19,4950,4950.0,4950.0,4950,100
1998-10-26,4950,5000.0,4950.0,5000,6520
1998-11-02,4250,4250.0,4250.0,4250,400
1998-11-09,3638,3638.0,3500.0,3500,25920
1998-11-16,3238,3238.0,3238.0,3238,1100
1998-11-23,3500,3500.0,3500.0,3500,5720
1998-11-30,3650,3750.0,3650.0,3750,2260
1998-12-07,3850,3850.0,3850.0,3850,440
1998-12-14,3850,3850.0,3850.0,3850,100
1998-12-21,4000,4000.0,4000.0,4000,900
1998-12-28,4205,4500.0,4205.0,4500,141080
1999-01-04,4500,4500.0,4500.0,4500,1240
1999-01-11,4838,5000.0,4838.0,5000,2460
1999-01-25,5000,5000.0,5000.0,5000,80
1999-02-01,4750,5000.0,4750.0,5000,2200
1999-02-08,4750,4750.0,4750.0,4750,2340
1999-02-15,4750,4750.0,4750.0,4750,40
1999-02-22,4500,4500.0,4500.0,4500,720
1999-03-01,4750,4750.0,4750.0,4750,14860
1999-03-08,4500,4500.0,4500.0,4500,400
1999-03-15,4500,4500.0,4500.0,4500,5680
1999-03-22,4500,4500.0,4500.0,4500,2140
1999-03-29,4500,4500.0,4500.0,4500,10700
1999-04-19,4500,4500.0,4500.0,4500,2240
1999-04-26,4163,4163.0,4163.0,4163,300
1999-05-03,4163,4163.0,4163.0,4163,400
1999-06-14,3851,3851.0,3851.0,3851,14420
1999-06-21,3850,3850.0,3850.0,3850,400
1999-06-28,3850,3850.0,3850.0,3850,1880
1999-07-05,3850,3850.0,3850.0,3850,40
1999-07-12,3600,3600.0,3600.0,3600,2300
1999-07-19,3500,3500.0,3500.0,3500,1260
1999-07-26,3500,3625.0,3500.0,3625,2020
1999-08-02,3625,3625.0,3625.0,3625,1860
1999-08-09,3700,3700.0,3700.0,3700,2160
1999-08-16,3625,3628.0,3625.0,3625,5180
1999-08-23,3625,3650.0,3625.0,3650,440
1999-08-30,3676,3690.0,3676.0,3690,3220
1999-09-06,3700,3700.0,3700.0,3700,660
1999-09-13,3702,3702.0,3700.0,3700,7620
1999-09-20,3700,3700.0,3700.0,3700,360
1999-09-27,3700,3700.0,3700.0,3700,1020
1999-10-04,3730,3750.0,3730.0,3750,1940
1999-10-11,3750,3750.0,3750.0,3750,40
1999-10-18,3750,3825.0,3750.0,3825,560
1999-10-25,3905,4000.0,3905.0,4000,19340
1999-11-01,4000,4000.0,4000.0,4000,13420
1999-11-08,4125,4125.0,4125.0,4125,160
1999-11-15,3803,3803.0,3803.0,3803,1180
1999-11-22,3803,3805.0,3803.0,3805,2020
