Date,Open,High,Low,Close,Volume
1998-12-31,4016,5000,3238,4500,227060
1999-12-31,4838,5000,3500,4500,136040
2000-12-31,3900,3900,2895,3000,508500
2001-12-31,3000,3106,1950,3105,306480
2002-12-31,2500,2500,1950,2400,132160
2003-12-31,2220,2473,1800,2473,60320
2004-12-31,2125,2250,1350,2000,401820
2005-12-31,1840,2125,1702,1800,160780
2006-12-31,1800,2495,1723,2000,274120
2007-12-31,2001,2555,2000,2500,149120
2008-12-31,2500,3250,2495,3118,180740
2009-12-31,3113,3113,2200,2415,134260
2010-12-31,2256,3268,2245,2875,353880
2011-12-31,2950,3250,2875,3200,246100
2012-12-31,3155,4962,3150,4350,178180
2013-12-31,4350,6180,4350,6180,436800
2014-12-31,6180,7950,5303,7950,429340
2015-12-31,7950,8100,6000,7800,654100
2016-12-31,7800,9823,7250,7500,679400
2017-12-31,7350,7350,3364,3600,713720
2018-12-31,3500,3500,1290,1835,843053
2019-12-31,1970,1970,605,605,364195
2020-12-31,600,635,440,530,1423971
2021-12-31,530,6180,525,6180,565091
2022-12-31,6060,6850,4650,6850,348683
2023-12-31,7000,7100,5500,5945,173496
2024-12-31,5940,7525,5600,7300,594231
2025-12-31,7300,21800,7225,19780,659737
2026-12-31,19780,25500,17410,23000,521553
