Date,Open,High,Low,Close,Volume
1998-09-16,338,338,338,338,2500
1998-09-18,338,338,338,338,5200
1998-09-21,363,363,363,363,1500
1998-09-23,390,390,390,390,7000
1998-09-25,400,400,400,400,12300
1998-09-28,400,400,400,400,45200
1998-09-30,400,400,400,400,4000
1998-10-02,400,400,400,400,18800
1998-10-05,430,430,430,430,15000
1998-10-07,462,462,462,462,27100
1998-10-09,497,497,497,497,25200
1998-10-12,497,497,497,497,3600
1998-10-14,497,497,497,497,1500
1998-10-16,460,460,460,460,6500
1998-10-19,460,460,460,460,6800
1998-10-21,426,426,426,426,3700
1998-10-23,440,440,440,440,8400
1998-10-30,450,450,450,450,6200
1998-11-02,450,450,450,450,100
1998-11-04,450,450,450,450,2600
1998-11-11,430,430,430,430,200
1998-11-20,390,390,390,390,300
1998-11-25,361,361,361,361,5000
1998-12-11,350,350,350,350,25200
1998-12-16,310,310,310,310,11500
1998-12-18,330,330,330,330,600
1998-12-23,350,350,350,350,363500
1998-12-28,350,350,350,350,300
1998-12-30,350,350,350,350,357700
1999-01-04,350,350,350,350,5500
1999-01-08,350,350,350,350,8200
1999-01-11,360,360,360,360,100
1999-01-22,360,360,360,360,1000
1999-01-29,350,350,350,350,1000
1999-02-15,320,320,320,320,1000
1999-02-19,310,310,310,310,3000
1999-02-22,320,320,320,320,600
1999-02-24,320,320,320,320,40100
1999-03-03,320,320,320,320,1500
1999-03-08,320,320,320,320,2000
1999-03-12,318,318,318,318,4000
1999-03-15,310,310,310,310,2000
1999-03-17,310,310,310,310,1600
1999-03-19,310,310,310,310,1600
1999-03-24,320,320,320,320,23200
1999-03-29,330,330,330,330,7400
1999-03-31,320,320,320,320,12400
1999-04-02,340,340,340,340,11500
1999-04-09,340,340,340,340,1000
1999-04-14,340,340,340,340,2500
1999-04-16,340,340,340,340,11400
1999-04-21,340,340,340,340,400
1999-04-23,340,340,340,340,300
1999-04-26,315,315,315,315,1000
1999-05-03,340,340,340,340,2300
1999-05-07,340,340,340,340,700
1999-05-12,340,340,340,340,1300
1999-05-14,340,340,340,340,600
1999-05-26,315,315,315,315,8000
1999-05-28,315,315,315,315,1100
1999-05-31,315,315,315,315,3600
1999-06-02,315,315,315,315,24500
1999-06-04,314,314,314,314,1000
1999-06-09,314,314,314,314,4000
1999-06-11,314,314,314,314,86900
1999-06-23,335,335,335,335,9500
1999-06-28,314,314,314,314,500
1999-06-30,320,320,320,320,10600
1999-07-02,320,320,320,320,2900
1999-07-07,320,320,320,320,100
1999-07-09,334,334,334,334,11200
1999-07-12,340,340,340,340,2000
1999-07-14,341,341,341,341,2000
1999-07-16,366,366,366,366,4900
1999-07-28,366,366,366,366,500
1999-07-30,345,345,345,345,2400
1999-08-02,345,345,345,345,500
