Date,Open,High,Low,Close,Volume
1998-09-30,338,400.0,338.0,400,77700
1998-10-31,400,497.0,400.0,450,122800
1998-11-30,450,450.0,361.0,361,8200
1998-12-31,350,350.0,310.0,350,758800
1999-01-31,350,360.0,350.0,350,15800
1999-02-28,320,320.0,310.0,320,44700
1999-03-31,320,330.0,310.0,320,55700
1999-04-30,340,340.0,315.0,315,28100
1999-05-31,340,340.0,315.0,315,17600
1999-06-30,315,335.0,314.0,320,137000
1999-07-31,320,366.0,320.0,345,26000
1999-08-31,345,345.0,340.0,340,28000
1999-09-30,330,331.0,330.0,330,21300
1999-10-31,330,346.0,329.0,346,25300
1999-11-30,336,336.0,325.0,325,29100
1999-12-31,320,330.0,320.0,330,12700
2000-01-31,331,335.0,330.0,330,13500
2000-02-29,330,355.0,330.0,335,1464900
2000-03-31,335,335.0,322.0,322,22300
2000-04-30,322,322.0,315.0,315,12800
2000-05-31,315,318.0,315.0,318,5500
2000-06-30,318,318.0,318.0,318,10900
2000-07-31,318,318.0,318.0,318,800800
2000-08-31,310,310.0,310.0,310,9000
2000-09-30,305,305.0,305.0,305,22600
2000-10-31,305,305.0,300.0,300,19400
2000-11-30,300,300.0,300.0,300,11400
2001-06-30,290,290.0,290.0,290,9900
2001-07-31,290,290.0,289.0,289,10500
2001-08-31,289,289.0,289.0,289,7000
2001-12-31,255,255.0,255.0,255,45100
2003-06-30,326,370.0,326.0,370,3800
2003-07-31,365,365.0,350.0,350,323500
2003-08-31,325,370.0,320.0,370,44100
2003-09-30,350,377.0,340.0,350,2575100
2003-10-31,350,385.0,350.0,385,7200
2003-11-30,356,356.0,345.0,350,2566600
2003-12-31,350,376.0,350.0,376,49600
2004-01-31,350,350.0,345.0,350,22900
2004-02-29,350,350.0,350.0,350,2600
2004-03-31,356,356.0,351.0,355,13600
2004-04-30,356,410.0,356.0,410,20500
2004-05-31,421,425.0,421.0,425,30800
2004-06-30,425,450.0,425.0,450,39400
2004-07-31,450,450.0,450.0,450,21000
2004-08-31,420,450.0,420.0,450,36800
2004-09-30,450,450.0,370.0,370,35700
2004-10-31,370,376.0,370.0,376,54400
2004-11-30,376,420.0,376.0,420,107000
2004-12-31,401,401.0,380.0,401,35600
2005-01-31,402,430.0,401.0,430,14600
2005-02-28,430,436.0,430.0,436,10600
2005-03-31,438,440.0,436.0,440,8000
2005-04-30,445,445.0,445.0,445,4100
2005-05-31,445,449.0,445.0,449,11000
2005-06-30,450,480.0,450.0,480,17000
2005-07-31,453,453.0,440.0,440,2700
2005-08-31,450,455.0,441.0,455,27500
2005-09-30,455,460.0,450.0,450,30500
2005-10-31,450,481.0,450.0,481,8800
2005-11-30,481,483.0,481.0,483,9200
2005-12-31,483,525.0,483.0,525,15300
2006-01-31,525,552.0,525.0,552,33700
2006-02-28,553,712.0,553.0,712,11400
2006-03-31,712,835.0,712.0,835,25200
2006-04-30,835,835.0,800.0,800,12400
2006-05-31,740,740.0,700.0,702,26000
2006-06-30,701,701.0,680.0,680,3200
2006-07-31,680,680.0,660.0,660,11300
2006-08-31,660,660.0,660.0,660,31600
2006-09-30,670,671.0,625.0,625,6100
2006-10-31,625,625.0,625.0,625,13700
2006-11-30,625,625.0,625.0,625,16300
2006-12-31,625,627.0,625.0,627,21600
2007-01-31,627,627.0,625.0,625,6100
2007-02-28,625,625.0,624.0,624,9200
2007-03-31,620,620.0,620.0,620,14800
2007-04-30,620,620.0,620.0,620,6200
2007-05-31,620,711.0,620.0,711,13100
2007-06-30,764,880.0,750.0,880,35900
2007-07-31,880,880.0,750.0,750,39800
2007-08-31,750,840.0,750.0,840,45900
2007-09-30,840,850.0,840.0,850,7900
2007-10-31,865,881.0,860.0,880,24400
2007-11-30,850,882.0,850.0,882,53200
2007-12-31,882,900.0,882.0,900,31200
2008-01-31,900,901.0,900.0,900,34000
2008-02-29,905,926.0,905.0,926,137300
2008-03-31,931,968.0,931.0,968,8200
2008-04-30,1041,1060.0,1040.0,1060,52200
2008-05-31,1070,1080.0,1070.0,1080,2700
2008-06-30,1090,1150.0,1090.0,1090,31100
2008-07-31,1080,1090.0,1080.0,1090,53400
2008-08-31,1090,1220.0,1090.0,1220,22800
2008-09-30,1220,1230.0,1220.0,1230,45700
2008-10-31,1230,1230.0,1150.0,1150,18400
2008-11-30,984,984.0,740.0,740,43600
2008-12-31,760,842.0,740.0,746,141300
2009-01-31,740,750.0,740.0,740,45700
2009-02-28,740,760.0,740.0,760,45700
2009-03-31,770,806.0,770.0,800,11400
2009-04-30,800,800.0,800.0,800,22200
2009-05-31,800,810.0,800.0,805,120300
2009-06-30,825,1002.0,825.0,960,42500
2009-07-31,1000,1000.0,980.0,1000,81400
2009-08-31,990,990.0,969.0,969,18800
2009-09-30,960,960.0,900.0,900,27600
2009-10-31,900,900.0,795.0,795,72200
2009-11-30,790,790.0,790.0,790,48100
2009-12-31,790,840.0,790.0,830,82400
2010-01-31,830,835.0,790.0,835,56600
2010-02-28,835,860.0,835.0,860,3800
2010-03-31,870,870.0,870.0,870,28300
2010-04-30,870,935.0,870.0,935,7500
2010-05-31,935,935.0,930.0,930,25500
2010-06-30,930,930.0,820.0,850,17500
2010-07-31,913,913.0,850.0,850,17300
2010-08-31,850,850.0,760.0,790,48400
2010-09-30,790,830.0,770.0,830,58800
2010-10-31,840,908.0,810.0,810,2605500
2010-11-30,860,900.0,860.0,900,42100
2010-12-31,900,900.0,900.0,900,17700
2011-01-31,900,900.0,880.0,880,6500
2011-02-28,880,880.0,880.0,880,300
2011-04-30,880,880.0,880.0,880,800
2011-05-31,880,900.0,878.0,900,84900
2011-06-30,968,968.0,750.0,750,293100
2011-07-31,750,770.0,740.0,740,33000
2011-08-31,720,761.0,720.0,761,27900
2011-09-30,761,810.0,761.0,790,83300
2011-10-31,790,800.0,790.0,800,29500
2011-11-30,800,800.0,770.0,770,52900
2011-12-31,750,750.0,740.0,740,18700
2012-01-31,740,740.0,700.0,700,31900
2012-02-29,700,730.0,700.0,705,10200
2012-03-31,720,720.0,720.0,720,10300
2012-04-30,720,775.0,720.0,720,27600
2012-05-31,770,801.0,770.0,775,124900
2012-06-30,775,810.0,775.0,810,20100
2012-07-31,810,820.0,800.0,820,17300
2012-08-31,880,880.0,811.0,811,69800
2012-09-30,811,811.0,811.0,811,11800
2012-10-31,811,850.0,810.0,850,35400
2012-11-30,850,875.0,850.0,875,31200
2012-12-31,875,920.0,860.0,920,11900
2013-01-31,930,935.0,930.0,930,8000
2013-02-28,930,933.0,930.0,933,9800
2013-03-31,933,1000.0,933.0,933,16300
2013-04-30,933,1000.0,933.0,1000,32900
2013-05-31,1000,1075.0,1000.0,1010,23800
2013-06-30,1075,1075.0,1010.0,1010,16600
2013-07-31,1000,1000.0,951.0,951,60000
