Date,Open,High,Low,Close,Volume
1998-09-30,338,400.0,338.0,400,77700
1998-12-31,400,497.0,310.0,350,889800
1999-03-31,350,360.0,310.0,320,116200
1999-06-30,340,340.0,314.0,320,182700
1999-09-30,320,366.0,320.0,330,75300
1999-12-31,330,346.0,320.0,330,67100
2000-03-31,331,355.0,322.0,322,1500700
2000-06-30,322,322.0,315.0,318,29200
2000-09-30,318,318.0,305.0,305,832400
2000-12-31,305,305.0,300.0,300,30800
2001-06-30,290,290.0,290.0,290,9900
2001-09-30,290,290.0,289.0,289,17500
2001-12-31,255,255.0,255.0,255,45100
2003-06-30,326,370.0,326.0,370,3800
2003-09-30,365,377.0,320.0,350,2942700
2003-12-31,350,385.0,345.0,376,2623400
2004-03-31,350,356.0,345.0,355,39100
2004-06-30,356,450.0,356.0,450,90700
2004-09-30,450,450.0,370.0,370,93500
2004-12-31,370,420.0,370.0,401,197000
2005-03-31,402,440.0,401.0,440,33200
2005-06-30,445,480.0,445.0,480,32100
2005-09-30,453,460.0,440.0,450,60700
2005-12-31,450,525.0,450.0,525,33300
2006-03-31,525,835.0,525.0,835,70300
2006-06-30,835,835.0,680.0,680,41600
2006-09-30,680,680.0,625.0,625,49000
2006-12-31,625,627.0,625.0,627,51600
2007-03-31,627,627.0,620.0,620,30100
2007-06-30,620,880.0,620.0,880,55200
2007-09-30,880,880.0,750.0,850,93600
2007-12-31,865,900.0,850.0,900,108800
2008-03-31,900,968.0,900.0,968,179500
2008-06-30,1041,1150.0,1040.0,1090,86000
2008-09-30,1080,1230.0,1080.0,1230,121900
2008-12-31,1230,1230.0,740.0,746,203300
2009-03-31,740,806.0,740.0,800,102800
2009-06-30,800,1002.0,800.0,960,185000
2009-09-30,1000,1000.0,900.0,900,127800
2009-12-31,900,900.0,790.0,830,202700
2010-03-31,830,870.0,790.0,870,88700
2010-06-30,870,935.0,820.0,850,50500
2010-09-30,913,913.0,760.0,830,124500
2010-12-31,840,908.0,810.0,900,2665300
2011-03-31,900,900.0,880.0,880,6800
2011-06-30,880,968.0,750.0,750,378800
2011-09-30,750,810.0,720.0,790,144200
2011-12-31,790,800.0,740.0,740,101100
2012-03-31,740,740.0,700.0,720,52400
2012-06-30,720,810.0,720.0,810,172600
2012-09-30,810,880.0,800.0,811,98900
2012-12-31,811,920.0,810.0,920,78500
2013-03-31,930,1000.0,930.0,933,34100
2013-06-30,933,1075.0,933.0,1010,73300
2013-09-30,1000,1000.0,951.0,980,114300
2013-12-31,980,1870.0,980.0,1870,260400
2014-03-31,1900,1980.0,1519.0,1520,62000
2014-06-30,1550,1700.0,1421.0,1500,102800
2014-09-30,1480,1610.0,1480.0,1600,467100
2014-12-31,1600,2000.0,1570.0,2000,2091700
2015-03-31,2000,2000.0,1830.0,1850,74000
2015-06-30,1850,4320.0,1820.0,3900,1306400
2015-09-30,3700,5020.0,3240.0,4760,1373075
2015-12-31,4740,4900.0,3600.0,4190,492955
2016-03-31,4061,4100.0,3460.0,3620,263605
2016-06-30,3690,3740.0,3270.0,3590,924390
2016-09-30,3590,4154.0,3016.0,3600,444055
2016-12-31,3580,3900.0,3071.0,3900,608395
2017-03-31,3900,3900.0,3100.0,3200,131565
2017-06-30,3240,3240.0,2400.0,3000,262470
2017-09-30,2940,3140.0,1700.0,2000,296880
2017-12-31,1900,2780.0,1758.0,2780,155605
2018-03-31,2599,2600.0,1887.0,2300,177962
2018-06-30,2130,2330.0,1750.0,1995,180642
2018-09-30,1960,2000.0,1490.0,1690,142944
2018-12-31,1690,1700.0,1005.0,1355,314525
2019-03-31,1400,1505.0,1075.0,1500,745557
2019-06-30,1500,1610.0,1350.0,1500,245993
2019-09-30,1495,1575.0,1225.0,1325,174894
2019-12-31,1420,1700.0,1100.0,1700,379970
2020-03-31,1700,1720.0,1250.0,1250,2091764
2020-06-30,1300,1545.0,1195.0,1465,59932
2020-09-30,1465,1465.0,1110.0,1260,156091
2020-12-31,1265,1625.0,1005.0,1590,683273
2021-03-31,1500,1550.0,1150.0,1225,64175
2021-06-30,1280,1500.0,1185.0,1490,91041
2021-09-30,1485,1980.0,1455.0,1800,92472
2021-12-31,1800,2480.0,1665.0,2100,135891
2022-03-31,2100,2450.0,2000.0,2300,183897
2022-06-30,2375,2470.0,2100.0,2355,126803
2022-09-30,2300,2380.0,2145.0,2295,127202
2022-12-31,2300,2500.0,1885.0,1895,760696
2023-03-31,1895,2295.0,1865.0,2120,165093
2023-06-30,2105,2295.0,1995.0,2290,111485
2023-09-30,2290,2380.0,1995.0,2160,708512
2023-12-31,2190,2200.0,1645.0,1800,262453
2024-03-31,1710,1865.0,1555.0,1620,585816
2024-06-30,1680,2150.0,1600.0,2110,206306
2024-09-30,2115,2700.0,2100.0,2290,478318
2024-12-31,2270,2550.0,2160.0,2500,228702
2025-03-31,2500,3905.0,2350.0,3480,454875
2025-06-30,3485,4190.0,2225.0,2650,641906
2025-09-30,2695,2700.0,2260.0,2400,551317
2025-12-31,2445,2535.0,2100.0,2335,489394
2026-03-31,2335,3300.0,2300.0,2880,569477
2026-06-30,2750,3060.0,2610.0,2870,471880
2026-09-30,2800,3500.0,2730.0,3400,287044
