Date,Open,High,Low,Close,Volume
1998-09-21,338,363.0,338.0,363,9200
1998-09-28,390,400.0,390.0,400,64500
1998-10-05,400,430.0,400.0,430,37800
1998-10-12,462,497.0,462.0,497,55900
1998-10-19,497,497.0,460.0,460,14800
1998-10-26,426,440.0,426.0,440,12100
1998-11-02,450,450.0,450.0,450,6300
1998-11-09,450,450.0,450.0,450,2600
1998-11-16,430,430.0,430.0,430,200
1998-11-23,390,390.0,390.0,390,300
1998-11-30,361,361.0,361.0,361,5000
1998-12-14,350,350.0,350.0,350,25200
1998-12-21,310,330.0,310.0,330,12100
1998-12-28,350,350.0,350.0,350,363800
1999-01-04,350,350.0,350.0,350,363200
1999-01-11,350,360.0,350.0,360,8300
1999-01-25,360,360.0,360.0,360,1000
1999-02-01,350,350.0,350.0,350,1000
1999-02-15,320,320.0,320.0,320,1000
1999-02-22,310,320.0,310.0,320,3600
1999-03-01,320,320.0,320.0,320,40100
1999-03-08,320,320.0,320.0,320,3500
1999-03-15,318,318.0,310.0,310,6000
1999-03-22,310,310.0,310.0,310,3200
1999-03-29,320,330.0,320.0,330,30600
1999-04-05,320,340.0,320.0,340,23900
1999-04-12,340,340.0,340.0,340,1000
1999-04-19,340,340.0,340.0,340,13900
1999-04-26,340,340.0,315.0,315,1700
1999-05-03,340,340.0,340.0,340,2300
1999-05-10,340,340.0,340.0,340,700
1999-05-17,340,340.0,340.0,340,1900
1999-05-31,315,315.0,315.0,315,12700
1999-06-07,315,315.0,314.0,314,25500
1999-06-14,314,314.0,314.0,314,90900
1999-06-28,335,335.0,314.0,314,10000
1999-07-05,320,320.0,320.0,320,13500
1999-07-12,320,340.0,320.0,340,13300
1999-07-19,341,366.0,341.0,366,6900
1999-08-02,366,366.0,345.0,345,3400
1999-08-09,345,345.0,345.0,345,100
1999-08-23,345,345.0,345.0,345,26400
1999-08-30,340,340.0,340.0,340,1000
1999-09-06,330,331.0,330.0,331,5000
1999-09-13,330,330.0,330.0,330,2800
1999-09-20,330,330.0,330.0,330,6600
1999-09-27,330,330.0,330.0,330,6400
1999-10-04,330,330.0,330.0,330,2200
1999-10-11,329,329.0,329.0,329,1000
1999-10-18,335,345.0,335.0,345,5700
1999-10-25,345,346.0,345.0,346,16900
1999-11-08,336,336.0,336.0,336,7200
1999-11-15,330,330.0,330.0,330,1100
1999-11-22,336,336.0,329.0,329,18000
1999-11-29,325,325.0,325.0,325,2800
1999-12-06,320,320.0,320.0,320,1600
1999-12-13,330,330.0,330.0,330,5000
1999-12-20,330,330.0,330.0,330,6000
2000-01-03,330,330.0,330.0,330,100
2000-01-10,331,335.0,331.0,335,4800
2000-01-17,330,330.0,330.0,330,1200
2000-01-24,330,330.0,330.0,330,7500
2000-02-07,330,330.0,330.0,330,300
2000-02-14,330,330.0,330.0,330,731700
2000-02-21,355,355.0,335.0,335,727300
2000-02-28,335,335.0,335.0,335,5600
2000-03-06,335,335.0,335.0,335,800
2000-03-13,335,335.0,335.0,335,1000
2000-03-20,334,334.0,334.0,334,1000
2000-03-27,325,325.0,325.0,325,12300
2000-04-03,322,322.0,322.0,322,7200
2000-04-10,322,322.0,322.0,322,200
2000-04-17,320,320.0,320.0,320,2300
2000-04-24,315,315.0,315.0,315,10000
2000-05-01,315,315.0,315.0,315,300
2000-05-08,315,315.0,315.0,315,1000
2000-05-15,318,318.0,318.0,318,1300
