Date,Open,High,Low,Close,Volume
1998-12-31,338,497.0,310.0,350,967500
1999-12-31,350,366.0,310.0,330,441300
2000-12-31,331,355.0,300.0,300,2393100
2001-12-31,290,290.0,255.0,255,72500
2003-12-31,326,385.0,320.0,376,5569900
2004-12-31,350,450.0,345.0,401,420300
2005-12-31,402,525.0,401.0,525,159300
2006-12-31,525,835.0,525.0,627,212500
2007-12-31,627,900.0,620.0,900,287700
2008-12-31,900,1230.0,740.0,746,590700
2009-12-31,740,1002.0,740.0,830,618300
2010-12-31,830,935.0,760.0,900,2929000
2011-12-31,900,968.0,720.0,740,630900
2012-12-31,740,920.0,700.0,920,402400
2013-12-31,930,1870.0,930.0,1870,482100
2014-12-31,1900,2000.0,1421.0,2000,2723600
2015-12-31,2000,5020.0,1820.0,4190,3246430
2016-12-31,4061,4154.0,3016.0,3900,2240445
2017-12-31,3900,3900.0,1700.0,2780,846520
2018-12-31,2599,2600.0,1005.0,1355,816073
2019-12-31,1400,1700.0,1075.0,1700,1546414
2020-12-31,1700,1720.0,1005.0,1590,2991060
2021-12-31,1500,2480.0,1150.0,2100,383579
2022-12-31,2100,2500.0,1885.0,1895,1198598
2023-12-31,1895,2380.0,1645.0,1800,1247543
2024-12-31,1710,2700.0,1555.0,2500,1499142
2025-12-31,2500,4190.0,2100.0,2335,2137492
2026-12-31,2335,3350.0,2300.0,3300,1300053
