Date,Open,High,Low,Close,Volume
2015-02-20,1290,1290,1290,1290,1530
2015-02-23,1387,1387,1387,1387,320
2015-02-24,1490,1490,1490,1490,1150
2015-02-25,1602,1602,1602,1602,400
2015-02-26,1722,1722,1722,1722,130
2015-02-27,1851,1851,1851,1851,500
2015-03-02,1989,1989,1989,1989,150
2015-03-03,2138,2138,2138,2138,600
2015-03-04,2298,2298,2298,2298,500
2015-03-05,2470,2470,2470,2470,200
2015-03-06,2655,2655,2655,2655,100
2015-03-09,2854,2854,2854,2854,112200
2015-03-10,3068,3068,3068,3068,124190
2015-03-11,3298,3298,3298,3298,139760
2015-03-12,3545,3545,3501,3545,39730
2015-03-13,3811,3811,3810,3811,155510
2015-03-16,4096,4096,3900,3900,197100
2015-03-17,3800,3810,3750,3810,20480
2015-03-18,3800,3800,3600,3600,4290
2015-03-19,3550,3550,3350,3350,12360
2015-03-20,3400,3400,3100,3349,5710
2015-03-23,3348,3348,3101,3101,12470
2015-03-24,3200,3200,3090,3090,11070
2015-03-25,3100,3100,3000,3090,3460
2015-03-26,3000,3070,3000,3070,9280
2015-03-27,3050,3090,3050,3070,4100
2015-03-30,3070,3075,3070,3070,13150
2015-03-31,3090,3090,2840,3090,7630
2015-04-01,3090,3090,3070,3090,6390
2015-04-02,3070,3090,3050,3050,3930
2015-04-03,3050,3050,3000,3000,1020
2015-04-07,3000,3045,2950,3000,7170
2015-04-08,3000,3050,3000,3000,66170
2015-04-09,3000,3000,3000,3000,1400
2015-04-10,2990,3000,2990,3000,3030
2015-04-13,3000,3000,3000,3000,9270
2015-04-14,3000,3000,3000,3000,225760
2015-04-15,3000,3000,3000,3000,950
2015-04-16,3001,3068,3000,3000,1750
2015-04-17,3000,3000,2900,2900,2230
2015-04-20,3000,3000,3000,3000,180
2015-04-21,3000,3000,2900,3000,3140
2015-04-22,2999,2999,2999,2999,610
2015-04-23,2990,2990,2990,2990,630
2015-04-24,2901,3000,2800,2990,7900
2015-04-27,3000,3000,2995,2995,710
2015-04-28,2897,3000,2850,2940,2740
2015-04-29,2940,2940,2800,2800,1910
2015-04-30,2856,2940,2820,2900,11950
2015-05-04,2900,2940,2900,2940,5860
2015-05-05,2930,3000,2800,2800,13370
2015-05-06,2930,2950,2900,2900,1330
2015-05-07,2900,2900,2800,2900,1670
2015-05-08,2850,2900,2850,2850,1380
2015-05-11,2801,2850,2800,2850,1370
2015-05-12,3000,3000,2800,2800,4790
2015-05-13,2800,2800,2800,2800,120
2015-05-15,2800,2800,2800,2800,1260
2015-05-18,2800,2801,2800,2800,1630
2015-05-19,2800,2800,2790,2800,2220
2015-05-20,2799,2800,2600,2790,1640
2015-05-21,2790,2790,2779,2779,800
2015-05-22,2789,2790,2700,2700,1920
2015-05-26,2700,2700,2700,2700,5170
2015-05-27,2710,2710,2700,2700,4220
2015-05-28,2700,2770,2700,2770,2250
2015-05-29,2701,2750,2701,2750,2830
2015-06-01,2730,2779,2710,2779,3680
2015-06-02,2750,2750,2700,2735,750
2015-06-03,2750,2750,2701,2701,1510
2015-06-04,2780,2780,2701,2701,1400
2015-06-05,2779,2790,2730,2790,410
2015-06-08,2720,2770,2720,2750,1460
2015-06-09,2750,2750,2702,2720,2220
2015-06-10,2720,2750,2701,2750,3360
2015-06-11,2755,2790,2750,2790,3310
2015-06-12,2800,2800,2790,2795,1790
2015-06-15,2800,2801,2750,2801,3080
2015-06-16,3000,3011,3000,3011,2130
2015-06-17,3100,3231,3100,3101,2960
2015-06-18,3000,3000,3000,3000,7820
2015-06-19,2800,2800,2775,2790,2640
2015-06-22,2770,2770,2710,2770,5960
2015-06-23,2770,2770,2705,2750,4120
2015-06-24,2701,2750,2701,2750,6510
2015-06-25,2740,2740,2730,2730,1860
2015-06-26,2710,2720,2700,2720,2290
2015-06-29,2720,2791,2701,2701,6160
2015-06-30,2702,2800,2702,2800,2910
2015-07-01,2850,2850,2790,2850,1870
2015-07-02,2801,2900,2801,2900,350
2015-07-03,2812,2900,2812,2900,3130
2015-07-06,2911,2951,2911,2951,1450
2015-07-07,2911,2941,2800,2900,2620
2015-07-08,2900,2900,2800,2800,2380
2015-07-09,2750,2780,2750,2780,1140
2015-07-10,2761,2761,2741,2741,2920
2015-07-13,2740,2760,2702,2760,4590
2015-07-15,2710,2750,2702,2702,5020
2015-07-16,2720,2750,2705,2750,5220
2015-07-20,2720,2750,2720,2720,3350
2015-07-21,2730,2750,2720,2750,3990
2015-07-22,2750,2800,2750,2800,3780
2015-07-23,2800,2900,2800,2900,4050
2015-07-24,2905,2950,2905,2950,620
2015-07-27,2850,2900,2800,2900,3030
2015-07-28,2850,2851,2850,2850,1980
2015-07-29,2760,2800,2750,2760,6070
2015-07-30,2800,2800,2760,2770,3490
2015-07-31,2750,2800,2750,2800,6400
2015-08-03,2730,2800,2730,2800,5900
2015-08-04,2760,2800,2760,2800,3220
2015-08-05,2800,2800,2770,2800,1030
2015-08-06,2780,2800,2780,2790,1170
2015-08-10,2781,2800,2650,2650,39170
2015-08-11,2650,2700,2650,2700,1110
2015-08-12,2700,2700,2650,2700,1700
2015-08-13,2650,2700,2650,2651,2710
2015-08-14,2700,2700,2650,2650,4830
2015-08-17,2651,2700,2650,2650,3170
2015-08-18,2650,2650,2650,2650,1010
2015-08-19,2651,2700,2651,2651,800
2015-08-20,2660,2660,2651,2660,1350
2015-08-21,2651,2659,2651,2659,730
2015-08-24,2650,2660,2650,2650,2820
2015-08-25,2650,2659,2650,2659,4790
2015-08-26,2650,2659,2650,2652,3150
2015-08-27,2630,2650,2600,2600,1580
2015-08-28,2580,2630,2580,2600,3620
2015-08-31,2600,2660,2600,2660,2860
2015-09-01,2620,2659,2600,2659,960
2015-09-02,2600,2660,2600,2600,4260
2015-09-03,2560,2600,2560,2600,1300
2015-09-04,2600,2650,2575,2650,2210
2015-09-07,2600,2611,2560,2560,1640
2015-09-08,2550,2600,2550,2600,4080
2015-09-09,2590,2600,2590,2600,11500
2015-09-10,2600,2600,2561,2600,1650
2015-09-11,2570,2600,2536,2550,3280
2015-09-14,2550,2550,2521,2550,3060
2015-09-15,2521,2550,2521,2550,2610
2015-09-16,2541,2550,2520,2550,4900
2015-09-17,2530,2550,2525,2525,1870
2015-09-18,2520,2550,2520,2550,2790
2015-09-21,2560,2600,2500,2590,1510
2015-09-22,2550,2550,2500,2550,850
2015-09-23,2550,2600,2550,2600,1590
2015-09-25,2560,2600,2560,2600,2170
2015-09-28,2576,2600,2550,2600,1670
2015-09-29,2600,2600,2580,2600,2270
2015-09-30,2600,2600,2560,2560,1060
2015-10-01,2600,2715,2580,2601,1680
2015-10-02,2600,2650,2600,2650,480
2015-10-05,2650,2700,2650,2700,520
2015-10-06,2700,2700,2690,2700,1130
2015-10-07,2700,2700,2650,2650,550
2015-10-08,2650,2660,2600,2660,260
2015-10-09,2661,2661,2650,2650,4140
