Date,Open,High,Low,Close,Volume
2015-02-28,1290,1851,1290,1851,4030
2015-03-31,1989,4096,1989,3090,874040
2015-04-30,3090,3090,2800,2900,358840
2015-05-31,2900,3000,2600,2750,53830
2015-06-30,2730,3231,2700,2800,68330
2015-07-31,2850,2951,2702,2800,67450
2015-08-31,2730,2800,2580,2660,86720
2015-09-30,2620,2660,2500,2560,57230
2015-10-31,2600,2750,2580,2700,36340
2015-11-30,2700,2800,2581,2600,85080
2015-12-31,2600,2700,2500,2620,214820
2016-01-31,2500,2601,2490,2600,58600
2016-02-29,2501,2801,2501,2750,62430
2016-03-31,2705,2800,2660,2800,35750
2016-04-30,2801,3400,2750,2850,51420
2016-05-31,2900,3000,2750,2850,59000
2016-06-30,2800,3050,2750,2781,61420
2016-07-31,2800,2800,2490,2500,54420
2016-08-31,2430,2470,2310,2350,42350
2016-09-30,2350,2850,2335,2400,66410
2016-10-31,2560,2560,2000,2051,16810
2016-11-30,2050,2050,1900,1900,26050
2016-12-31,1900,2139,1700,2139,230120
2017-01-31,2139,2139,1731,1780,23280
2017-02-28,1800,1900,1753,1780,32440
2017-03-31,1780,1820,1605,1800,48210
2017-04-30,1800,1850,1675,1675,18440
2017-05-31,1700,1850,1485,1485,16550
2017-06-30,1500,1600,1405,1600,84460
2017-07-31,1600,1840,1600,1750,40510
2017-08-31,1751,1751,1249,1451,19710
2017-09-30,1401,1600,1401,1560,23150
2017-10-31,1500,1670,1500,1600,40520
2017-11-30,1720,1720,1495,1500,35246
2017-12-31,1600,1900,1480,1900,374691
2018-01-31,1900,1900,1580,1680,23740
2018-02-28,1655,1700,1650,1695,22585
2018-03-31,1690,2000,1680,1705,69755
2018-04-30,1750,1795,1650,1660,39302
2018-05-31,1665,1700,1445,1700,35053
2018-06-30,1685,1700,1590,1685,23741
2018-07-31,1680,1680,1495,1495,29405
2018-08-31,1495,1500,1400,1500,25237
2018-09-30,1500,1500,1205,1300,15437
2018-10-31,1300,1395,1130,1290,17728
2018-11-30,1250,1300,1250,1300,21592
2018-12-31,1290,1510,1250,1450,18905
2019-01-31,1405,1495,1340,1400,17232
2019-02-28,1300,1445,1290,1395,30844
2019-03-31,1400,1400,1290,1345,18848
2019-04-30,1345,1450,1300,1450,20172
2019-05-31,1450,1600,1445,1445,25247
2019-06-30,1400,1440,1300,1335,14066
2019-07-31,1335,1590,1250,1400,27240
2019-08-31,1400,1450,1400,1420,22923
2019-09-30,1420,1470,1250,1280,30485
2019-10-31,1270,1375,1175,1250,30355
2019-11-30,1250,1400,1200,1335,67486
2019-12-31,1340,1750,1300,1700,2061191
2020-01-31,1700,1700,1300,1500,25931
2020-02-29,1425,1500,1400,1500,59939
2020-03-31,1495,1500,1300,1300,31942
2020-04-30,1295,1350,1200,1350,22142
2020-05-31,1350,1405,1310,1400,10948
2020-06-30,1400,1500,1350,1405,12161
2020-07-31,1405,1410,1205,1290,57347
2020-08-31,1285,1310,1200,1280,23273
2020-09-30,1275,1300,1225,1300,17766
2020-10-31,1285,1300,1250,1280,23364
2020-11-30,1275,1550,1265,1400,87180
2020-12-31,1375,1800,1375,1800,118241
2021-01-31,1665,1665,1300,1350,24571
2021-02-28,1350,1350,1270,1300,16959
2021-03-31,1310,1400,1280,1395,18092
2021-04-30,1400,1400,1210,1365,20807
2021-05-31,1340,1445,1280,1445,40008
2021-06-30,1445,1950,1440,1890,87952
2021-07-31,1895,1950,1685,1685,57458
2021-08-31,1685,1830,1620,1785,45503
2021-09-30,1770,1825,1700,1785,38246
2021-10-31,1800,2025,1730,2025,59330
2021-11-30,2000,2100,1890,2100,26619
2021-12-31,2100,2325,1960,1975,79963
2022-01-31,2000,2100,1850,2100,32854
2022-02-28,2100,2365,1970,2360,59659
2022-03-31,2350,2805,2250,2500,41804
2022-04-30,2505,2650,2300,2395,18015
2022-05-31,2400,2550,2260,2400,23100
2022-06-30,2400,2620,2340,2400,70392
2022-07-31,2485,2590,2175,2300,33290
2022-08-31,2200,2750,2200,2650,35026
2022-09-30,2645,2650,2260,2405,60447
2022-10-31,2405,2500,2120,2500,33190
2022-11-30,2500,2680,2325,2375,41236
2022-12-31,2375,2695,2325,2535,533614
2023-01-31,2535,2535,2310,2495,17405
2023-02-28,2495,2830,2425,2830,92396
2023-03-31,2650,2830,2555,2565,51906
2023-04-30,2575,2740,2450,2600,23612
2023-05-31,2640,2645,2440,2600,24634
2023-06-30,2600,2680,2500,2630,60447
2023-07-31,2620,2745,2365,2490,37995
2023-08-31,2490,2640,2400,2640,290353
2023-09-30,2650,2915,2600,2710,26492
2023-10-31,2735,2895,2450,2450,55869
2023-11-30,2450,2600,2315,2450,70878
2023-12-31,2450,2550,2160,2500,51582
2024-01-31,2315,2500,2130,2290,20467
2024-02-29,2280,2430,2150,2400,19755
2024-03-31,2400,2450,2135,2450,55563
2024-04-30,2445,2620,2200,2440,32196
2024-05-31,2265,2415,2100,2200,51604
2024-06-30,2225,2500,2120,2390,46057
2024-07-31,2350,2350,2000,2200,64534
2024-08-31,2210,2320,2090,2190,39234
2024-09-30,2190,2365,2150,2345,58044
2024-10-31,2345,2400,2160,2395,31383
2024-11-30,2400,2435,2150,2315,32003
2024-12-31,2350,2430,2085,2300,30137
2025-01-31,2300,2400,2200,2200,12651
2025-02-28,2200,2395,2200,2365,37129
2025-03-31,2370,2450,2300,2440,57530
2025-04-30,2355,2545,2200,2525,41300
2025-05-31,2500,2545,2400,2500,62667
2025-06-30,2525,2785,2500,2725,84502
2025-07-31,2725,2750,2255,2500,100348
2025-08-31,2500,2600,2380,2580,41151
2025-09-30,2580,2595,2300,2490,64929
2025-10-31,2460,2600,2430,2500,58822
2025-11-30,2495,2555,2470,2555,34053
2025-12-31,2555,2565,2465,2500,24149
2026-01-31,2510,2680,2350,2600,20540
2026-02-28,2600,3005,2600,2910,53539
2026-03-31,2940,3495,2940,3250,100903
2026-04-30,3350,3400,2850,3250,55070
2026-05-31,3250,3350,2810,3350,37435
2026-06-30,3350,3995,3300,3895,51704
2026-07-31,3800,4510,3500,3655,92667
2026-08-31,3625,3975,3500,3850,32867
