Date,Open,High,Low,Close,Volume
2015-03-31,1290,4096,1290,3090,878070
2015-06-30,3090,3231,2600,2800,481000
2015-09-30,2850,2951,2500,2560,211400
2015-12-31,2600,2800,2500,2620,336240
2016-03-31,2500,2801,2490,2800,156780
2016-06-30,2801,3400,2750,2781,171840
2016-09-30,2800,2850,2310,2400,163180
2016-12-31,2560,2560,1700,2139,272980
2017-03-31,2139,2139,1605,1800,103930
2017-06-30,1800,1850,1405,1600,119450
2017-09-30,1600,1840,1249,1560,83370
2017-12-31,1500,1900,1480,1900,450457
2018-03-31,1900,2000,1580,1705,116080
2018-06-30,1750,1795,1445,1685,98096
2018-09-30,1680,1680,1205,1300,70079
2018-12-31,1300,1510,1130,1450,58225
2019-03-31,1405,1495,1290,1345,66924
2019-06-30,1345,1600,1300,1335,59485
2019-09-30,1335,1590,1250,1280,80648
2019-12-31,1270,1750,1175,1700,2159032
2020-03-31,1700,1700,1300,1300,117812
2020-06-30,1295,1500,1200,1405,45251
2020-09-30,1405,1410,1200,1300,98386
2020-12-31,1285,1800,1250,1800,228785
2021-03-31,1665,1665,1270,1395,59622
2021-06-30,1400,1950,1210,1890,148767
2021-09-30,1895,1950,1620,1785,141207
2021-12-31,1800,2325,1730,1975,165912
2022-03-31,2000,2805,1850,2500,134317
2022-06-30,2505,2650,2260,2400,111507
2022-09-30,2485,2750,2175,2405,128763
2022-12-31,2405,2695,2120,2535,608040
2023-03-31,2535,2830,2310,2565,161707
2023-06-30,2575,2740,2440,2630,108693
2023-09-30,2620,2915,2365,2710,354840
2023-12-31,2735,2895,2160,2500,178329
2024-03-31,2315,2500,2130,2450,95785
2024-06-30,2445,2620,2100,2390,129857
2024-09-30,2350,2365,2000,2345,161812
2024-12-31,2345,2435,2085,2300,93523
2025-03-31,2300,2450,2200,2440,107310
2025-06-30,2355,2785,2200,2725,188469
2025-09-30,2725,2750,2255,2490,206428
2025-12-31,2460,2600,2430,2500,117024
2026-03-31,2510,3495,2350,3250,174982
2026-06-30,3350,3995,2810,3895,144209
2026-09-30,3800,4510,3500,3700,117320
