Date,Open,High,Low,Close,Volume
2015-02-23,1290,1387,1290,1387,1850
2015-03-02,1490,1989,1490,1989,2330
2015-03-09,2138,2854,2138,2854,113600
2015-03-16,3068,4096,3068,3900,656290
2015-03-23,3800,3810,3100,3101,55310
2015-03-30,3200,3200,3000,3070,41060
2015-04-06,3090,3090,2840,3000,18970
2015-04-13,3000,3050,2950,3000,87040
2015-04-20,3000,3068,2900,3000,230870
2015-04-27,3000,3000,2800,2995,12990
2015-05-04,2897,3000,2800,2940,22460
2015-05-11,2930,3000,2800,2850,19120
2015-05-18,3000,3000,2800,2800,7800
2015-05-25,2800,2800,2600,2700,6580
2015-06-01,2700,2779,2700,2779,18150
2015-06-08,2750,2790,2700,2750,5530
2015-06-15,2750,2801,2701,2801,13760
2015-06-22,3000,3231,2710,2770,21510
2015-06-29,2770,2791,2700,2701,20940
2015-07-06,2702,2951,2702,2951,9710
2015-07-13,2911,2941,2702,2760,13650
2015-07-20,2710,2750,2702,2720,13590
2015-07-27,2730,2950,2720,2900,15470
2015-08-03,2850,2851,2730,2800,23840
2015-08-10,2760,2800,2650,2650,44590
2015-08-17,2650,2700,2650,2650,13520
2015-08-24,2650,2700,2650,2650,6710
2015-08-31,2650,2660,2580,2660,16000
2015-09-07,2620,2660,2560,2560,10370
2015-09-14,2550,2600,2521,2550,23570
2015-09-21,2521,2600,2500,2590,13680
2015-09-28,2550,2600,2500,2600,6280
2015-10-05,2600,2715,2560,2700,6010
2015-10-12,2700,2700,2600,2600,6810
2015-10-19,2601,2630,2601,2630,8280
2015-10-26,2630,2660,2630,2650,8180
2015-11-02,2650,2750,2650,2750,13080
2015-11-09,2750,2800,2701,2703,7380
2015-11-16,2702,2702,2600,2600,55090
2015-11-23,2601,2620,2600,2600,8390
2015-11-30,2600,2720,2581,2600,11530
2015-12-07,2600,2700,2600,2610,3170
2015-12-14,2610,2630,2501,2550,6840
2015-12-21,2501,2540,2500,2500,12010
2015-12-28,2510,2540,2500,2501,4700
2016-01-04,2540,2621,2500,2500,193430
2016-01-11,2500,2601,2500,2500,4530
2016-01-18,2530,2600,2500,2550,7860
2016-01-25,2550,2550,2500,2500,9090
2016-02-01,2500,2600,2490,2550,36400
2016-02-08,2550,2590,2502,2570,6850
2016-02-15,2551,2600,2551,2600,17440
2016-02-22,2610,2801,2610,2700,23410
2016-02-29,2800,2800,2700,2750,10120
2016-03-07,2705,2750,2660,2740,8940
2016-03-14,2740,2740,2710,2720,9810
2016-03-21,2720,2725,2700,2720,6930
2016-03-28,2720,2750,2715,2721,3970
2016-04-04,2721,3200,2721,3200,14340
2016-04-11,3150,3400,3150,3300,28840
2016-04-18,3250,3250,2750,2850,5240
2016-04-25,2850,2900,2849,2860,6850
2016-05-02,2900,2900,2850,2850,2250
2016-05-09,2900,3000,2850,2900,6200
2016-05-16,2900,2990,2880,2950,5670
2016-05-23,3000,3000,2862,2900,10060
2016-05-30,2945,2945,2750,2800,36920
2016-06-06,2850,2860,2750,2800,12240
2016-06-13,2850,3050,2800,3000,18510
2016-06-20,3000,3050,2800,2999,15150
2016-06-27,2990,2990,2750,2760,6350
2016-07-04,2755,2800,2755,2770,10760
2016-07-11,2771,2781,2762,2762,10580
2016-07-18,2762,2762,2635,2680,15520
2016-07-25,2550,2680,2550,2550,17340
2016-08-01,2600,2600,2430,2430,14070
2016-08-08,2430,2446,2430,2446,10790
2016-08-15,2446,2470,2310,2450,9010
2016-08-22,2465,2470,2440,2460,6550
2016-08-29,2440,2440,2400,2400,7160
2016-09-05,2350,2808,2340,2808,23900
2016-09-12,2800,2850,2500,2570,26570
2016-09-19,2600,2600,2500,2500,1400
2016-09-26,2500,2500,2380,2485,9050
2016-10-03,2486,2560,2335,2560,9850
2016-10-10,2550,2550,2289,2300,5150
2016-10-17,2300,2350,2250,2250,4170
2016-10-24,2200,2250,2120,2120,3270
2016-10-31,2115,2120,2000,2051,4170
2016-11-07,2050,2050,2000,2000,11400
2016-11-14,2000,2000,1900,1981,5030
2016-11-21,2050,2050,1961,1980,3540
2016-11-28,1985,2000,1900,1900,5480
2016-12-05,1920,1970,1800,1950,2980
2016-12-12,1900,1900,1800,1900,107060
2016-12-19,1900,1900,1700,1730,5370
2016-12-26,1800,2000,1800,2000,6900
2017-01-02,1938,2139,1900,2000,109350
2017-01-09,1950,1950,1920,1949,990
2017-01-16,1901,1920,1800,1800,6350
2017-01-23,1800,1850,1731,1795,4380
2017-01-30,1800,1801,1751,1751,7550
2017-02-06,1753,1801,1753,1780,4800
2017-02-13,1754,1900,1753,1755,14610
2017-02-20,1754,1850,1754,1761,4790
2017-02-27,1760,1800,1760,1771,8170
2017-03-06,1790,1800,1761,1769,7670
2017-03-13,1800,1800,1605,1735,5160
2017-03-20,1735,1770,1701,1750,9780
2017-03-27,1770,1800,1770,1800,22620
2017-04-03,1800,1820,1775,1775,6740
2017-04-10,1800,1850,1800,1810,4530
2017-04-17,1801,1850,1800,1840,2620
2017-04-24,1751,1751,1751,1751,7170
2017-05-01,1800,1800,1675,1675,3500
2017-05-08,1700,1850,1700,1830,4260
2017-05-15,1750,1755,1700,1700,3470
2017-05-22,1700,1700,1554,1569,4630
2017-05-29,1554,1580,1500,1545,3480
2017-06-05,1545,1570,1485,1570,4650
2017-06-12,1500,1590,1405,1430,12730
2017-06-19,1500,1520,1500,1510,10230
2017-06-26,1520,1540,1510,1540,2050
2017-07-03,1540,1680,1530,1600,58550
2017-07-10,1600,1720,1600,1720,5000
2017-07-17,1705,1800,1705,1720,5250
2017-07-24,1750,1840,1730,1752,14640
2017-07-31,1751,1752,1700,1750,12580
2017-08-07,1751,1751,1600,1700,3640
2017-08-14,1700,1700,1669,1669,500
2017-08-21,1650,1650,1500,1500,2600
2017-08-28,1500,1500,1249,1249,9540
2017-09-04,1251,1451,1251,1401,4120
