Date,Open,High,Low,Close,Volume
2001-06-20,36000,36000,36000,36000,10
2001-07-30,36000,36000,36000,36000,10
2001-08-01,36000,36000,36000,36000,30
2001-08-03,36000,36000,36000,36000,101
2001-08-08,36000,36000,36000,36000,56
2001-08-10,36000,36000,36000,36000,58
2001-08-16,36050,36050,36050,36050,10
2001-08-17,36100,36100,36100,36100,21
2001-08-22,36105,36105,36105,36105,56
2001-08-24,36200,36200,36200,36200,132
2001-08-29,36200,36200,36200,36200,100
2001-08-31,36500,36500,36500,36500,59
2001-09-03,36500,36500,36500,36500,63
2001-09-05,37100,37100,37100,37100,20
2001-09-07,37500,37500,37500,37500,44
2001-09-12,37800,37800,37800,37800,12
2001-09-17,39500,39500,39500,39500,63
2001-09-19,41000,41000,41000,41000,61
2001-09-24,42000,42000,42000,42000,650
2001-09-26,42000,42000,42000,42000,126
2001-09-28,42000,42000,42000,42000,37
2001-10-01,40995,40995,40995,40995,22
2001-10-03,40995,40995,40995,40995,28
2001-10-05,40000,40000,40000,40000,44
2001-10-10,40000,40000,40000,40000,8
2001-10-12,40000,40000,40000,40000,100
2001-10-17,40000,40000,40000,40000,10
2001-10-26,40000,40000,40000,40000,25
2001-10-31,39995,39995,39995,39995,17
2001-11-02,40000,40000,40000,40000,267
2001-11-05,40000,40000,40000,40000,31
2001-11-07,40000,40000,40000,40000,329
2001-11-09,40000,40000,40000,40000,466
2001-11-12,40000,40000,40000,40000,3
2001-11-13,40000,40000,40000,40000,10
2001-11-14,40000,40000,40000,40000,5
2001-11-16,39500,39500,39500,39500,113
2001-11-19,39500,39500,39500,39500,190
2001-11-20,40000,40000,40000,40000,95
2001-11-22,40000,40000,40000,40000,552
2001-11-23,40000,40000,40000,40000,284
2001-11-26,40000,40000,40000,40000,5
2001-11-28,40000,40000,40000,40000,24
2001-12-04,40000,40000,40000,40000,422
2001-12-05,40000,40000,40000,40000,52
2001-12-06,40000,40000,40000,40000,3
2001-12-07,40000,40000,40000,40000,5
2001-12-10,39500,39500,39500,39500,39
2001-12-13,39500,39500,39500,39500,306
2001-12-14,39500,39500,39500,39500,7
2001-12-17,39500,39500,39500,39500,1
2001-12-18,39500,39500,39500,39500,33
2001-12-19,40000,40000,40000,40000,25
2001-12-20,40000,40000,40000,40000,175
2001-12-21,40000,40000,40000,40000,13
2001-12-24,40000,40000,40000,40000,20
2001-12-26,40000,40000,40000,40000,1
2001-12-27,40000,40000,40000,40000,47
2001-12-28,40000,40000,40000,40000,158
2002-01-03,39500,39500,39500,39500,54
2002-01-07,40000,40000,40000,40000,15
2002-01-10,40000,40000,40000,40000,80
2002-01-11,40000,40000,40000,40000,24
2002-01-14,40000,40000,40000,40000,303
2002-01-15,40000,40000,40000,40000,8
2002-01-21,39500,39500,39500,39500,36
2002-01-22,39500,39500,39500,39500,32
2002-01-24,39500,39500,39500,39500,59
2002-01-25,39500,39500,39500,39500,62
2002-01-30,36540,36540,36540,36540,15
2002-01-31,36540,36540,36540,36540,58
2002-02-01,36540,36540,36540,36540,10
2002-02-07,36540,36540,36540,36540,5
2002-02-08,37000,37000,37000,37000,46
2002-02-11,37000,37000,37000,37000,1
2002-02-12,38000,38000,38000,38000,39
2002-02-13,38550,38550,38550,38550,9
2002-02-14,38550,38550,38550,38550,33
2002-02-18,38550,38550,38550,38550,12
2002-02-20,40000,40000,40000,40000,89
2002-02-26,40000,40000,40000,40000,10
2002-02-27,40000,40000,40000,40000,9
2002-03-01,40000,40000,40000,40000,1
2002-03-04,40000,40000,40000,40000,13
2002-03-05,40000,40000,40000,40000,21
2002-03-06,39995,39995,39995,39995,232
