Date,Open,High,Low,Close,Volume
2001-06-30,36000,36000.0,36000.0,36000,10
2001-07-31,36000,36000.0,36000.0,36000,10
2001-08-31,36000,36500.0,36000.0,36500,623
2001-09-30,36500,42000.0,36500.0,42000,1076
2001-10-31,40995,40995.0,39995.0,39995,254
2001-11-30,40000,40000.0,39500.0,40000,2374
2001-12-31,40000,40000.0,39500.0,40000,1307
2002-01-31,39500,40000.0,36540.0,36540,746
2002-02-28,36540,40000.0,36540.0,40000,263
2002-03-31,40000,40000.0,38000.0,38000,748
2002-04-30,38000,38000.0,37500.0,37500,410
2002-05-31,37200,38900.0,37000.0,38900,333
2002-06-30,38905,40005.0,38905.0,40005,259
2002-07-31,40000,40000.0,38995.0,39000,728
2002-08-31,39000,39005.0,39000.0,39000,381
2002-09-30,39000,39000.0,39000.0,39000,611
2002-10-31,39000,39000.0,38990.0,38990,84
2002-12-31,38000,40000.0,38000.0,40000,123
2003-01-31,38000,38000.0,37000.0,37000,41
2003-02-28,36000,36000.0,34000.0,34000,48
2003-03-31,34000,34000.0,27750.0,27750,377
2003-04-30,27000,27000.0,27000.0,27000,1005
2003-05-31,27000,27000.0,25700.0,25800,1553
2003-06-30,26000,31000.0,26000.0,26500,297
2003-07-31,26000,29950.0,26000.0,29950,888
2003-08-31,29000,30000.0,26700.0,28000,186
2003-09-30,27500,27500.0,26700.0,26700,650
2003-10-31,26695,30000.0,26695.0,30000,1367
2003-11-30,25800,25800.0,25800.0,25800,59
2003-12-31,25790,37000.0,25790.0,37000,936
2004-01-31,34490,34490.0,31950.0,31950,110
2004-02-29,31950,31950.0,29000.0,29000,449
2004-03-31,29000,30000.0,29000.0,30000,355
2004-04-30,30000,30000.0,30000.0,30000,300
2004-05-31,30000,30000.0,28000.0,28000,249
2004-06-30,27000,27000.0,26000.0,26000,271
2004-07-31,26000,26000.0,26000.0,26000,434
2004-08-31,26000,27000.0,26000.0,27000,80
2004-09-30,28000,28010.0,26000.0,26000,184
2004-10-31,26000,26000.0,21390.0,22000,564
2004-11-30,22050,22050.0,22000.0,22000,181
2004-12-31,22000,27300.0,22000.0,27300,196
2005-01-31,27300,27300.0,27300.0,27300,1
2005-02-28,25300,25300.0,25300.0,25300,76
2005-04-30,25000,25000.0,22200.0,22200,709
2005-05-31,22200,22200.0,19000.0,20000,462
2005-06-30,20455,20455.0,19000.0,19000,484
2005-07-31,18995,19000.0,18995.0,18995,308
2005-08-31,18000,18500.0,18000.0,18500,777
2005-09-30,18500,18500.0,17995.0,18000,554
2005-10-31,18000,18000.0,15500.0,15510,506
2005-11-30,14400,14400.0,13500.0,13500,226
2005-12-31,14300,14300.0,13500.0,13500,179
2006-01-31,13300,13300.0,12500.0,12500,311
2006-02-28,12500,12500.0,12000.0,12050,1266
2006-03-31,12050,13000.0,12000.0,13000,670
2006-04-30,13105,14000.0,13105.0,13800,633
2006-05-31,13800,13800.0,12000.0,12000,574
2006-06-30,12000,12000.0,10000.0,10000,16
2006-07-31,10000,10000.0,10000.0,10000,322
2006-08-31,12000,12000.0,11995.0,12000,616
2006-09-30,12000,12000.0,12000.0,12000,4
2006-10-31,12000,12000.0,12000.0,12000,20
2006-11-30,12000,12000.0,11900.0,11900,506
2006-12-31,11900,11900.0,11800.0,11800,394
2007-01-31,11800,11800.0,11795.0,11795,224
2007-02-28,11800,11800.0,11500.0,11500,167
2007-03-31,11500,12000.0,11500.0,12000,188
2007-04-30,12505,13500.0,12505.0,13500,106
2007-05-31,14000,18000.0,14000.0,18000,607
2007-06-30,18500,23000.0,18500.0,22000,635
2007-07-31,22000,25150.0,22000.0,25150,232
2007-08-31,31235,45900.0,31235.0,45900,890
2007-09-30,45000,45000.0,38000.0,38000,285
2007-10-31,38000,38000.0,36000.0,36500,10186
2007-11-30,36500,36500.0,34000.0,35000,1506
2007-12-31,35150,38700.0,35000.0,38700,2601
2008-01-31,38700,39505.0,38700.0,39505,3795
2008-02-29,39505,39505.0,39505.0,39505,167
2008-03-31,39520,39600.0,39520.0,39600,440
2008-04-30,39600,39600.0,39600.0,39600,632
2008-05-31,49190,89995.0,49190.0,89995,2152
2008-06-30,91000,95100.0,91000.0,95100,3106
2008-07-31,96000,105015.0,96000.0,105015,2304
2008-08-31,105100,126000.0,105100.0,125000,778
2008-09-30,122000,122000.0,108000.0,108000,228
2008-10-31,106000,106000.0,84300.0,84300,997
2008-11-30,72135,82000.0,66725.0,80000,1089
2008-12-31,82000,82000.0,72000.0,73500,3004
2009-01-31,73500,75510.0,73010.0,75000,1154
2009-02-28,75000,75010.0,74000.0,74550,896
2009-03-31,74000,74000.0,72985.0,73000,571
2009-04-30,73000,79550.0,72000.0,79550,3089
2009-05-31,98815,108500.0,83245.0,83250,3670
2009-06-30,83000,83000.0,46500.0,70000,1489
2009-07-31,70000,71500.0,55995.0,58000,1009
2009-08-31,56800,61000.0,55000.0,61000,912
2009-09-30,63000,66000.0,61800.0,66000,4719
2009-10-31,65995,67000.0,65995.0,67000,1208
2009-11-30,67000,71000.0,67000.0,71000,2008
2009-12-31,70000,70010.0,69955.0,69955,1070
2010-01-31,65000,70000.0,65000.0,69005,1669
2010-02-28,69005,70000.0,65000.0,70000,310
2010-03-31,70000,75000.0,70000.0,75000,2910
2010-04-30,75000,75000.0,70005.0,72500,464
2010-05-31,72500,73000.0,72500.0,73000,250
2010-06-30,72995,72995.0,57260.0,57260,3270
2010-07-31,50730,50730.0,37150.0,47500,751
2010-08-31,47500,50525.0,47000.0,47000,399
2010-09-30,47000,50000.0,46000.0,50000,149
2010-10-31,51000,60000.0,51000.0,60000,1514
2010-11-30,60000,60000.0,60000.0,60000,2366
2010-12-31,60000,60000.0,60000.0,60000,3314
2011-01-31,58400,58400.0,52725.0,52725,76
2011-05-31,45120,45120.0,45120.0,45120,11
2011-06-30,41740,41740.0,38000.0,41000,376
2011-07-31,41000,41000.0,35085.0,37715,285
2011-08-31,40000,42500.0,39315.0,40000,402
2011-09-30,43000,43000.0,36955.0,37000,186
2011-10-31,38000,38000.0,38000.0,38000,169
2011-11-30,40000,40000.0,38000.0,38000,321
2011-12-31,40000,41000.0,38000.0,38000,93
2012-01-31,38040,38040.0,38005.0,38005,198
2012-02-29,38000,38515.0,38000.0,38505,205
2012-03-31,38000,38005.0,38000.0,38000,400
2012-04-30,38000,38000.0,38000.0,38000,166
2012-05-31,38000,40005.0,38000.0,40000,98
2012-06-30,40000,40100.0,40000.0,40100,61
2012-07-31,40100,40100.0,40000.0,40000,242
2012-08-31,40020,40020.0,36500.0,38000,252
2012-09-30,39000,39000.0,35450.0,35450,129
2012-10-31,35500,35500.0,32375.0,34805,336
2012-11-30,35400,36000.0,34000.0,36000,266
2012-12-31,38000,40000.0,38000.0,40000,157
2013-01-31,40000,41500.0,40000.0,41500,138
2013-02-28,41500,42000.0,41500.0,42000,982
2013-03-31,42000,42000.0,40000.0,40005,199
2013-04-30,40000,40000.0,40000.0,40000,79
2013-05-31,40250,40250.0,40000.0,40000,1277
2013-06-30,40000,40000.0,37000.0,37000,226
2013-07-31,39500,41000.0,38000.0,40000,561
2013-08-31,40000,40000.0,31660.0,34000,71
2013-09-30,34000,34000.0,31450.0,32000,137
2013-10-31,31000,32640.0,31000.0,31000,167
2013-11-30,32000,33010.0,32000.0,33010,75
2013-12-31,33020,42000.0,33020.0,41500,527
