Date,Open,High,Low,Close,Volume
2001-06-30,36000,36000.0,36000.0,36000,10
2001-09-30,36000,42000.0,36000.0,42000,1709
2001-12-31,40995,40995.0,39500.0,40000,3935
2002-03-31,39500,40000.0,36540.0,38000,1757
2002-06-30,38000,40005.0,37000.0,40005,1002
2002-09-30,40000,40000.0,38995.0,39000,1720
2002-12-31,39000,40000.0,38000.0,40000,207
2003-03-31,38000,38000.0,27750.0,27750,466
2003-06-30,27000,31000.0,25700.0,26500,2855
2003-09-30,26000,30000.0,26000.0,26700,1724
2003-12-31,26695,37000.0,25790.0,37000,2362
2004-03-31,34490,34490.0,29000.0,30000,914
2004-06-30,30000,30000.0,26000.0,26000,820
2004-09-30,26000,28010.0,26000.0,26000,698
2004-12-31,26000,27300.0,21390.0,27300,941
2005-03-31,27300,27300.0,25300.0,25300,77
2005-06-30,25000,25000.0,19000.0,19000,1655
2005-09-30,18995,19000.0,17995.0,18000,1639
2005-12-31,18000,18000.0,13500.0,13500,911
2006-03-31,13300,13300.0,12000.0,13000,2247
2006-06-30,13105,14000.0,10000.0,10000,1223
2006-09-30,10000,12000.0,10000.0,12000,942
2006-12-31,12000,12000.0,11800.0,11800,920
2007-03-31,11800,12000.0,11500.0,12000,579
2007-06-30,12505,23000.0,12505.0,22000,1348
2007-09-30,22000,45900.0,22000.0,38000,1407
2007-12-31,38000,38700.0,34000.0,38700,14293
2008-03-31,38700,39600.0,38700.0,39600,4402
2008-06-30,39600,95100.0,39600.0,95100,5890
2008-09-30,96000,126000.0,96000.0,108000,3310
2008-12-31,106000,106000.0,66725.0,73500,5090
2009-03-31,73500,75510.0,72985.0,73000,2621
2009-06-30,73000,108500.0,46500.0,70000,8248
2009-09-30,70000,71500.0,55000.0,66000,6640
2009-12-31,65995,71000.0,65995.0,69955,4286
2010-03-31,65000,75000.0,65000.0,75000,4889
2010-06-30,75000,75000.0,57260.0,57260,3984
2010-09-30,50730,50730.0,37150.0,50000,1299
2010-12-31,51000,60000.0,51000.0,60000,7194
2011-03-31,58400,58400.0,52725.0,52725,76
2011-06-30,45120,45120.0,38000.0,41000,387
2011-09-30,41000,43000.0,35085.0,37000,873
2011-12-31,38000,41000.0,38000.0,38000,583
2012-03-31,38040,38515.0,38000.0,38000,803
2012-06-30,38000,40100.0,38000.0,40100,325
2012-09-30,40100,40100.0,35450.0,35450,623
2012-12-31,35500,40000.0,32375.0,40000,759
2013-03-31,40000,42000.0,40000.0,40005,1319
2013-06-30,40000,40250.0,37000.0,37000,1582
2013-09-30,39500,41000.0,31450.0,32000,769
2013-12-31,31000,42000.0,31000.0,41500,769
2014-03-31,41500,54000.0,38000.0,38000,886
2014-06-30,38000,59000.0,37000.0,38500,2232
2014-09-30,37020,39600.0,37020.0,39505,6422
2014-12-31,40000,41000.0,34225.0,37000,2233
2015-03-31,37000,38250.0,36000.0,37900,732
2015-06-30,37800,37800.0,27745.0,27745,1324
2015-09-30,27745,27745.0,23100.0,25500,4975
2015-12-31,25500,26500.0,23500.0,25000,2315
2016-03-31,25005,26000.0,22795.0,22800,1953
2016-06-30,23500,29495.0,23500.0,28000,2539
2016-09-30,28000,29000.0,22500.0,23500,3242
2016-12-31,23000,23000.0,19000.0,19000,2171
2017-03-31,18500,18500.0,14500.0,14995,752
2017-06-30,14995,16025.0,13995.0,14500,2011
2017-09-30,14500,14500.0,12000.0,14000,507
2017-12-31,12950,12950.0,8500.0,8500,423
2018-03-31,8500,8500.0,6500.0,7610,2356
2018-06-30,8000,8610.0,8000.0,8600,1101
2018-09-30,9245,14800.0,9245.0,11110,2722
2018-12-31,11105,11110.0,6340.0,6340,787
2019-03-31,6000,6000.0,4690.0,4690,203
2019-06-30,4690,4690.0,4000.0,4010,814
2019-09-30,3930,4215.0,3500.0,3500,89
2020-06-30,4775,4775.0,4775.0,4775,1
2020-09-30,4775,5130.0,4775.0,5130,15
2020-12-31,4750,4750.0,4165.0,4165,43
2021-03-31,4165,4165.0,4085.0,4085,47
2021-06-30,4085,4550.0,4085.0,4550,144
2021-09-30,4550,4550.0,4400.0,4550,126
2021-12-31,4850,4900.0,4550.0,4890,101
2022-03-31,4890,4890.0,4800.0,4850,81
2022-09-30,5010,7035.0,5010.0,7035,1241
2022-12-31,7035,7105.0,7000.0,7025,446
2023-03-31,7020,7550.0,7020.0,7020,944
2023-06-30,6800,6800.0,6640.0,6645,504
2023-09-30,6600,6600.0,5200.0,5300,425
2023-12-31,5300,5305.0,4995.0,5000,474
2024-03-31,5000,6640.0,5000.0,6000,251
2024-06-30,6000,6505.0,5900.0,6500,98
2024-09-30,6500,7845.0,5150.0,7845,146
2024-12-31,7845,7850.0,6475.0,6475,250
2025-03-31,6395,7550.0,5990.0,6575,325
2025-06-30,6575,18440.0,6575.0,18440,613
2025-09-30,18180,52640.0,17500.0,18500,673
2025-12-31,18500,43900.0,18500.0,34225,586
2026-03-31,35000,86000.0,34225.0,60000,3241
2026-06-30,64500,69005.0,55000.0,55600,1147
2026-09-30,55600,59600.0,50000.0,54350,1103
