Date,Open,High,Low,Close,Volume
2001-06-25,36000,36000.0,36000.0,36000,10
2001-07-30,36000,36000.0,36000.0,36000,10
2001-08-06,36000,36000.0,36000.0,36000,131
2001-08-13,36000,36000.0,36000.0,36000,114
2001-08-20,36050,36100.0,36050.0,36100,31
2001-08-27,36105,36200.0,36105.0,36200,188
2001-09-03,36200,36500.0,36200.0,36500,222
2001-09-10,37100,37500.0,37100.0,37500,64
2001-09-17,37800,39500.0,37800.0,39500,75
2001-09-24,41000,42000.0,41000.0,42000,711
2001-10-01,42000,42000.0,40995.0,40995,185
2001-10-08,40995,40995.0,40000.0,40000,72
2001-10-15,40000,40000.0,40000.0,40000,108
2001-10-22,40000,40000.0,40000.0,40000,10
2001-10-29,40000,40000.0,40000.0,40000,25
2001-11-05,39995,40000.0,39995.0,40000,315
2001-11-12,40000,40000.0,40000.0,40000,798
2001-11-19,40000,40000.0,39500.0,39500,318
2001-11-26,40000,40000.0,40000.0,40000,936
2001-12-03,40000,40000.0,40000.0,40000,24
2001-12-10,40000,40000.0,39500.0,39500,521
2001-12-17,39500,39500.0,39500.0,39500,314
2001-12-24,39500,40000.0,39500.0,40000,266
2001-12-31,40000,40000.0,40000.0,40000,206
2002-01-07,39500,40000.0,39500.0,40000,69
2002-01-14,40000,40000.0,40000.0,40000,407
2002-01-21,40000,40000.0,39500.0,39500,44
2002-01-28,39500,39500.0,39500.0,39500,153
2002-02-04,36540,36540.0,36540.0,36540,83
2002-02-11,36540,37000.0,36540.0,37000,52
2002-02-18,38000,38550.0,38000.0,38550,93
2002-02-25,40000,40000.0,40000.0,40000,89
2002-03-04,40000,40000.0,40000.0,40000,33
2002-03-11,40000,40000.0,39995.0,39995,253
2002-03-18,39995,39995.0,38000.0,38000,295
2002-03-25,38000,38000.0,38000.0,38000,91
2002-04-01,38000,38000.0,38000.0,38000,95
2002-04-08,38000,38000.0,38000.0,38000,82
2002-04-15,38000,38000.0,38000.0,38000,38
2002-04-22,38000,38000.0,38000.0,38000,194
2002-04-29,38000,38000.0,37500.0,37500,67
2002-05-06,37500,37500.0,37000.0,37000,195
2002-05-13,37550,37550.0,37550.0,37550,39
2002-05-20,37650,37650.0,37650.0,37650,8
2002-05-27,38100,38700.0,38100.0,38700,96
2002-06-03,38900,38900.0,38900.0,38900,24
2002-06-10,38905,38910.0,38905.0,38910,63
2002-06-17,39000,39000.0,39000.0,39000,28
2002-06-24,39500,39500.0,39500.0,39500,100
2002-07-01,39510,40005.0,39510.0,40005,68
2002-07-08,40000,40000.0,39000.0,39000,111
2002-07-15,39000,39150.0,39000.0,39150,183
2002-07-22,38995,39000.0,38995.0,39000,25
2002-07-29,39000,39000.0,39000.0,39000,46
2002-08-05,39000,39000.0,39000.0,39000,484
2002-08-12,39000,39000.0,39000.0,39000,3
2002-08-19,39000,39000.0,39000.0,39000,78
2002-08-26,39000,39000.0,39000.0,39000,84
2002-09-02,39000,39005.0,39000.0,39000,101
2002-09-09,39000,39000.0,39000.0,39000,116
2002-09-16,39000,39000.0,39000.0,39000,377
2002-09-23,39000,39000.0,39000.0,39000,62
2002-09-30,39000,39000.0,39000.0,39000,50
2002-10-07,39000,39000.0,39000.0,39000,25
2002-10-14,39000,39000.0,39000.0,39000,17
2002-10-28,38990,38990.0,38990.0,38990,37
2002-11-04,38990,38990.0,38990.0,38990,5
2002-12-16,38000,38000.0,38000.0,38000,10
2002-12-23,38000,38000.0,38000.0,38000,8
2002-12-30,38900,38900.0,38900.0,38900,35
2003-01-06,40000,40000.0,40000.0,40000,70
2003-01-13,38000,38000.0,38000.0,38000,31
2003-01-20,37000,37000.0,37000.0,37000,10
2003-02-17,36000,36000.0,34000.0,34000,48
2003-03-10,34000,34000.0,34000.0,34000,4
2003-03-17,31450,31450.0,30000.0,30000,30
2003-03-24,29500,29500.0,28995.0,28995,245
2003-03-31,28995,28995.0,27750.0,27750,98
2003-04-07,27000,27000.0,27000.0,27000,580
2003-04-14,27000,27000.0,27000.0,27000,139
2003-04-21,27000,27000.0,27000.0,27000,71
2003-04-28,27000,27000.0,27000.0,27000,115
2003-05-05,27000,27000.0,27000.0,27000,129
2003-05-12,27000,27000.0,26000.0,26000,70
2003-05-19,25700,25700.0,25700.0,25700,214
2003-05-26,25800,25800.0,25800.0,25800,1240
2003-06-09,26000,26000.0,26000.0,26000,159
2003-06-16,26000,31000.0,26000.0,31000,61
2003-06-23,28500,28500.0,28450.0,28450,32
2003-06-30,28400,28400.0,26500.0,26500,45
2003-07-07,26000,26000.0,26000.0,26000,313
2003-07-14,26000,26000.0,26000.0,26000,19
2003-07-21,26200,26200.0,26200.0,26200,86
2003-07-28,26100,26100.0,26100.0,26100,76
2003-08-04,26000,29950.0,26000.0,29950,394
2003-08-11,29000,29000.0,29000.0,29000,8
2003-08-18,26700,26700.0,26700.0,26700,104
2003-08-25,26800,26800.0,26800.0,26800,53
2003-09-01,30000,30000.0,27500.0,27500,110
2003-09-08,27500,27500.0,27500.0,27500,7
2003-09-15,27500,27500.0,27500.0,27500,15
2003-09-22,27500,27500.0,27000.0,27500,300
2003-09-29,26700,26700.0,26700.0,26700,239
2003-10-06,26695,26695.0,26695.0,26695,143
2003-10-13,26695,26695.0,26695.0,26695,37
2003-10-20,27500,27500.0,27500.0,27500,63
2003-10-27,27500,27500.0,27500.0,27500,1080
2003-11-03,27495,30000.0,27495.0,30000,44
2003-11-24,25800,25800.0,25800.0,25800,59
2003-12-01,25790,25790.0,25790.0,25790,10
2003-12-08,25790,25790.0,25790.0,25790,104
2003-12-15,27700,30000.0,27700.0,30000,100
2003-12-22,32250,37000.0,32250.0,37000,187
2003-12-29,37000,37000.0,34495.0,34495,170
2004-01-05,37000,37000.0,37000.0,37000,365
2004-01-19,34490,34490.0,34490.0,34490,10
2004-02-02,31950,31950.0,31950.0,31950,110
2004-02-16,31890,31890.0,29000.0,29000,197
2004-02-23,29000,29000.0,29000.0,29000,68
2004-03-01,29000,29000.0,29000.0,29000,219
2004-03-08,29000,29000.0,29000.0,29000,35
2004-03-15,29000,29000.0,29000.0,29000,128
2004-03-22,29000,29000.0,29000.0,29000,30
2004-03-29,30000,30000.0,30000.0,30000,77
2004-04-05,30000,30000.0,30000.0,30000,63
2004-04-12,30000,30000.0,30000.0,30000,5
2004-04-19,30000,30000.0,30000.0,30000,20
2004-04-26,30000,30000.0,30000.0,30000,117
2004-05-03,30000,30000.0,30000.0,30000,135
2004-05-10,30000,30000.0,30000.0,30000,61
2004-05-17,30000,30000.0,28895.0,28895,133
2004-05-24,28895,28895.0,28895.0,28895,2
2004-05-31,28000,28000.0,28000.0,28000,53
2004-06-07,27000,27000.0,27000.0,27000,157
2004-06-21,26000,26000.0,26000.0,26000,109
2004-06-28,26000,26000.0,26000.0,26000,5
2004-07-05,26000,26000.0,26000.0,26000,71
2004-07-12,26000,26000.0,26000.0,26000,60
2004-07-19,26000,26000.0,26000.0,26000,33
2004-07-26,26000,26000.0,26000.0,26000,2
2004-08-02,26000,26000.0,26000.0,26000,268
2004-08-09,26000,26000.0,26000.0,26000,12
2004-08-16,26000,26000.0,26000.0,26000,2
2004-08-23,26000,27000.0,26000.0,27000,30
2004-08-30,27000,27000.0,27000.0,27000,31
2004-09-06,27000,27000.0,27000.0,27000,5
2004-09-13,28000,28000.0,28000.0,28000,11
2004-09-20,28000,28010.0,28000.0,28010,132
2004-09-27,28000,28000.0,26000.0,26000,29
2004-10-04,26000,26000.0,26000.0,26000,87
2004-10-11,26000,26000.0,24990.0,24990,60
2004-10-18,24990,24990.0,24990.0,24990,26
2004-10-25,23120,23120.0,23120.0,23120,379
2004-11-01,21390,22000.0,21390.0,22000,24
2004-11-08,22050,22050.0,22050.0,22050,48
2004-11-22,22000,22000.0,22000.0,22000,44
2004-11-29,22000,22000.0,22000.0,22000,79
2004-12-06,22000,22000.0,22000.0,22000,53
2004-12-13,22000,22000.0,22000.0,22000,6
2004-12-20,22000,22000.0,22000.0,22000,103
2004-12-27,27300,27300.0,27300.0,27300,41
2005-01-03,27300,27300.0,27300.0,27300,3
2005-01-10,27300,27300.0,27300.0,27300,1
2005-02-07,25300,25300.0,25300.0,25300,10
2005-02-14,25300,25300.0,25300.0,25300,66
2005-04-04,25000,25000.0,25000.0,25000,31
2005-04-11,24000,24000.0,24000.0,24000,56
2005-04-18,24000,24000.0,22200.0,22200,596
2005-05-02,22200,22200.0,22200.0,22200,26
2005-05-09,22200,22200.0,22200.0,22200,2
2005-05-16,19000,19000.0,19000.0,19000,74
2005-05-23,20425,20450.0,20425.0,20450,24
2005-05-30,20000,20000.0,20000.0,20000,362
2005-06-06,20455,20455.0,20000.0,20300,86
2005-06-13,20000,20000.0,20000.0,20000,15
2005-06-20,20000,20000.0,19000.0,19000,237
2005-06-27,19000,19000.0,19000.0,19000,76
2005-07-04,19000,19000.0,18995.0,18995,126
2005-07-11,19000,19000.0,19000.0,19000,74
2005-07-18,19000,19000.0,19000.0,19000,13
2005-07-25,19000,19000.0,19000.0,19000,100
2005-08-01,18995,18995.0,18000.0,18000,140
2005-08-08,18000,18000.0,18000.0,18000,114
2005-08-15,18200,18200.0,18200.0,18200,158
2005-08-22,18200,18200.0,18200.0,18200,10
2005-08-29,18500,18500.0,18500.0,18500,409
2005-09-05,18500,18500.0,18500.0,18500,140
2005-09-12,18500,18500.0,18500.0,18500,98
2005-09-19,18500,18500.0,18000.0,18000,282
2005-09-26,17995,17995.0,17995.0,17995,35
2005-10-03,18000,18000.0,18000.0,18000,10
2005-10-10,18000,18000.0,17000.0,17000,186
2005-10-17,17000,17000.0,16000.0,16000,279
2005-10-24,15900,15900.0,15500.0,15510,30
2005-10-31,15510,15510.0,15510.0,15510,11
2005-11-07,14400,14400.0,14400.0,14400,15
2005-11-14,14350,14350.0,14295.0,14295,50
2005-11-21,14280,14280.0,14280.0,14280,15
2005-11-28,14200,14200.0,13500.0,13500,102
2005-12-05,13500,14300.0,13500.0,14300,54
2005-12-19,14300,14300.0,14300.0,14300,1
2005-12-26,14300,14300.0,14300.0,14300,1
2006-01-02,13500,13500.0,13500.0,13500,167
2006-01-09,13300,13300.0,13300.0,13300,36
2006-01-23,13000,13000.0,13000.0,13000,265
2006-01-30,12500,12500.0,12500.0,12500,10
2006-02-06,12500,12500.0,12000.0,12000,328
2006-02-13,12000,12000.0,12000.0,12000,172
2006-02-20,12000,12050.0,12000.0,12000,277
2006-02-27,12000,12050.0,12000.0,12050,295
2006-03-06,12050,12050.0,12050.0,12050,349
2006-03-13,12000,12000.0,12000.0,12000,71
2006-03-20,13000,13000.0,13000.0,13000,103
2006-03-27,13000,13000.0,13000.0,13000,2
2006-04-03,13000,13105.0,13000.0,13105,433
2006-04-10,13805,14000.0,13800.0,14000,140
2006-04-17,14000,14000.0,14000.0,14000,89
2006-04-24,14000,14000.0,13800.0,13800,86
2006-05-01,13800,13800.0,13800.0,13800,224
2006-05-08,13800,13800.0,13000.0,13000,251
2006-05-15,13000,13000.0,12000.0,12000,78
2006-05-22,12000,12500.0,12000.0,12000,111
2006-05-29,12000,12500.0,12000.0,12500,83
2006-06-05,12000,12000.0,12000.0,12000,54
2006-07-03,10000,10000.0,10000.0,10000,13
2006-07-10,10000,10000.0,10000.0,10000,171
2006-07-17,10000,10000.0,10000.0,10000,148
2006-07-24,10000,10000.0,10000.0,10000,3
2006-08-07,12000,12000.0,11995.0,11995,136
2006-08-14,12000,12000.0,12000.0,12000,120
2006-08-21,12000,12000.0,12000.0,12000,44
2006-08-28,12000,12000.0,12000.0,12000,271
2006-09-04,12000,12000.0,12000.0,12000,45
2006-09-11,12000,12000.0,12000.0,12000,3
2006-10-02,12000,12000.0,12000.0,12000,1
2006-10-09,12000,12000.0,12000.0,12000,10
2006-10-16,12000,12000.0,12000.0,12000,1
2006-11-06,12000,12000.0,12000.0,12000,95
2006-11-13,12000,12000.0,11900.0,11900,118
2006-11-20,11900,11900.0,11900.0,11900,83
2006-11-27,11900,11900.0,11900.0,11900,89
2006-12-04,11900,11900.0,11900.0,11900,160
2006-12-11,11800,11800.0,11800.0,11800,34
2006-12-18,11800,11800.0,11800.0,11800,65
2006-12-25,11800,11800.0,11800.0,11800,160
2007-01-01,11800,11800.0,11800.0,11800,105
2007-01-08,11800,11800.0,11800.0,11800,45
2007-01-15,11800,11800.0,11800.0,11800,79
2007-01-22,11795,11795.0,11795.0,11795,100
2007-02-12,11800,11800.0,11800.0,11800,50
2007-02-26,11500,11500.0,11500.0,11500,54
2007-03-05,11500,11500.0,11500.0,11500,84
2007-03-19,11500,11500.0,11500.0,11500,21
2007-03-26,11500,11500.0,11500.0,11500,46
2007-04-02,12000,12000.0,12000.0,12000,100
2007-04-09,12505,12505.0,12505.0,12505,17
2007-04-16,12600,12600.0,12600.0,12600,34
2007-04-23,13500,13500.0,13500.0,13500,55
2007-05-07,14000,14000.0,14000.0,14000,108
2007-05-14,14250,14250.0,14250.0,14250,204
2007-05-28,17000,17000.0,17000.0,17000,287
2007-06-04,18000,18000.0,18000.0,18000,8
2007-06-11,18500,18500.0,18500.0,18500,234
2007-06-18,19885,21410.0,19885.0,21410,142
2007-06-25,22000,23000.0,22000.0,23000,32
2007-07-02,22000,22000.0,22000.0,22000,227
2007-07-09,22000,22000.0,22000.0,22000,55
2007-07-16,22060,22060.0,22060.0,22060,93
2007-07-23,22060,22600.0,22060.0,22600,25
2007-07-30,25000,25000.0,25000.0,25000,25
2007-08-06,25150,25150.0,25150.0,25150,34
2007-08-13,31235,33200.0,31235.0,33200,255
2007-08-27,43005,44010.0,43005.0,44010,260
2007-09-03,44010,45900.0,44010.0,45000,386
2007-09-10,45000,45000.0,45000.0,45000,76
2007-10-01,41495,41495.0,38000.0,38000,203
2007-10-22,36000,36000.0,36000.0,36000,137
2007-10-29,38000,38000.0,36500.0,36500,10044
2007-11-05,36500,36500.0,36500.0,36500,40
2007-11-12,36500,36500.0,34000.0,34000,87
2007-11-19,34000,34000.0,34000.0,34000,113
2007-11-26,34000,35000.0,34000.0,35000,1178
2007-12-03,35000,35150.0,35000.0,35150,216
2007-12-10,35000,36500.0,35000.0,36500,200
2007-12-17,38700,38700.0,38700.0,38700,2010
2007-12-24,38700,38700.0,38700.0,38700,82
2007-12-31,38700,38700.0,38700.0,38700,181
2008-01-07,38700,38700.0,38700.0,38700,24
2008-01-14,38700,38700.0,38700.0,38700,3512
2008-01-21,39505,39505.0,39505.0,39505,219
2008-01-28,39500,39505.0,39500.0,39505,40
2008-02-04,39505,39505.0,39505.0,39505,110
2008-02-11,39505,39505.0,39505.0,39505,31
2008-02-25,39505,39505.0,39505.0,39505,4
2008-03-03,39505,39505.0,39505.0,39505,22
2008-03-10,39520,39520.0,39520.0,39520,302
2008-03-17,39520,39520.0,39520.0,39520,82
2008-03-24,39600,39600.0,39600.0,39600,31
2008-03-31,39600,39600.0,39600.0,39600,25
2008-04-07,39600,39600.0,39600.0,39600,372
2008-04-14,39600,39600.0,39600.0,39600,134
2008-04-21,39600,39600.0,39600.0,39600,80
2008-04-28,39600,39600.0,39600.0,39600,46
2008-05-12,49190,56840.0,49190.0,56840,230
2008-05-19,65680,81590.0,65680.0,81590,89
2008-05-26,87700,87700.0,86995.0,86995,173
2008-06-02,86995,91000.0,86995.0,91000,1754
2008-06-09,91000,91000.0,91000.0,91000,2433
2008-06-16,91000,91000.0,91000.0,91000,135
2008-06-23,91000,94510.0,91000.0,92000,320
2008-06-30,92000,95100.0,92000.0,95100,124
2008-07-07,96000,105000.0,96000.0,105000,496
2008-07-14,105000,105015.0,105000.0,105015,210
2008-07-21,104000,104000.0,100000.0,100000,249
2008-07-28,100000,105000.0,100000.0,105000,1313
2008-08-04,105015,105100.0,105015.0,105100,56
2008-08-11,105205,113950.0,105205.0,113950,146
2008-08-18,115000,118100.0,115000.0,118100,173
2008-08-25,118100,126000.0,118100.0,126000,186
2008-09-01,125000,125000.0,125000.0,125000,253
2008-09-08,122000,122000.0,120000.0,120000,106
2008-09-22,111000,111000.0,110000.0,110000,81
2008-09-29,109000,109000.0,108000.0,108000,41
2008-10-06,106000,106000.0,99900.0,99900,77
2008-10-13,95000,95000.0,94900.0,94900,449
2008-10-20,94500,94500.0,94500.0,94500,65
2008-10-27,85000,85000.0,85000.0,85000,370
2008-11-03,84500,84500.0,84300.0,84300,36
2008-11-10,72135,72135.0,66725.0,66725,83
2008-11-17,67000,76500.0,67000.0,76500,208
2008-11-24,80000,80000.0,79995.0,80000,408
2008-12-01,81000,82000.0,80000.0,82000,495
2008-12-08,80000,80000.0,80000.0,80000,293
2008-12-15,78000,78000.0,72000.0,72000,1208
2008-12-22,72000,80000.0,72000.0,80000,152
2008-12-29,79000,79000.0,77500.0,77500,61
2009-01-05,74000,74000.0,73500.0,74000,1370
2009-01-12,74000,75000.0,73010.0,75000,302
2009-01-19,74900,75000.0,74900.0,75000,196
2009-01-26,75000,75510.0,75000.0,75510,316
2009-02-02,75000,75005.0,75000.0,75000,157
2009-02-09,75000,75010.0,75000.0,75010,117
2009-02-16,75000,75000.0,75000.0,75000,271
2009-02-23,75000,75000.0,75000.0,75000,97
2009-03-02,74000,74550.0,74000.0,74000,656
2009-03-09,72990,72990.0,72985.0,72985,82
2009-03-16,72985,74000.0,72985.0,74000,99
2009-03-23,74000,74000.0,74000.0,74000,42
2009-03-30,74000,74000.0,74000.0,74000,54
