Date,Open,High,Low,Close,Volume
2001-12-31,36000,42000,36000,40000,5654
2002-12-31,39500,40005,36540,40000,4686
2003-12-31,38000,38000,25700,37000,7407
2004-12-31,34490,34490,21390,27300,3373
2005-12-31,27300,27300,13500,13500,4282
2006-12-31,13300,14000,10000,11800,5332
2007-12-31,11800,45900,11500,38700,17627
2008-12-31,38700,126000,38700,73500,18692
2009-12-31,73500,108500,46500,69955,21795
2010-12-31,65000,75000,37150,60000,17366
2011-12-31,58400,58400,35085,38000,1919
2012-12-31,38040,40100,32375,40000,2510
2013-12-31,40000,42000,31000,41500,4439
2014-12-31,41500,59000,34225,37000,11773
2015-12-31,37000,38250,23100,25000,9346
2016-12-31,25005,29495,19000,19000,9905
2017-12-31,18500,18500,8500,8500,3693
2018-12-31,8500,14800,6340,6340,6966
2019-12-31,6000,6000,3500,3500,1106
2020-12-31,4775,5130,4165,4165,59
2021-12-31,4165,4900,4085,4890,418
2022-12-31,4890,7105,4800,7025,1768
2023-12-31,7020,7550,4995,5000,2347
2024-12-31,5000,7850,5000,6475,745
2025-12-31,6395,52640,5990,34225,2197
2026-12-31,35000,86000,34225,54350,5491
