Date,Open,High,Low,Close,Volume
1998-09-30,3480,3751.0,3480.0,3751,800
1998-10-31,4032,4232.0,3108.0,3108,20350
1998-11-30,2875,2875.0,2405.0,2795,2775
1998-12-31,2800,2880.0,2800.0,2880,22075
1999-01-31,2880,2880.0,2880.0,2880,1925
1999-02-28,2880,3080.0,2880.0,3080,8275
1999-03-31,3080,3200.0,3080.0,3200,3325
1999-04-30,3200,3200.0,3100.0,3100,3075
1999-05-31,2868,2868.0,2868.0,2868,5000
1999-06-30,2858,2858.0,2740.0,2740,4875
1999-07-31,2740,2800.0,2712.0,2720,12950
1999-08-31,2640,2640.0,2600.0,2600,1450
1999-09-30,2560,2560.0,2560.0,2560,525
1999-10-31,2540,2540.0,2400.0,2500,6650
1999-11-30,2500,2500.0,2480.0,2480,4450
1999-12-31,2404,2440.0,2404.0,2440,4225
2000-01-31,2440,2440.0,2420.0,2420,3775
2000-02-29,2400,2400.0,2400.0,2400,3125
2000-04-30,2300,2300.0,2300.0,2300,425
2000-05-31,2300,2300.0,2260.0,2260,2550
2000-06-30,2300,2300.0,2300.0,2300,3950
2000-07-31,2300,2300.0,2120.0,2120,1350
2000-08-31,2000,2000.0,2000.0,2000,1125
2000-09-30,2000,2000.0,1992.0,1992,325
2000-10-31,1936,1936.0,1936.0,1936,775
2000-11-30,1916,1916.0,1916.0,1916,1225
2000-12-31,1916,1916.0,1916.0,1916,75
2001-01-31,1916,1916.0,1860.0,1860,3450
2001-02-28,1860,1860.0,1856.0,1856,950
2001-03-31,1800,1800.0,1800.0,1800,200
2001-04-30,1800,1800.0,1800.0,1800,50
2001-07-31,1800,1800.0,1800.0,1800,125
2001-08-31,1780,1780.0,1780.0,1780,1025
2001-09-30,1646,1646.0,1646.0,1646,450
2001-10-31,1600,1600.0,1598.0,1598,725
2001-11-30,1598,1598.0,1597.0,1597,500
2001-12-31,1597,1597.0,1597.0,1597,2000
2002-01-31,1478,1478.0,1478.0,1478,4425
2002-03-31,1478,1478.0,1478.0,1478,25
2002-06-30,1367,1367.0,1367.0,1367,2500
2002-08-31,1264,1264.0,1083.0,1083,5800
2002-09-30,1060,1060.0,1020.0,1020,2250
2002-11-30,1000,1000.0,1000.0,1000,275
2003-06-30,980,980.0,980.0,980,200
2003-07-31,939,939.0,939.0,939,1250
2003-08-31,869,869.0,868.0,868,6875
2003-09-30,868,868.0,868.0,868,6100
2003-10-31,868,868.0,860.0,860,1025
2003-12-31,800,800.0,800.0,800,200
2004-01-31,740,740.0,690.0,690,13475
2004-02-29,690,690.0,690.0,690,2450
2004-03-31,690,690.0,690.0,690,2475
2004-04-30,690,690.0,690.0,690,825
2004-05-31,690,690.0,690.0,690,375
2004-06-30,690,690.0,690.0,690,3675
2004-07-31,690,690.0,690.0,690,325
2004-08-31,680,680.0,680.0,680,500
2004-09-30,679,679.0,679.0,679,225
2005-10-31,640,640.0,640.0,640,525
2005-11-30,640,640.0,640.0,640,100
2006-04-30,640,640.0,640.0,640,25
2006-06-30,576,576.0,576.0,576,300
2007-01-31,576,576.0,576.0,576,50
2007-06-30,480,480.0,480.0,480,1950
2007-07-31,480,480.0,480.0,480,5975
2007-08-31,476,476.0,426.0,426,1600
2007-09-30,400,400.0,400.0,400,17325
2007-10-31,400,400.0,400.0,400,125
2007-12-31,400,440.0,400.0,440,11500
2008-01-31,441,768.0,441.0,768,14450
2008-02-29,826,880.0,826.0,880,91800
2008-03-31,814,814.0,814.0,814,1250
2008-04-30,696,696.0,696.0,696,250
2008-05-31,696,696.0,696.0,696,6825
2008-06-30,696,896.0,696.0,880,98400
2008-07-31,944,1208.0,944.0,1208,18400
2008-08-31,1120,1160.0,1112.0,1160,3250
2008-09-30,1073,1073.0,1000.0,1000,7125
2008-10-31,1000,1000.0,960.0,960,1525
2008-11-30,960,960.0,960.0,960,100
2009-01-31,919,919.0,919.0,919,300
2009-02-28,916,916.0,916.0,916,250
2009-06-30,916,916.0,916.0,916,100
2009-07-31,880,880.0,880.0,880,375
2009-08-31,796,796.0,736.0,736,725
2009-09-30,720,720.0,720.0,720,375
2010-01-31,600,600.0,592.0,592,1550
2010-03-31,469,469.0,468.0,468,900
2010-04-30,468,468.0,468.0,468,75
2010-05-31,468,468.0,468.0,468,200
2010-06-30,468,468.0,468.0,468,2100
2010-07-31,468,468.0,433.0,433,525
2010-08-31,420,420.0,420.0,420,24875
2010-09-30,400,400.0,370.0,370,1475
2010-10-31,370,400.0,370.0,370,1275
2010-11-30,370,370.0,370.0,370,375
2010-12-31,370,370.0,370.0,370,775
2011-01-31,370,370.0,370.0,370,50
2011-07-31,370,370.0,370.0,370,325
2011-08-31,370,370.0,370.0,370,575
2011-09-30,342,342.0,280.0,280,11150
2011-10-31,280,296.0,280.0,296,6850
2011-11-30,296,296.0,276.0,276,1350
2011-12-31,296,318.0,296.0,318,4500
2012-01-31,360,387.0,360.0,387,4350
2012-02-29,378,378.0,280.0,280,3225
2012-03-31,280,280.0,258.0,258,7450
2012-04-30,259,259.0,259.0,259,2800
2012-05-31,299,300.0,299.0,300,3325
2012-06-30,300,320.0,280.0,320,4200
2012-07-31,300,300.0,259.0,298,7075
2012-08-31,298,298.0,298.0,298,900
2012-09-30,298,298.0,276.0,276,1500
2012-10-31,276,280.0,276.0,276,4275
2012-11-30,256,280.0,256.0,280,14425
2012-12-31,280,280.0,240.0,240,5100
2013-01-31,240,240.0,240.0,240,7625
2013-03-31,258,277.0,258.0,277,400
2013-04-30,280,280.0,280.0,280,250
2013-05-31,301,658.0,301.0,658,18425
2013-06-30,707,1196.0,707.0,888,28400
2013-07-31,880,968.0,753.0,968,10575
2013-08-31,1040,1160.0,1040.0,1160,31150
2013-09-30,1160,1200.0,1110.0,1200,10400
2013-10-31,1200,1360.0,1160.0,1280,14350
2013-11-30,1184,1470.0,1184.0,1440,9475
2013-12-31,1440,1560.0,1360.0,1560,20125
2014-01-31,1580,1680.0,1576.0,1660,34900
2014-02-28,1582,1700.0,1560.0,1700,24375
2014-03-31,1680,1680.0,1560.0,1680,4700
2014-04-30,1680,1720.0,1230.0,1230,19775
2014-05-31,1240,1640.0,1240.0,1640,23600
2014-06-30,1600,1600.0,1560.0,1560,1850
2014-07-31,1520,1520.0,1280.0,1500,22100
2014-08-31,1500,1500.0,1400.0,1400,8450
2014-09-30,1400,1504.0,1400.0,1420,8325
2014-10-31,1448,1520.0,1316.0,1520,40200
2014-11-30,1520,1640.0,1520.0,1640,27625
2014-12-31,1640,1640.0,1520.0,1600,17000
2015-01-31,1620,1620.0,1480.0,1600,6225
2015-02-28,1640,1700.0,1620.0,1640,21300
2015-03-31,1640,2960.0,1640.0,2798,123000
2015-04-30,2780,3311.0,2400.0,3311,212035
2015-05-31,3559,4966.0,3500.0,4966,162255
2015-06-30,5020,7000.0,4966.0,5200,234345
2015-07-31,5300,5800.0,5000.0,5000,214545
2015-08-31,5100,5700.0,5100.0,5520,208340
2015-09-30,5441,6128.0,5300.0,6128,517120
2015-10-31,6587,7081.0,5600.0,5720,173660
2015-11-30,5700,5800.0,5340.0,5400,72920
2015-12-31,5420,5780.0,5200.0,5720,118760
2016-01-31,5780,5780.0,5300.0,5700,282535
