Date,Open,High,Low,Close,Volume
1998-09-30,3480,3751.0,3480.0,3751,800
1998-12-31,4032,4232.0,2405.0,2880,45200
1999-03-31,2880,3200.0,2880.0,3200,13525
1999-06-30,3200,3200.0,2740.0,2740,12950
1999-09-30,2740,2800.0,2560.0,2560,14925
1999-12-31,2540,2540.0,2400.0,2440,15325
2000-03-31,2440,2440.0,2400.0,2400,6900
2000-06-30,2300,2300.0,2260.0,2300,6925
2000-09-30,2300,2300.0,1992.0,1992,2800
2000-12-31,1936,1936.0,1916.0,1916,2075
2001-03-31,1916,1916.0,1800.0,1800,4600
2001-06-30,1800,1800.0,1800.0,1800,50
2001-09-30,1800,1800.0,1646.0,1646,1600
2001-12-31,1600,1600.0,1597.0,1597,3225
2002-03-31,1478,1478.0,1478.0,1478,4450
2002-06-30,1367,1367.0,1367.0,1367,2500
2002-09-30,1264,1264.0,1020.0,1020,8050
2002-12-31,1000,1000.0,1000.0,1000,275
2003-06-30,980,980.0,980.0,980,200
2003-09-30,939,939.0,868.0,868,14225
2003-12-31,868,868.0,800.0,800,1225
2004-03-31,740,740.0,690.0,690,18400
2004-06-30,690,690.0,690.0,690,4875
2004-09-30,690,690.0,679.0,679,1050
2005-12-31,640,640.0,640.0,640,625
2006-06-30,640,640.0,576.0,576,325
2007-03-31,576,576.0,576.0,576,50
2007-06-30,480,480.0,480.0,480,1950
2007-09-30,480,480.0,400.0,400,24900
2007-12-31,400,440.0,400.0,440,11625
2008-03-31,441,880.0,441.0,814,107500
2008-06-30,696,896.0,696.0,880,105475
2008-09-30,944,1208.0,944.0,1000,28775
2008-12-31,1000,1000.0,960.0,960,1625
2009-03-31,919,919.0,916.0,916,550
2009-06-30,916,916.0,916.0,916,100
2009-09-30,880,880.0,720.0,720,1475
2010-03-31,600,600.0,468.0,468,2450
2010-06-30,468,468.0,468.0,468,2375
2010-09-30,468,468.0,370.0,370,26875
2010-12-31,370,400.0,370.0,370,2425
2011-03-31,370,370.0,370.0,370,50
2011-09-30,370,370.0,280.0,280,12050
2011-12-31,280,318.0,276.0,318,12700
2012-03-31,360,387.0,258.0,258,15025
2012-06-30,259,320.0,259.0,320,10325
2012-09-30,300,300.0,259.0,276,9475
2012-12-31,276,280.0,240.0,240,23800
2013-03-31,240,277.0,240.0,277,8025
2013-06-30,280,1196.0,280.0,888,47075
2013-09-30,880,1200.0,753.0,1200,52125
2013-12-31,1200,1560.0,1160.0,1560,43950
2014-03-31,1580,1700.0,1560.0,1680,63975
2014-06-30,1680,1720.0,1230.0,1560,45225
2014-09-30,1520,1520.0,1280.0,1420,38875
2014-12-31,1448,1640.0,1316.0,1600,84825
2015-03-31,1620,2960.0,1480.0,2798,150525
2015-06-30,2780,7000.0,2400.0,5200,608635
2015-09-30,5300,6128.0,5000.0,6128,940005
2015-12-31,6587,7081.0,5200.0,5720,365340
2016-03-31,5780,6100.0,5300.0,5700,669845
2016-06-30,5700,6000.0,5140.0,5300,331180
2016-09-30,5350,5480.0,4700.0,5200,175445
2016-12-31,5060,5460.0,4440.0,5300,263830
2017-03-31,5200,5200.0,4340.0,4800,71310
2017-06-30,4800,5200.0,4200.0,4999,156095
2017-09-30,4640,5200.0,3145.0,3990,186042
2017-12-31,3990,4500.0,3450.0,4270,90072
2018-03-31,4145,4250.0,2700.0,3400,90358
2018-06-30,3400,3400.0,2900.0,3150,109794
2018-09-30,3100,3400.0,2750.0,2950,77469
2018-12-31,2950,2950.0,1700.0,2030,91205
2019-03-31,1915,2300.0,1805.0,1900,138009
2019-06-30,1855,2625.0,1760.0,2345,132503
2019-09-30,2345,2425.0,1595.0,1700,137176
2019-12-31,1700,1725.0,1400.0,1725,316648
2020-03-31,1750,2030.0,1300.0,1355,213042
2020-06-30,1370,1370.0,1000.0,1000,113006
2020-09-30,995,1065.0,750.0,785,188603
2020-12-31,785,1230.0,750.0,1000,377269
2021-03-31,1000,1100.0,945.0,960,122619
2021-06-30,1000,1490.0,960.0,1490,201852
2021-09-30,1510,2185.0,1490.0,2180,232147
2021-12-31,2150,2185.0,1890.0,2000,291330
2022-03-31,2050,2095.0,1905.0,2000,270894
2022-06-30,2000,2000.0,1305.0,1365,76346
2022-09-30,1360,1450.0,1200.0,1220,93367
2022-12-31,1220,1220.0,720.0,770,221555
2023-03-31,775,860.0,725.0,770,178504
2023-06-30,750,890.0,600.0,740,195064
2023-09-30,740,850.0,690.0,790,87890
2023-12-31,790,805.0,500.0,535,229562
2024-03-31,535,590.0,505.0,530,144773
2024-06-30,530,545.0,370.0,415,187878
2024-09-30,415,450.0,390.0,420,212956
2024-12-31,420,505.0,380.0,410,160847
2025-03-31,415,420.0,370.0,410,212795
2025-06-30,410,745.0,380.0,595,382884
2025-09-30,590,1395.0,505.0,1270,945857
2025-12-31,1265,1990.0,1175.0,1400,1080679
2026-03-31,1400,2400.0,1350.0,2000,1166359
2026-06-30,1980,2095.0,1660.0,1825,559814
2026-09-30,1690,2425.0,1200.0,2425,651222
