Date,Open,High,Low,Close,Volume
1998-09-21,3480,3480.0,3480.0,3480,125
1998-09-28,3741,3751.0,3741.0,3751,675
1998-10-05,4032,4032.0,4032.0,4032,13925
1998-10-12,4232,4232.0,4000.0,4000,250
1998-10-19,4000,4000.0,3720.0,3720,650
1998-10-26,3720,3720.0,3600.0,3600,3950
1998-11-02,3360,3360.0,2875.0,2875,1625
1998-11-09,2659,2659.0,2600.0,2600,1500
1998-11-16,2405,2405.0,2405.0,2405,625
1998-11-23,2600,2600.0,2600.0,2600,200
1998-11-30,2795,2795.0,2795.0,2795,400
1998-12-21,2800,2880.0,2800.0,2880,675
1998-12-28,2880,2880.0,2880.0,2880,19950
1999-01-04,2880,2880.0,2880.0,2880,1450
1999-01-18,2880,2880.0,2880.0,2880,1000
1999-01-25,2880,2880.0,2880.0,2880,925
1999-02-08,2880,2880.0,2880.0,2880,5025
1999-02-15,2880,2880.0,2880.0,2880,2350
1999-02-22,2880,2880.0,2880.0,2880,125
1999-03-01,3080,3080.0,3080.0,3080,775
1999-03-08,3080,3080.0,3080.0,3080,375
1999-03-22,3080,3080.0,3080.0,3080,200
1999-03-29,3080,3200.0,3080.0,3200,2750
1999-04-05,3200,3200.0,3200.0,3200,350
1999-04-12,3200,3200.0,3200.0,3200,275
1999-04-26,3169,3169.0,3169.0,3169,200
1999-05-03,3120,3120.0,3100.0,3100,2250
1999-05-31,2868,2868.0,2868.0,2868,5000
1999-06-07,2858,2858.0,2858.0,2858,2500
1999-06-28,2752,2752.0,2740.0,2740,2250
1999-07-05,2740,2740.0,2740.0,2740,1375
1999-07-12,2740,2752.0,2740.0,2752,725
1999-07-19,2800,2800.0,2720.0,2720,3125
1999-07-26,2712,2720.0,2712.0,2720,7850
1999-08-09,2640,2640.0,2640.0,2640,200
1999-08-30,2600,2600.0,2600.0,2600,1250
1999-09-13,2560,2560.0,2560.0,2560,250
1999-09-20,2560,2560.0,2560.0,2560,275
1999-10-04,2540,2540.0,2540.0,2540,200
1999-10-11,2540,2540.0,2540.0,2540,750
1999-10-18,2540,2540.0,2400.0,2400,1325
1999-10-25,2480,2520.0,2480.0,2520,875
1999-11-01,2520,2520.0,2500.0,2500,3500
1999-11-08,2500,2500.0,2480.0,2480,2300
1999-11-15,2480,2480.0,2480.0,2480,50
1999-11-22,2480,2480.0,2480.0,2480,1950
1999-11-29,2480,2480.0,2480.0,2480,150
1999-12-06,2404,2404.0,2404.0,2404,750
1999-12-13,2404,2404.0,2404.0,2404,275
1999-12-20,2440,2440.0,2440.0,2440,1500
2000-01-03,2440,2440.0,2440.0,2440,1700
2000-01-10,2440,2440.0,2440.0,2440,1350
2000-01-17,2440,2440.0,2440.0,2440,1300
2000-01-24,2440,2440.0,2440.0,2440,875
2000-01-31,2420,2420.0,2420.0,2420,250
2000-02-07,2400,2400.0,2400.0,2400,725
2000-02-14,2400,2400.0,2400.0,2400,1950
2000-02-21,2400,2400.0,2400.0,2400,50
2000-02-28,2400,2400.0,2400.0,2400,400
2000-04-17,2300,2300.0,2300.0,2300,375
2000-05-01,2300,2300.0,2300.0,2300,50
2000-05-08,2300,2300.0,2300.0,2300,300
2000-05-15,2300,2300.0,2300.0,2300,500
2000-05-22,2300,2300.0,2280.0,2280,1550
2000-05-29,2260,2260.0,2260.0,2260,200
2000-06-12,2300,2300.0,2300.0,2300,3450
2000-07-03,2300,2300.0,2300.0,2300,500
2000-07-10,2300,2300.0,2300.0,2300,400
2000-07-17,2120,2120.0,2120.0,2120,200
2000-07-24,2120,2120.0,2120.0,2120,750
2000-08-21,2000,2000.0,2000.0,2000,1125
2000-09-04,2000,2000.0,2000.0,2000,25
2000-09-11,2000,2000.0,2000.0,2000,50
2000-09-25,1992,1992.0,1992.0,1992,250
2000-10-23,1936,1936.0,1936.0,1936,400
2000-10-30,1936,1936.0,1936.0,1936,375
2000-11-06,1916,1916.0,1916.0,1916,1225
2000-12-25,1916,1916.0,1916.0,1916,75
2001-01-15,1916,1916.0,1916.0,1916,200
2001-01-29,1880,1880.0,1880.0,1880,2500
2001-02-05,1860,1860.0,1860.0,1860,750
2001-02-12,1860,1860.0,1860.0,1860,100
2001-02-19,1856,1856.0,1856.0,1856,850
2001-03-26,1800,1800.0,1800.0,1800,200
2001-04-09,1800,1800.0,1800.0,1800,50
2001-07-23,1800,1800.0,1800.0,1800,125
2001-08-06,1780,1780.0,1780.0,1780,550
2001-08-13,1780,1780.0,1780.0,1780,150
2001-08-20,1780,1780.0,1780.0,1780,225
2001-09-03,1780,1780.0,1780.0,1780,100
2001-10-01,1646,1646.0,1646.0,1646,450
2001-10-22,1600,1600.0,1600.0,1600,475
2001-10-29,1598,1598.0,1598.0,1598,250
2001-11-05,1598,1598.0,1597.0,1597,500
2001-12-31,1597,1597.0,1597.0,1597,2000
2002-01-14,1478,1478.0,1478.0,1478,4425
2002-03-11,1478,1478.0,1478.0,1478,25
2002-06-10,1367,1367.0,1367.0,1367,2500
2002-08-05,1264,1264.0,1170.0,1170,5025
2002-08-12,1083,1083.0,1083.0,1083,775
2002-09-23,1060,1060.0,1060.0,1060,1250
2002-09-30,1020,1020.0,1020.0,1020,1000
2002-11-11,1000,1000.0,1000.0,1000,275
2003-06-16,980,980.0,980.0,980,200
2003-08-04,939,939.0,939.0,939,1250
2003-08-11,869,869.0,869.0,869,1675
2003-08-18,869,869.0,869.0,869,150
2003-08-25,869,869.0,868.0,868,5050
2003-09-08,868,868.0,868.0,868,1200
2003-09-29,868,868.0,868.0,868,4425
2003-10-06,868,868.0,868.0,868,1000
2003-10-13,868,868.0,868.0,868,250
2003-10-27,860,860.0,860.0,860,250
2003-12-08,800,800.0,800.0,800,200
2004-01-19,740,740.0,690.0,690,13025
2004-01-26,690,690.0,690.0,690,400
2004-02-02,690,690.0,690.0,690,50
2004-02-09,690,690.0,690.0,690,200
2004-02-16,690,690.0,690.0,690,100
2004-02-23,690,690.0,690.0,690,1100
2004-03-01,690,690.0,690.0,690,1050
2004-03-15,690,690.0,690.0,690,300
2004-03-22,690,690.0,690.0,690,2175
2004-04-19,690,690.0,690.0,690,500
2004-04-26,690,690.0,690.0,690,75
2004-05-03,690,690.0,690.0,690,250
2004-05-10,690,690.0,690.0,690,25
2004-05-17,690,690.0,690.0,690,250
2004-05-24,690,690.0,690.0,690,75
2004-05-31,690,690.0,690.0,690,25
