Date,Open,High,Low,Close,Volume
1998-12-31,3480,4232,2405,2880,46000
1999-12-31,2880,3200,2400,2440,56725
2000-12-31,2440,2440,1916,1916,18700
2001-12-31,1916,1916,1597,1597,9475
2002-12-31,1478,1478,1000,1000,15275
2003-12-31,980,980,800,800,15650
2004-12-31,740,740,679,679,24325
2005-12-31,640,640,640,640,625
2006-12-31,640,640,576,576,325
2007-12-31,576,576,400,440,38525
2008-12-31,441,1208,441,960,243375
2009-12-31,919,919,720,720,2125
2010-12-31,600,600,370,370,34125
2011-12-31,370,370,276,318,24800
2012-12-31,360,387,240,240,58625
2013-12-31,240,1560,240,1560,151175
2014-12-31,1580,1720,1230,1600,232900
2015-12-31,1620,7081,1480,5720,2064505
2016-12-31,5780,6100,4440,5300,1440300
2017-12-31,5200,5200,3145,4270,503519
2018-12-31,4145,4250,1700,2030,368826
2019-12-31,1915,2625,1400,1725,724336
2020-12-31,1750,2030,750,1000,891920
2021-12-31,1000,2185,945,2000,847948
2022-12-31,2050,2095,720,770,662162
2023-12-31,775,890,500,535,691020
2024-12-31,535,590,370,410,706454
2025-12-31,415,1990,370,1400,2622215
2026-12-31,1400,2500,1200,2470,2400198
